"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"64","GTD","Frank Montecalvo","6","2:10.894","13:35.880","Green","Track","5.685","5.580","24.807","15.166","27.658","36.107","0.625","11.045","1.470","2.751","135.636","117.502"
"44","GTD","John Potter","6","2:02.151","13:38.144","Green","Track","5.863","5.791","24.795","15.295","26.844","28.046","0.553","10.712","1.481","2.771","153.296","116.629"
"69","GTD","Tom Dyer","6","2:00.069","13:45.677","Green","Track","5.705","5.679","24.550","14.891","26.340","27.472","0.557","10.648","1.470","2.757","152.195","117.502"
"58","GTD","Christina Nielsen","6","2:00.768","13:51.278","Green","Track","5.700","5.561","24.906","15.133","26.478","27.651","0.546","10.597","1.463","2.733","155.261","118.064"
"15","GTD","Jack Hawksworth","5","2:19.098","13:53.421","Green","Pit","5.681","5.552","24.574","15.521","29.574","31.167","0.647","12.533","4.345","9.504","131.024","39.753"
"36","GTD","Marc Miller","6","2:01.363","14:11.816","Green","Track","5.782","5.729","24.587","15.240","26.640","27.810","0.550","10.821","1.466","2.738","154.132","117.822"
"71","GTD","Kenton Koch","6","2:00.945","14:22.935","Green","Track","5.761","5.631","24.624","15.041","26.558","27.877","0.554","10.637","1.486","2.776","153.019","116.236"
"51","GTD","Daniel Serra","6","2:26.823","14:28.397","Green","Track","5.671","6.047","26.951","16.653","32.444","41.755","0.795","12.331","1.457","2.719","106.632","118.550"
"86","GTD","Katherine Legge","7","2:01.979","14:33.430","Green","Track","5.703","5.706","25.015","15.091","26.966","28.007","0.549","10.749","1.462","2.731","154.413","118.145"
"33","GTD","Ben Keating","7","2:00.814","14:39.023","Green","Track","5.762","5.689","24.644","15.097","26.637","27.678","0.550","10.553","1.462","2.742","154.132","118.145"
"29","GTD","Christopher Mies","6","2:00.672","15:06.446","Finish","Track","5.687","5.544","24.262","14.878","26.288","27.953","0.545","11.284","1.478","2.753","155.546","116.866"
"73","GTD","Timothy Pappas","7","2:04.650","15:30.674","Finish","Track","5.888","6.098","25.524","15.454","27.468","28.224","0.552","11.180","1.491","2.771","153.574","115.847"
"44","GTD","John Potter","7","2:02.328","15:40.472","Finish","Track","5.797","5.673","25.037","15.236","26.863","28.158","0.551","10.764","1.480","2.769","153.852","116.708"
"14","GTD","Dominik Baumann","6","2:15.260","15:46.021","Finish","Pit","5.674","5.598","24.382","15.078","26.563","28.173","0.627","13.124","5.270","10.771","135.204","32.776"
