"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"5","P","Christian Fittipaldi","1","2:12.336","2:12.336","Green","Track","0.000","10.358","27.418","16.321","28.448","26.704","0.515","11.255","1.381","2.554","164.607","125.074"
"6","P","Dane Cameron","1","2:13.184","2:13.184","Green","Track","0.000","10.690","27.310","16.377","28.936","27.984","0.608","11.616","1.333","2.479","139.429","129.578"
"90","P","Matthew McMurry","1","2:28.541","2:28.541","Green","Track","0.000","11.353","29.160","16.996","29.587","28.303","0.541","11.647","1.420","2.590","156.696","121.639"
"71","GTD","Kenton Koch","1","2:28.972","2:28.972","Green","Track","0.000","11.154","30.074","18.247","30.316","30.076","0.568","12.098","1.584","2.900","149.248","109.045"
"31","P","Mike Conway","1","2:29.304","2:29.304","Green","Track","0.000","11.274","29.192","17.042","28.980","27.426","0.529","10.897","1.364","2.525","160.251","126.633"
"52","P","Sebastian Saavedra","1","2:31.730","2:31.730","Green","Track","0.000","11.400","29.733","18.791","33.307","31.047","0.653","12.445","1.514","2.670","129.820","114.087"
"2","P","Olivier Pla","1","2:38.075","2:38.075","Green","Track","0.000","11.799","31.495","19.041","32.347","29.183","0.607","11.471","1.399","2.537","139.659","123.465"
"38","P","Pato O'Ward","1","2:40.250","2:40.250","Green","Track","0.000","11.566","29.756","17.268","29.708","28.945","0.560","11.187","1.400","2.560","151.380","123.377"
"36","GTD","Marc Miller","1","2:40.778","2:40.778","Green","Track","0.000","11.916","32.077","18.681","32.905","32.381","0.604","13.118","1.621","2.937","140.352","106.556"
"63","GTD","Gunnar Jeannette","1","2:42.537","2:42.537","Green","Track","0.000","11.466","30.348","18.167","31.400","30.366","0.557","12.211","1.532","2.811","152.195","112.746"
"911","GTLM","Nick Tandy","1","2:43.299","2:43.299","Green","Track","800.137","10.214","29.508","16.683","29.984","29.211","0.544","10.937","1.440","2.675","155.832","119.949"
"73","GTD","Patrick Lindsey","1","2:45.272","2:45.272","Green","Track","0.000","11.405","29.653","17.470","30.696","29.963","0.573","12.149","1.502","2.790","147.945","114.998"
"912","GTLM","Gianmaria Bruni","1","2:45.625","2:45.625","Green","Track","801.004","11.231","29.546","16.953","30.540","29.360","0.623","12.505","1.487","2.726","136.072","116.158"
"51","GTD","Paul Dalla Lana","1","2:49.240","2:49.240","Green","Track","0.000","12.752","32.158","18.621","34.006","31.554","0.580","13.088","1.629","2.904","146.160","106.033"
"4","GTLM","Tommy Milner","1","3:02.988","3:02.988","Green","Track","0.000","11.387","30.528","17.779","28.503","28.855","0.564","11.534","1.482","2.750","150.306","116.550"
"96","GTD","Dillon Machavern","1","3:06.396","3:06.396","Green","Track","698.865","12.958","34.251","19.415","33.148","33.705","0.618","13.094","1.627","2.899","137.173","106.163"
"32","P","Paul Di Resta","1","3:07.062","3:07.062","Green","Track","0.000","11.431","31.072","17.863","30.401","29.007","0.530","11.380","1.392","2.560","159.949","124.086"
"54","P","Romain Dumas","1","3:13.202","3:13.202","Green","Track","0.000","11.297","31.776","21.432","34.129","31.572","0.597","12.093","1.397","2.556","141.998","123.642"
"44","GTD","John Potter","1","3:14.284","3:14.284","Green","Track","806.106","11.364","30.728","18.165","32.847","31.319","0.614","12.404","1.516","2.810","138.066","113.936"
"48","GTD","Bryan Sellers","1","3:15.374","3:15.374","Green","Track","0.000","11.865","34.015","19.789","34.012","31.930","0.693","13.079","1.567","2.847","122.327","110.228"
"66","GTLM","Sebastien Bourdais","1","3:15.708","3:15.708","Green","Track","0.000","12.159","31.486","18.792","31.804","31.122","0.639","12.184","1.524","2.783","132.665","113.338"
"33","GTD","Ben Keating","1","3:16.728","3:16.728","Green","Track","0.000","11.898","34.081","19.278","34.167","32.085","0.682","13.040","1.573","2.858","124.300","109.808"
"64","GTD","Bill Sweedler","1","3:16.965","3:16.965","Green","Track","0.000","11.974","32.594","18.535","33.258","32.149","0.719","12.773","1.563","2.844","117.904","110.510"
"86","GTD","Trent Hindman","1","3:18.774","3:18.774","Green","Track","0.000","12.258","38.481","22.067","34.104","30.665","0.617","12.036","1.503","2.762","137.395","114.922"
"99","P","Stephen Simpson","1","3:22.487","3:22.487","Green","Track","0.000","12.467","33.345","19.441","33.780","30.459","0.611","12.492","1.454","2.620","138.744","118.795"
"85","P","Nelson Panciatici","1","3:23.797","3:23.797","Green","Track","0.000","12.804","32.696","19.258","33.568","30.270","0.661","12.840","1.488","2.634","128.249","116.080"
"24","GTLM","Jesse Krohn","1","3:24.919","3:24.919","Green","Track","32.252","11.797","31.252","17.454","30.764","29.858","0.637","13.069","1.543","2.757","133.081","111.942"
"62","GTLM","James Calado","1","3:25.050","3:25.050","Green","Track","0.000","12.172","31.780","18.365","31.471","30.388","0.711","12.875","1.518","2.744","119.230","113.786"
"55","P","Jonathan Bomarito","1","3:26.204","3:26.204","Green","Track","29.455","11.625","30.328","18.174","29.805","27.669","0.627","12.600","1.430","2.566","135.204","120.788"
"25","GTLM","Connor De Phillippi","1","3:26.636","3:26.636","Green","Track","31.142","11.738","31.020","17.714","31.370","30.307","0.635","12.414","1.481","2.696","133.500","116.629"
