"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"7","GT3P","Maxwell Root","5","2:07.175","10:40.579","Green","Track","5.848","6.314","25.893","15.807","27.990","28.808","0.533","11.707","1.502","2.773","159.048","114.998"
"96","GT3CP","Remo Ruscitti","5","2:06.707","10:41.268","Green","Track","5.845","6.308","25.615","15.812","28.035","28.751","0.531","11.540","1.501","2.769","159.647","115.075"
"91","GT3P","Anthony Imperato","5","2:07.140","10:42.041","Green","Track","5.813","6.262","25.660","15.772","28.267","28.851","0.530","11.707","1.505","2.773","159.949","114.769"
"35","GT3CP","Nelson Mason","5","2:07.092","10:42.368","Green","Track","5.730","6.317","25.789","15.800","28.205","28.558","0.523","11.856","1.531","2.783","162.089","112.820"
"8","GT3CP","Stefan Rzadzinski","5","2:07.599","10:43.886","Green","Track","5.878","6.252","25.862","15.813","28.277","28.766","0.535","11.922","1.513","2.781","158.454","114.162"
"19","GT3P","Will Hardeman","5","2:07.067","10:44.360","Green","Track","5.810","6.219","25.677","15.894","28.107","28.740","0.527","11.865","1.487","2.741","160.859","116.158"
"16","GT3CP","Jeff Kingsley","5","2:08.094","10:44.729","Green","Track","5.818","6.276","26.142","16.246","28.246","28.648","0.530","11.937","1.497","2.754","159.949","115.382"
"36","GT3P","Michael Levitas","5","2:07.861","10:47.094","Green","Track","5.878","6.402","25.530","15.759","28.581","28.817","0.534","12.065","1.511","2.784","158.750","114.313"
"99","GT3P","Alan Metni","5","2:07.875","10:49.435","Green","Track","5.878","6.355","25.801","15.817","28.258","28.942","0.537","11.955","1.526","2.806","157.864","113.190"
"88","GT3CP","Marco Cirone","5","2:07.301","10:53.958","Green","Track","5.869","6.565","26.188","15.652","27.862","28.700","0.537","11.635","1.507","2.786","157.864","114.617"
"25","GT3G","Victor Gomez Donato","5","2:09.124","10:56.387","Green","Track","6.064","6.304","26.077","16.003","28.324","29.193","0.553","12.165","1.559","2.882","153.296","110.794"
"43","GT3P","Mark Kvamme","5","2:09.047","10:56.818","Green","Track","5.931","6.414","25.898","15.943","28.801","29.025","0.537","12.143","1.535","2.820","157.864","112.526"
"12","GT3P","Geoffrey Boss","5","2:09.250","10:57.259","Green","Track","6.027","6.435","26.013","16.055","28.796","29.006","0.540","12.050","1.522","2.806","156.987","113.487"
"34","GT3P","Shaun McKaigue","5","2:09.593","10:58.151","Green","Track","5.953","6.388","26.495","15.950","28.666","29.291","0.533","12.016","1.514","2.787","159.048","114.087"
"77","GT3CP","Patrick Dussault","5","2:09.505","10:58.472","Green","Track","5.888","6.470","26.460","16.186","28.425","29.179","0.531","12.064","1.519","2.783","159.647","113.711"
"56","GT3P","David Baker","5","2:09.353","11:00.285","Green","Track","5.966","6.396","26.165","15.865","28.428","29.329","0.536","12.262","1.558","2.848","158.158","110.865"
"20","GT3P","Fred Poordad","5","2:09.145","11:00.692","Green","Track","5.883","6.399","25.933","16.022","28.659","29.272","0.537","12.105","1.530","2.805","157.864","112.894"
"5","GT3G","Rob Ferriol","5","2:10.616","11:03.819","Green","Track","6.034","6.466","26.371","16.119","28.749","29.827","0.553","12.040","1.566","2.891","153.296","110.298"
"61","GT3P","Scott Welham","5","2:10.505","11:06.067","Green","Track","5.906","6.471","26.197","16.053","28.884","29.515","0.539","12.540","1.557","2.843","157.278","110.936"
"52","GT3G","Kurt Fazekas","5","2:11.105","11:10.009","Green","Track","6.088","6.980","26.794","16.108","28.551","29.707","0.550","11.956","1.531","2.840","154.132","112.820"
"44","GT3G","Greg Palmer","5","2:12.780","11:11.536","Green","Track","6.136","7.172","27.231","16.322","28.985","29.820","0.553","12.109","1.566","2.886","153.296","110.298"
"73","GT3G","Wayne Ducote","5","2:12.205","11:14.386","Green","Track","6.293","6.653","26.737","16.297","29.352","29.671","0.552","12.202","1.562","2.886","153.574","110.581"
"10","GT3G","Frank Raso","5","2:11.831","11:15.044","Green","Track","6.269","6.430","26.486","16.418","29.292","29.813","0.554","12.061","1.591","2.917","153.019","108.565"
"85","GT3G","Brent Asplundh","5","2:13.175","11:24.266","Green","Track","6.195","6.697","26.740","16.315","29.247","30.219","0.555","12.727","1.582","2.898","152.744","109.183"
"42","GT3G","Bill Smith","5","2:13.052","11:52.129","Green","Track","6.227","7.117","26.610","16.388","29.068","29.965","0.556","12.507","1.646","2.968","152.469","104.938"
"24","GT3P","Adan Ramos","5","2:23.070","12:01.049","Green","Track","6.595","7.838","28.986","16.878","31.197","32.678","0.564","13.645","1.698","2.991","150.306","101.724"
"1","GT3P","Roman De Angelis","6","2:05.937","12:39.492","Green","Track","5.843","6.184","25.484","15.612","27.746","28.598","0.536","11.675","1.494","2.765","158.158","115.614"
"78","GT3CP","Roman De Angelis","6","2:05.935","12:39.490","Green","Track","5.844","6.182","25.485","15.613","27.746","28.597","0.535","11.677","1.492","2.764","158.454","115.769"
"3","GT3P","Trenton Estep","6","2:05.760","12:39.975","Green","Track","5.809","6.212","25.464","15.655","27.691","28.542","0.532","11.594","1.499","2.762","159.347","115.228"
"71","GT3P","David Kolkmann","6","2:06.533","12:45.105","Green","Track","5.874","6.449","25.632","15.705","27.914","28.654","0.533","11.512","1.498","2.762","159.048","115.305"
"98","GT3CP","Zacharie Robichon","6","2:06.699","12:45.390","Green","Track","5.865","6.472","25.891","15.528","28.023","28.544","0.532","11.595","1.497","2.752","159.347","115.382"
