NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;3:22.898;0;B;1:39.782;0;1:01.484;0;41.632;0;122.1;3:22.898;12:03:22.898;1:39.782;1:01.484;0:41.632;223.4;Bruno SENNA;0:01:07.321;LMP1;;Rebellion Racing;Rebellion;
1;2;2;10:26.257;0;;8:57.838;0;56.798;0;31.621;0;40.3;13:49.155;12:13:49.155;8:57.838;0:56.798;0:31.621;280.0;Bruno SENNA;0:08:32.732;LMP1;;Rebellion Racing;Rebellion;
1;2;3;2:04.159;0;;35.522;0;57.460;0;31.177;0;203.1;15:53.314;12:15:53.314;0:35.522;0:57.460;0:31.177;307.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;1:59.681;2;;34.237;0;54.393;2;31.051;0;210.7;17:52.995;12:17:52.995;0:34.237;0:54.393;0:31.051;309.6;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;2:04.183;0;;34.445;0;57.962;0;31.776;0;203.0;19:57.178;12:19:57.178;0:34.445;0:57.962;0:31.776;270.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;2:07.068;0;B;34.278;0;54.668;0;38.122;0;198.4;22:04.246;12:22:04.246;0:34.278;0:54.668;0:38.122;311.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;8:55.964;0;;7:28.985;0;55.939;0;31.040;2;47.0;31:00.210;12:31:00.210;7:28.985;0:55.939;0:31.040;297.7;Bruno SENNA;0:07:04.275;LMP1;;Rebellion Racing;Rebellion;
1;2;8;2:01.249;0;;34.244;0;54.665;0;32.340;0;208.0;33:01.459;12:33:01.459;0:34.244;0:54.665;0:32.340;307.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;2:05.567;0;;34.189;0;59.602;0;31.776;0;200.8;35:07.026;12:35:07.026;0:34.189;0:59.602;0:31.776;300.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;10;2:07.093;0;;38.734;0;56.723;0;31.636;0;198.4;37:14.119;12:37:14.119;0:38.734;0:56.723;0:31.636;293.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;11;2:13.514;0;B;34.179;2;59.178;0;40.157;0;188.9;39:27.633;12:39:27.633;0:34.179;0:59.178;0:40.157;312.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;0;12;7:10.092;0;;5:38.830;0;58.379;0;32.883;0;58.6;46:37.725;12:46:37.725;5:38.830;0:58.379;0:32.883;248.0;Neel JANI;0:05:13.066;LMP1;;Rebellion Racing;Rebellion;
1;0;13;2:03.737;0;;35.506;0;56.267;0;31.964;0;203.8;48:41.462;12:48:41.462;0:35.506;0:56.267;0:31.964;296.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;14;2:03.702;0;;35.133;0;56.333;0;32.236;0;203.8;50:45.164;12:50:45.164;0:35.133;0:56.333;0:32.236;306.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;15;2:03.017;0;;35.427;0;55.433;0;32.157;0;205.0;52:48.181;12:52:48.181;0:35.427;0:55.433;0:32.157;306.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;16;2:04.005;0;;35.134;0;57.217;0;31.654;0;203.3;54:52.186;12:54:52.186;0:35.134;0:57.217;0:31.654;307.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;17;2:11.030;0;B;35.379;0;56.073;0;39.578;0;192.4;57:03.216;12:57:03.216;0:35.379;0:56.073;0:39.578;302.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;18;22:31.823;0;;21:03.085;0;57.079;0;31.659;0;18.7;1:19:35.039;13:19:35.039;21:03.085;0:57.079;0:31.659;284.4;Neel JANI;0:20:37.300;LMP1;;Rebellion Racing;Rebellion;
1;0;19;2:05.046;0;;34.670;0;56.869;0;33.507;0;201.6;1:21:40.085;13:21:40.085;0:34.670;0:56.869;0:33.507;308.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;20;2:02.293;0;;34.650;0;56.104;0;31.539;0;206.2;1:23:42.378;13:23:42.378;0:34.650;0:56.104;0:31.539;309.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;21;2:03.486;0;;34.611;0;57.303;0;31.572;0;204.2;1:25:45.864;13:25:45.864;0:34.611;0:57.303;0:31.572;297.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;22;2:02.543;0;;35.076;0;56.318;0;31.149;1;205.8;1:27:48.407;13:27:48.407;0:35.076;0:56.318;0:31.149;276.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;23;2:02.011;0;;34.383;1;56.362;0;31.266;0;206.7;1:29:50.418;13:29:50.418;0:34.383;0:56.362;0:31.266;300.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;24;2:01.563;0;;35.570;0;54.534;1;31.459;0;207.4;1:31:51.981;13:31:51.981;0:35.570;0:54.534;0:31.459;306.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
10;1;1;11:28.002;0;B;9:49.148;0;59.651;0;39.203;0;36.0;11:28.002;12:11:28.002;9:49.148;0:59.651;0:39.203;245.7;Ben HANLEY;0:09:14.988;LMP1;;DragonSpeed;BR Engineering;
10;1;2;12:25.634;0;;10:58.753;0;55.624;0;31.257;0;33.8;23:53.636;12:23:53.636;10:58.753;0:55.624;0:31.257;296.9;Ben HANLEY;0:10:32.986;LMP1;;DragonSpeed;BR Engineering;
10;1;3;1:59.730;0;;34.521;0;54.104;0;31.105;0;210.6;25:53.366;12:25:53.366;0:34.521;0:54.104;0:31.105;305.2;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;1;4;1:59.321;2;;34.321;1;53.938;3;31.062;0;211.3;27:52.687;12:27:52.687;0:34.321;0:53.938;0:31.062;306.1;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;1;5;2:00.031;0;;34.940;0;54.056;0;31.035;2;210.1;29:52.718;12:29:52.718;0:34.940;0:54.056;0:31.035;305.2;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;1;6;2:00.794;0;;34.511;0;55.099;0;31.184;0;208.7;31:53.512;12:31:53.512;0:34.511;0:55.099;0:31.184;307.0;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;1;7;2:11.400;0;B;36.252;0;55.112;0;40.036;0;191.9;34:04.912;12:34:04.912;0:36.252;0:55.112;0:40.036;301.8;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;8;6:46.026;0;;5:13.631;0;1:00.167;0;32.228;0;62.1;40:50.938;12:40:50.938;5:13.631;1:00.167;0:32.228;289.7;Pietro FITTIPALDI;0:04:44.649;LMP1;;DragonSpeed;BR Engineering;
10;2;9;2:06.100;0;;35.062;0;57.199;0;33.839;0;200.0;42:57.038;12:42:57.038;0:35.062;0:57.199;0:33.839;306.1;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;10;2:17.618;0;B;35.255;0;1:00.642;0;41.721;0;183.2;45:14.656;12:45:14.656;0:35.255;1:00.642;0:41.721;305.2;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;11;2:55.655;0;;1:25.226;0;58.151;0;32.278;0;143.5;48:10.311;12:48:10.311;1:25.226;0:58.151;0:32.278;304.4;Pietro FITTIPALDI;0:00:59.569;LMP1;;DragonSpeed;BR Engineering;
10;2;12;2:03.405;0;;34.678;0;56.435;0;32.292;0;204.3;50:13.716;12:50:13.716;0:34.678;0:56.435;0:32.292;306.1;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;13;2:09.706;0;;37.069;0;59.048;0;33.589;0;194.4;52:23.422;12:52:23.422;0:37.069;0:59.048;0:33.589;299.3;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;14;2:01.179;0;;34.482;0;55.328;0;31.369;0;208.1;54:24.601;12:54:24.601;0:34.482;0:55.328;0:31.369;307.0;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;15;2:00.421;0;;34.284;0;54.874;1;31.263;0;209.4;56:25.022;12:56:25.022;0:34.284;0:54.874;0:31.263;307.0;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;16;2:01.779;0;;34.351;0;54.975;0;32.453;0;207.0;58:26.801;12:58:26.801;0:34.351;0:54.975;0:32.453;307.8;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;17;2:02.761;0;;34.166;2;57.151;0;31.444;0;205.4;1:00:29.562;13:00:29.562;0:34.166;0:57.151;0:31.444;307.8;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;18;2:02.780;0;;34.278;0;57.314;0;31.188;1;205.4;1:02:32.342;13:02:32.342;0:34.278;0:57.314;0:31.188;307.8;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;19;2:08.087;0;B;34.221;0;55.421;0;38.445;0;196.9;1:04:40.429;13:04:40.429;0:34.221;0:55.421;0:38.445;307.8;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;0;20;4:50.249;0;;3:08.010;0;1:06.787;0;35.452;0;86.9;1:09:30.678;13:09:30.678;3:08.010;1:06.787;0:35.452;280.7;Henrik HEDMAN;0:02:32.838;LMP1;;DragonSpeed;BR Engineering;
