"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"81","ST","Nick Galante","4","2:25.663","10:20.734","Green","Track","6.979","7.031","29.438","18.410","31.859","33.091","0.641","13.020","1.813","3.381","132.251","95.272"
"37","ST","Nate Norenberg","4","2:23.941","10:21.779","Green","Track","6.921","7.001","29.089","18.081","31.605","32.856","0.631","12.757","1.729","3.271","134.347","99.900"
"73","ST","Mike LaMarra","4","2:25.121","10:25.626","Green","Track","7.086","6.912","29.122","18.078","31.951","33.229","0.632","12.951","1.814","3.346","134.134","95.219"
"21","ST","Max Faulkner","4","2:27.382","10:35.365","Green","Track","7.014","7.325","30.115","18.303","32.211","33.703","0.637","12.978","1.771","3.325","133.081","97.531"
"11","TCR","Don Istook","4","2:33.103","10:39.916","Green","Track","6.840","6.793","28.771","22.699","34.035","35.336","0.713","12.903","1.745","3.268","118.896","98.984"
"75","TCR","Roy Block","4","2:20.875","11:02.710","Green","Track","6.826","6.915","29.068","17.634","30.659","32.332","0.628","11.893","1.707","3.213","134.988","101.188"
"52","ST","Jared Salinsky","4","2:27.108","11:59.307","Green","Track","7.165","7.157","29.663","18.338","32.302","33.679","0.649","13.025","1.787","3.343","130.621","96.658"
"77","TCR","Britt Casey Jr","5","2:16.415","12:09.061","Green","Track","6.649","6.299","27.777","17.220","29.971","31.308","0.625","11.717","1.679","3.170","135.636","102.875"
"74","TCR","Rodrigo Sales","5","2:18.648","12:21.144","Green","Track","6.679","6.623","28.332","17.490","30.646","31.613","0.619","11.762","1.693","3.191","136.951","102.024"
"10","TCR","Kieron O'Rourke","5","2:19.922","12:23.239","Green","Track","6.690","6.578","28.631","17.614","30.852","32.039","0.621","11.911","1.738","3.248","136.510","99.383"
"31","TCR","Luke Rumburg","5","2:19.501","12:35.268","Green","Track","6.785","6.797","28.106","17.227","30.635","31.769","0.637","12.600","1.709","3.236","133.081","101.069"
"81","ST","Nick Galante","5","2:25.237","12:45.971","Green","Track","6.971","6.902","29.392","18.090","31.956","33.142","0.644","12.976","1.797","3.367","131.635","96.120"
"37","ST","Nate Norenberg","5","2:24.402","12:46.181","Green","Track","6.923","6.855","29.237","17.939","31.656","33.249","0.632","12.869","1.752","3.290","134.134","98.589"
"73","ST","Mike LaMarra","5","2:25.142","12:50.768","Green","Track","6.994","6.777","29.198","18.025","32.212","33.187","0.640","13.008","1.785","3.316","132.457","96.766"
"11","TCR","Don Istook","5","2:22.901","13:02.817","Green","Track","6.813","6.739","28.745","18.161","31.521","32.539","0.637","12.723","1.744","3.279","133.081","99.041"
