"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"7","LMP3","Pato O'Ward","1","2:23.843","2:23.843","Green","Track","340.719","11.928","29.379","16.912","29.110","28.838","0.563","11.181","1.470","2.760","150.573","117.502"
"23","LMP3","Mike Skeen","1","2:29.369","2:29.369","Green","Track","343.388","13.342","32.264","18.043","31.544","29.968","0.562","11.724","1.524","2.825","150.841","113.338"
"44","LMP3","Josh Hurley","1","2:32.403","2:32.403","Green","Track","333.495","11.412","29.462","17.262","30.915","30.343","0.574","11.544","1.507","2.821","147.688","114.617"
"25","LMP3","Kenton Koch","1","2:34.801","2:34.801","Green","Track","332.707","11.575","29.698","17.213","29.512","29.638","0.612","11.701","1.491","2.803","138.518","115.847"
"17","LMP3","Corey Lewis","1","2:41.776","2:41.776","Green","Track","333.668","12.637","30.828","18.068","31.505","31.117","0.623","12.973","1.575","2.896","136.072","109.668"
"51","LMP3","Rob Hodes (M)","1","2:45.378","2:45.378","Green","Track","341.636","13.744","34.704","19.456","34.348","34.311","0.718","13.676","1.617","2.923","118.068","106.820"
"42","LMP3","Robby Foley","1","2:46.541","2:46.541","Green","Track","332.206","11.776","31.814","17.838","31.257","33.569","0.616","12.094","1.534","2.860","137.618","112.599"
"30","LMP3","Kris Wright","1","2:47.662","2:47.662","Green","Track","311.141","12.059","30.458","18.304","30.474","33.409","0.000","12.646","1.546","2.872","0.000","111.725"
"3","LMP3","Max Hanratty","1","2:49.112","2:49.112","Green","Track","211.304","11.285","30.266","19.168","31.101","31.675","0.722","13.055","1.545","2.854","117.414","111.798"
"28","MPC","Bart Wolf","1","2:51.365","2:51.365","Green","Track","334.768","13.074","34.147","20.029","33.252","34.906","0.823","14.582","1.715","3.636","103.005","100.716"
"74","LMP3","Rodrigo Pflucker Minaya","1","2:54.055","2:54.055","Green","Track","209.843","12.515","30.572","17.258","30.819","30.751","0.781","13.963","1.571","2.874","108.544","109.947"
"33","LMP3","Lance Willsey (M)","1","3:04.215","3:04.215","Green","Pit","210.536","12.622","30.202","18.146","30.853","31.476","0.801","14.486","4.490","10.516","105.834","38.469"
"47","LMP3","Austin McCusker","1","3:06.220","3:06.220","Green","Track","186.467","14.699","33.698","17.861","31.061","30.303","0.660","13.236","1.557","2.842","128.444","110.936"
