"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"5","P","Christian Fittipaldi","1","2:26.811","2:26.811","Green","Track","0.000","10.100","26.272","15.636","25.855","26.041","0.507","10.583","1.365","2.546","167.205","126.540"
"36","GTD","Till Bechtolsheimer","1","2:29.120","2:29.120","Green","Track","213.332","12.399","30.331","17.216","31.027","29.911","0.547","11.950","1.526","2.818","154.978","113.190"
"54","P","Jonathan Bennett","1","2:38.226","2:38.226","Green","Track","0.000","10.617","28.089","16.446","29.374","27.861","0.515","11.230","1.393","2.564","164.607","123.997"
"48","GTD","Corey Lewis","1","2:39.810","2:39.810","Green","Track","272.832","10.640","28.196","16.448","28.702","30.048","0.586","11.941","1.523","2.822","144.663","113.413"
"33","GTD","Jeroen Bleekemolen","1","2:46.579","2:46.579","Green","Track","0.000","11.709","29.775","17.087","29.791","29.506","0.558","11.260","1.496","2.797","151.922","115.459"
"32","P","Phil Hanson","1","2:46.751","2:46.751","Green","Track","281.017","10.401","27.695","16.046","27.249","27.369","0.524","11.201","1.396","2.556","161.780","123.730"
"64","GTD","Bill Sweedler","1","2:47.589","2:47.589","Green","Track","0.000","10.992","28.877","16.410","28.472","29.473","0.571","11.724","1.511","2.816","148.464","114.313"
"15","GTD","David Heinemeier Hansson","1","2:52.320","2:52.320","Green","Track","260.353","11.382","29.431","17.254","28.882","28.860","0.555","11.570","1.526","2.827","152.744","113.190"
"63","GTD","Cooper MacNeil","1","2:56.271","2:56.271","Green","Track","0.000","11.538","29.568","16.816","29.587","29.095","0.551","11.501","1.496","2.788","153.852","115.459"
"55","P","Harry Tincknell","1","2:57.471","2:57.471","Green","Track","24.308","10.477","26.836","15.288","26.378","26.195","0.497","11.002","1.377","2.526","170.569","125.437"
"77","P","Rene Rast","1","2:57.647","2:57.647","Green","Track","24.590","10.245","26.213","15.042","25.729","25.550","0.508","10.567","1.342","2.479","166.875","128.709"
"44","GTD","John Potter","1","2:58.162","2:58.162","Green","Track","238.973","12.031","29.179","16.763","29.345","29.818","0.556","11.885","1.556","2.871","152.469","111.007"
"911","GTLM","Nick Tandy","1","2:59.084","2:59.084","Green","Track","299.047","9.833","27.060","16.558","27.917","28.342","0.593","11.752","1.447","2.701","142.956","119.369"
"38","P","Kyle Masson","1","3:06.206","3:06.206","Green","Track","24.480","11.360","26.913","16.649","27.854","27.158","0.504","10.781","1.384","2.544","168.200","124.803"
"69","GTD","Chad Gilsinger","1","3:14.662","3:14.662","Green","Track","23.663","12.235","31.746","17.910","30.436","30.446","0.556","12.461","1.525","2.828","152.469","113.264"
"90","P","Edward Cheever","1","3:22.991","3:22.991","Green","Pit","0.000","12.565","30.180","17.185","30.428","29.273","0.571","13.273","4.813","54.636","148.464","35.888"
"71","GTD","JC Perez","1","3:24.069","3:24.069","Green","Track","277.509","12.397","28.765","16.746","30.450","31.407","0.560","12.382","1.600","2.914","151.380","107.955"
"58","GTD","Christina Nielsen","1","3:39.154","3:39.154","Green","Track","23.617","12.159","30.099","17.214","33.531","31.177","0.600","12.829","1.557","2.848","141.288","110.936"
"6","P","Simon Pagenaud","1","3:48.174","3:48.174","Green","Track","22.647","9.987","26.269","15.314","27.012","27.513","0.501","10.211","1.332","2.498","169.207","129.675"
"52","P","Roberto Gonzalez","1","3:48.195","3:48.195","Green","Track","23.865","12.620","32.620","18.426","30.580","29.252","0.557","12.386","1.452","2.629","152.195","118.958"
"3","GTLM","Antonio Garcia","1","3:52.248","3:52.248","Green","Track","0.000","10.402","27.237","16.287","28.105","29.285","0.548","11.751","1.523","2.809","154.695","113.413"
"73","GTD","Timothy Pappas","1","3:52.231","3:52.231","Green","Track","23.054","12.517","32.407","18.029","30.740","30.043","0.576","12.355","1.556","2.869","147.175","111.007"
"51","GTD","Mathias Lauda","1","3:55.676","3:55.676","Green","Track","22.833","11.117","28.966","16.476","28.978","32.694","0.804","12.066","1.502","2.787","105.439","114.998"
"14","GTD","Philipp Frommenwiler","1","4:00.928","4:00.928","Green","Track","337.707","10.867","27.306","16.081","29.073","28.521","0.543","11.493","1.478","2.749","156.119","116.866"
"86","GTD","Alvaro Parente","1","4:06.390","4:06.390","Green","Track","308.151","10.619","29.132","17.220","33.153","30.030","0.553","11.761","1.508","2.807","153.296","114.541"
"22","P","Johannes van Overbeek","1","4:06.450","4:06.450","Green","Track","23.095","10.889","30.074","16.270","28.083","26.989","0.497","10.844","1.343","2.497","170.569","128.613"
"2","P","Scott Sharp","1","4:08.711","4:08.711","Green","Track","22.598","9.979","27.657","16.369","27.483","26.625","0.497","10.452","1.352","2.494","170.569","127.757"
"4","GTLM","Oliver Gavin","1","4:15.868","4:15.868","Green","Track","0.000","10.863","27.895","16.795","28.083","27.784","0.544","10.860","1.465","2.738","155.832","117.903"
"5","P","Christian Fittipaldi","2","1:52.822","4:19.633","Green","Track","5.326","5.428","23.397","14.402","24.727","25.508","0.503","9.734","1.317","2.480","168.534","131.152"
"10","P","Jordan Taylor","1","4:29.921","4:29.921","Green","Track","22.926","10.365","27.310","16.228","27.047","26.328","0.573","11.142","1.339","2.509","147.945","128.997"
"54","P","Jonathan Bennett","2","1:59.298","4:37.524","Green","Track","5.427","5.923","25.512","14.865","26.275","26.055","0.507","10.860","1.355","2.519","167.205","127.474"
"32","P","Phil Hanson","2","1:58.111","4:44.862","Green","Track","5.441","5.510","24.141","15.284","25.466","26.683","0.515","11.179","1.369","2.523","164.607","126.170"
"912","GTLM","Earl Bamber","1","4:44.776","4:44.776","Green","Track","399.664","9.559","27.279","16.048","27.689","27.938","0.542","11.140","1.447","2.716","156.407","119.369"
"48","GTD","Corey Lewis","2","2:06.521","4:46.331","Green","Track","5.898","6.196","25.959","16.277","27.739","28.365","0.545","11.229","1.510","2.803","155.546","114.389"
"33","GTD","Jeroen Bleekemolen","2","2:02.337","4:48.916","Green","Track","5.914","5.878","25.135","15.298","26.896","27.858","0.552","10.560","1.476","2.770","153.574","117.024"
"55","P","Harry Tincknell","2","1:54.799","4:52.270","Green","Track","5.390","5.750","23.393","14.274","24.927","25.534","0.515","11.136","1.364","2.516","164.607","126.633"
"77","P","Rene Rast","2","1:54.665","4:52.312","Green","Track","5.479","5.713","23.539","14.325","25.387","24.889","0.526","11.021","1.323","2.463","161.165","130.557"
"64","GTD","Bill Sweedler","2","2:05.705","4:53.294","Green","Track","5.945","6.238","25.837","15.278","27.387","28.215","0.548","11.885","1.536","2.836","154.695","112.453"
"15","GTD","David Heinemeier Hansson","2","2:05.810","4:58.130","Green","Track","5.922","6.020","25.920","15.781","28.004","28.439","0.547","10.906","1.491","2.780","154.978","115.847"
"911","GTLM","Nick Tandy","2","2:03.182","5:02.266","Green","Track","5.715","5.900","25.375","15.183","27.418","28.040","0.532","10.901","1.432","2.686","159.347","120.620"
"63","GTD","Cooper MacNeil","2","2:06.746","5:03.017","Green","Track","5.888","6.151","26.362","15.650","28.145","28.355","0.551","11.371","1.494","2.779","153.852","115.614"
"44","GTD","John Potter","2","2:06.586","5:04.748","Green","Track","5.948","6.224","25.877","16.087","28.054","28.430","0.550","11.111","1.501","2.804","154.132","115.075"
"38","P","Kyle Masson","2","2:01.831","5:08.037","Green","Track","5.434","5.564","23.724","19.235","26.244","26.729","0.502","10.493","1.372","2.534","168.870","125.895"
"7","P","Graham Rahal","1","5:17.500","5:17.500","Green","Pit","22.736","10.686","29.143","17.308","30.082","29.010","0.647","13.276","4.113","45.694","131.024","41.995"
"69","GTD","Chad Gilsinger","2","2:08.379","5:23.041","Green","Track","5.991","6.694","26.357","15.742","27.867","28.753","0.551","12.078","1.521","2.825","153.852","113.562"
"71","GTD","JC Perez","2","2:08.855","5:32.924","Green","Track","6.058","6.395","26.634","15.811","28.265","29.005","0.559","11.748","1.536","2.844","151.651","112.453"
"6","P","Simon Pagenaud","2","1:52.153","5:40.327","Green","Track","5.362","5.352","22.996","14.064","24.721","25.530","0.496","9.858","1.314","2.460","170.913","131.452"
"96","GTD","Dillon Machavern","1","5:47.614","5:47.614","Green","Track","23.392","12.561","30.935","17.827","30.995","31.218","0.557","12.096","1.565","2.863","152.195","110.369"
"58","GTD","Christina Nielsen","2","2:09.253","5:48.407","Green","Track","6.008","6.581","26.047","15.786","29.078","29.053","0.549","11.856","1.508","2.787","154.413","114.541"
"52","P","Roberto Gonzalez","2","2:02.932","5:51.127","Green","Track","6.343","6.608","26.353","15.328","27.023","26.063","0.501","10.798","1.379","2.536","169.207","125.255"
"3","GTLM","Antonio Garcia","2","2:03.766","5:56.014","Green","Track","5.848","5.602","24.761","15.376","26.767","30.224","0.548","10.480","1.444","2.716","154.695","119.617"
"90","P","Edward Cheever","2","2:33.426","5:56.417","Green","Track","22.954","11.934","31.173","16.645","27.979","27.588","0.587","10.699","1.350","2.517","144.417","127.946"
"73","GTD","Timothy Pappas","2","2:09.019","6:01.250","Green","Track","6.174","6.633","26.606","15.910","28.489","28.776","0.552","11.546","1.521","2.812","153.574","113.562"
"22","P","Johannes van Overbeek","2","1:54.774","6:01.224","Green","Track","5.277","5.542","24.199","14.373","24.724","26.163","0.488","10.097","1.387","2.524","173.715","124.533"
"51","GTD","Mathias Lauda","2","2:05.752","6:01.428","Green","Track","5.883","6.051","25.473","15.754","27.848","28.541","0.544","11.345","1.511","2.802","155.832","114.313"
"14","GTD","Philipp Frommenwiler","2","2:03.188","6:04.116","Green","Track","5.822","6.208","25.115","15.207","26.564","28.648","0.538","10.900","1.460","2.726","157.570","118.306"
"5","P","Christian Fittipaldi","3","1:52.559","6:12.192","Green","Track","5.217","4.839","22.633","14.492","24.510","25.722","0.501","10.740","1.368","2.537","169.207","126.263"
"86","GTD","Alvaro Parente","2","2:06.080","6:12.470","Green","Track","5.919","6.150","25.398","16.732","27.753","28.248","0.552","11.066","1.493","2.769","153.574","115.691"
"75","GTD","Mikael Grenier","1","6:15.834","6:15.834","Green","Track","459.743","11.670","29.043","16.376","29.655","29.763","0.555","12.006","1.504","2.806","152.744","114.845"
"4","GTLM","Oliver Gavin","2","2:03.491","6:19.359","Green","Track","5.778","5.719","24.400","14.978","26.378","31.059","0.546","10.491","1.441","2.701","155.261","119.866"
"2","P","Scott Sharp","2","2:10.783","6:19.494","Green","Track","5.264","5.555","24.011","28.485","27.466","25.659","0.492","10.102","1.312","2.437","172.302","131.652"
"10","P","Jordan Taylor","2","1:51.295","6:21.216","Green","Track","5.285","5.131","22.832","14.277","24.525","25.223","0.500","9.735","1.317","2.470","169.545","131.152"
"54","P","Jonathan Bennett","3","1:54.761","6:32.285","Green","Track","5.327","5.419","23.840","14.539","25.361","25.538","0.493","10.412","1.335","2.497","171.953","129.384"
"32","P","Phil Hanson","3","1:51.081","6:35.943","Green","Track","5.260","4.932","22.909","14.369","24.619","24.892","0.495","9.792","1.331","2.482","171.258","129.773"
"77","P","Rene Rast","3","1:50.434","6:42.746","Green","Track","5.218","5.217","22.485","14.099","24.798","24.819","0.496","9.569","1.295","2.438","170.913","133.380"
"55","P","Harry Tincknell","3","1:52.470","6:44.740","Green","Track","5.379","5.586","22.865","14.238","24.891","25.078","0.494","10.144","1.324","2.471","171.605","130.459"
"912","GTLM","Earl Bamber","2","2:00.217","6:44.993","Green","Track","5.744","5.711","24.629","15.164","26.363","27.240","0.535","10.695","1.438","2.698","158.454","120.116"
"48","GTD","Corey Lewis","3","2:03.024","6:49.355","Green","Track","5.848","5.893","25.069","15.156","27.286","27.960","0.546","10.984","1.496","2.786","155.261","115.459"
"33","GTD","Jeroen Bleekemolen","3","2:01.250","6:50.166","Green","Track","5.790","5.681","24.859","15.321","26.691","27.649","0.550","10.488","1.468","2.753","154.132","117.662"
"64","GTD","Bill Sweedler","3","2:04.431","6:57.725","Green","Track","5.947","6.077","25.528","15.163","27.524","28.366","0.550","11.005","1.487","2.784","154.132","116.158"
"15","GTD","David Heinemeier Hansson","3","2:03.766","7:01.896","Green","Track","5.829","5.842","25.331","15.558","27.303","28.213","0.547","10.872","1.493","2.778","154.978","115.691"
"911","GTLM","Nick Tandy","3","1:59.684","7:01.950","Green","Track","5.652","5.616","24.364","15.123","26.323","27.288","0.532","10.661","1.434","2.691","159.347","120.451"
