"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"73","GTD","Joerg Bergmeister","106","54.091","1:38:22.918","Green","Track","0.469","0.835","10.106","11.043","13.950","5.482","9.426","2.780","147.921"
"50","GTD","Gunnar Jeannette","105","53.156","1:38:25.312","Green","Track","0.471","0.843","9.839","10.820","13.749","5.447","9.203","2.784","147.293"
"66","GTLM","Joey Hand","107","52.815","1:38:25.862","Green","Track","0.471","0.836","9.816","10.480","13.529","5.483","9.434","2.766","147.293"
"48","GTD","Bryan Sellers","107","55.126","1:38:29.570","Green","Track","0.471","0.843","10.338","11.181","14.221","5.695","9.554","2.823","147.293"
"007","GTD","James Davison","107","54.553","1:38:33.252","Green","Track","0.469","0.837","10.353","11.099","13.972","5.587","9.461","2.775","147.921"
"16","GTD","Jeroen Mul","105","53.860","1:38:35.790","Green","Track","0.470","0.838","10.429","10.941","13.709","5.481","9.228","2.764","147.606"
"14","GTD","Scott Pruett","106","56.124","1:38:37.749","Green","Track","0.473","0.848","10.583","11.621","14.522","5.712","9.553","2.812","146.670"
"15","GTD","Robert Alon","106","1:04.351","1:38:39.312","Green","Track","0.000","0.000","13.421","11.458","14.580","5.734","9.741","2.847","0.000"
"3","GTLM","Antonio Garcia","111","53.623","1:38:48.197","Green","Track","0.458","0.818","10.042","10.933","13.805","5.628","9.213","2.726","151.474"
"57","GTD","Lawson Aschenbach","107","54.073","1:38:50.594","Green","Track","0.473","0.842","10.194","10.861","13.937","5.527","9.445","2.794","146.670"
"24","GTLM","Martin Tomczyk","111","1:03.072","1:38:51.337","Green","Pit","0.464","0.829","9.843","10.537","13.566","5.311","11.109","11.413","149.515"
"86","GTD","Jeff Segal","106","1:02.743","1:38:57.234","Green","Track","0.000","0.000","13.093","10.940","14.063","5.656","9.667","2.841","0.000"
"63","GTD","Alessandro Balzan","107","1:05.777","1:38:59.815","Green","Pit","0.472","0.844","10.222","11.037","13.870","6.034","11.639","11.659","146.981"
"911","GTLM","Patrick Pilet","111","53.067","1:39:01.136","Green","Track","0.469","0.839","10.298","10.620","13.639","5.365","9.098","2.739","147.921"
"23","GTD","Townsend Bell","107","54.902","1:39:02.751","Green","Track","0.476","0.848","10.303","11.197","14.198","5.568","9.502","2.810","145.746"
"25","GTLM","Alexander Sims","111","52.654","1:39:04.284","Green","Track","0.457","0.815","9.880","10.537","13.617","5.424","9.208","2.716","151.805"
"4","GTLM","Tommy Milner","82","52.287","1:39:06.974","Green","Track","0.465","0.831","9.808","10.485","13.533","5.318","9.116","2.731","149.194"
"96","GTD","Jesse Krohn","95","53.557","1:39:11.872","Green","Track","0.481","0.857","9.936","10.653","13.776","5.563","9.471","2.820","144.231"
"912","GTLM","Laurens Vanthoor","111","52.130","1:39:13.351","Green","Track","0.469","0.840","9.706","10.445","13.562","5.343","9.039","2.726","147.921"
"28","GTD","Daniel Morad","107","1:39.432","1:39:13.437","Green","Pit","0.473","0.840","10.505","11.108","14.240","5.673","11.391","45.202","146.670"
"67","GTLM","Ryan Briscoe","111","52.170","1:39:13.964","Green","Track","0.467","0.867","9.820","10.390","13.437","5.333","9.124","2.732","148.555"
"73","GTD","Joerg Bergmeister","107","53.485","1:39:16.403","Green","Track","0.470","0.836","10.154","10.688","13.823","5.444","9.304","2.766","147.606"
"66","GTLM","Joey Hand","108","53.348","1:39:19.210","Green","Track","0.467","0.835","9.786","10.605","13.684","5.753","9.446","2.772","148.555"
"50","GTD","Gunnar Jeannette","106","54.509","1:39:19.821","Green","Track","0.472","0.846","9.897","10.793","13.892","6.145","9.648","2.816","146.981"
"007","GTD","James Davison","108","54.614","1:39:27.866","Green","Track","0.467","0.834","10.367","11.093","13.897","5.643","9.528","2.785","148.555"
"16","GTD","Jeroen Mul","106","52.867","1:39:28.657","Green","Track","0.467","0.835","9.839","10.673","13.600","5.494","9.198","2.761","148.555"
"14","GTD","Scott Pruett","107","55.400","1:39:33.149","Green","Track","0.478","0.848","10.447","10.889","14.359","5.728","9.795","2.856","145.136"
"15","GTD","Robert Alon","107","54.603","1:39:33.915","Green","Track","0.477","0.856","10.426","10.843","14.007","5.548","9.616","2.830","145.440"
"93","GTD","Andy Lally","107","1:26.995","1:39:37.191","Green","Pit","0.472","0.841","10.141","10.696","14.050","5.538","11.160","34.097","146.981"
"3","GTLM","Antonio Garcia","112","52.281","1:39:40.478","Green","Track","0.463","0.826","9.910","10.577","13.434","5.339","9.019","2.713","149.838"
"57","GTD","Lawson Aschenbach","108","53.649","1:39:44.243","Green","Track","0.472","0.840","10.048","10.712","13.852","5.487","9.442","2.796","146.981"
"86","GTD","Jeff Segal","107","54.351","1:39:51.585","Green","Track","0.480","0.856","10.266","10.909","13.932","5.553","9.530","2.825","144.531"
"911","GTLM","Patrick Pilet","112","51.805","1:39:52.941","Green","Track","0.466","0.835","9.664","10.293","13.416","5.245","9.149","2.737","148.873"
"23","GTD","Townsend Bell","108","54.327","1:39:57.078","Green","Track","0.474","0.845","10.225","10.752","14.079","5.543","9.588","2.821","146.361"
"25","GTLM","Alexander Sims","112","52.801","1:39:57.085","Green","Track","0.460","0.820","9.801","10.567","13.620","5.470","9.338","2.725","150.815"
"48","GTD","Bryan Sellers","108","1:33.033","1:40:02.603","Green","Pit","0.478","0.852","10.133","10.863","13.860","5.524","11.548","39.775","145.136"
"96","GTD","Jesse Krohn","96","53.347","1:40:05.219","Green","Track","0.478","0.853","9.889","10.667","13.823","5.497","9.327","2.813","145.136"
"912","GTLM","Laurens Vanthoor","112","52.033","1:40:05.384","Green","Track","0.466","0.831","9.632","10.432","13.368","5.340","9.225","2.739","148.873"
"67","GTLM","Ryan Briscoe","112","51.995","1:40:05.959","Green","Track","0.465","0.858","9.758","10.386","13.372","5.348","9.090","2.718","149.194"
"73","GTD","Joerg Bergmeister","108","54.055","1:40:10.458","Green","Track","0.468","0.835","10.231","10.747","13.946","5.570","9.482","2.776","148.237"
"4","GTLM","Tommy Milner","83","1:04.061","1:40:11.035","Green","Pit","0.463","0.828","9.895","10.652","13.556","5.379","11.541","11.747","149.838"
"66","GTLM","Joey Hand","109","52.314","1:40:11.524","Green","Track","0.470","0.836","9.778","10.331","13.398","5.428","9.307","2.766","147.606"
"50","GTD","Gunnar Jeannette","107","53.583","1:40:13.404","Green","Track","0.477","0.850","10.007","10.917","13.795","5.510","9.242","2.785","145.440"
"28","GTD","Patrick Long","108","1:03.401","1:40:16.838","Green","Track","0.000","0.000","13.032","11.274","14.259","5.626","9.694","2.877","0.000"
"24","GTLM","Martin Tomczyk","112","1:27.879","1:40:19.216","Green","Track","0.000","0.000","12.867","11.285","14.150","5.511","9.404","2.791","0.000"
"16","GTD","Jeroen Mul","107","54.295","1:40:22.952","Green","Track","0.465","0.832","10.006","11.088","14.125","5.491","9.485","2.803","149.194"
"15","GTD","Robert Alon","108","55.350","1:40:29.265","Green","Track","0.477","0.849","10.272","11.031","14.607","5.648","9.632","2.834","145.440"
"14","GTD","Scott Pruett","108","57.015","1:40:30.164","Green","Track","0.481","0.856","10.616","11.198","14.812","6.355","9.853","2.844","144.231"
"63","GTD","Alessandro Balzan","108","1:31.784","1:40:31.599","Green","Track","0.000","0.000","13.140","11.318","14.202","5.611","9.551","2.833","0.000"
"3","GTLM","Antonio Garcia","113","52.400","1:40:32.878","Green","Track","0.460","0.823","9.891","10.547","13.624","5.310","9.030","2.715","150.815"
"93","GTD","Andy Lally","108","1:02.459","1:40:39.650","Green","Track","0.000","0.000","12.949","11.069","14.116","5.568","9.461","2.818","0.000"
"911","GTLM","Patrick Pilet","113","52.299","1:40:45.240","Green","Track","0.466","0.834","9.741","10.414","13.562","5.479","9.077","2.726","148.873"
"86","GTD","Jeff Segal","108","54.450","1:40:46.035","Green","Track","0.477","0.854","10.185","10.858","13.859","5.907","9.513","2.797","145.440"
"25","GTLM","Alexander Sims","113","52.836","1:40:49.921","Green","Track","0.462","0.824","10.089","10.635","13.571","5.415","9.130","2.710","150.162"
"23","GTD","Townsend Bell","109","54.791","1:40:51.869","Green","Track","0.479","0.852","10.638","10.853","14.031","5.553","9.569","2.816","144.833"
"912","GTLM","Laurens Vanthoor","113","51.997","1:40:57.381","Green","Track","0.465","0.832","9.937","10.422","13.400","5.264","8.951","2.726","149.194"
"96","GTD","Jesse Krohn","97","54.279","1:40:59.498","Green","Track","0.476","0.849","10.305","10.854","13.966","5.556","9.461","2.812","145.746"
"67","GTLM","Ryan Briscoe","113","53.704","1:40:59.663","Green","Track","0.467","0.864","9.900","10.773","13.908","5.588","9.450","2.754","148.555"
"73","GTD","Joerg Bergmeister","109","53.396","1:41:03.854","Green","Track","0.470","0.838","10.155","10.787","13.749","5.409","9.235","2.753","147.606"
"66","GTLM","Joey Hand","110","53.738","1:41:05.262","Green","Track","0.466","0.833","9.833","11.123","13.911","5.474","9.333","2.765","148.873"
"48","GTD","Bryan Sellers","109","1:03.723","1:41:06.326","Green","Track","0.000","0.000","13.051","11.422","14.702","5.628","9.543","2.826","0.000"
"50","GTD","Gunnar Jeannette","108","53.690","1:41:07.094","Green","Track","0.471","0.845","9.966","10.737","14.024","5.535","9.320","2.792","147.293"
"28","GTD","Patrick Long","109","53.783","1:41:10.621","Green","Track","0.485","0.864","10.047","10.734","13.992","5.474","9.381","2.806","143.041"
"24","GTLM","Martin Tomczyk","113","53.190","1:41:12.406","Green","Track","0.473","0.846","10.118","10.705","13.625","5.338","9.298","2.787","146.670"
"007","GTD","James Davison","109","1:47.980","1:41:15.846","Green","Pit","0.468","0.835","10.450","11.160","13.930","5.616","11.254","54.267","148.237"
"16","GTD","Jeroen Mul","108","53.007","1:41:15.959","Green","Track","0.472","0.842","9.882","10.655","13.757","5.467","9.181","2.751","146.981"
"15","GTD","Robert Alon","109","54.042","1:41:23.307","Green","Track","0.479","0.849","10.151","10.765","14.013","5.510","9.464","2.811","144.833"
"14","GTD","Scott Pruett","109","55.146","1:41:25.310","Green","Track","0.480","0.853","10.522","10.908","14.399","5.657","9.517","2.810","144.531"
"63","GTD","Alessandro Balzan","109","54.098","1:41:25.697","Green","Track","0.480","0.857","10.356","10.829","13.842","5.563","9.399","2.772","144.531"
"3","GTLM","Antonio Garcia","114","52.939","1:41:25.817","Green","Track","0.459","0.821","9.923","10.570","13.687","5.439","9.315","2.725","151.144"
"57","GTD","Lawson Aschenbach","109","1:42.490","1:41:26.733","Green","Pit","0.472","0.841","10.158","10.865","13.954","5.556","11.487","49.157","146.981"
"93","GTD","Andy Lally","109","53.459","1:41:33.109","Green","Track","0.476","0.853","10.033","10.596","13.865","5.458","9.384","2.794","145.746"
"911","GTLM","Patrick Pilet","114","51.852","1:41:37.092","Green","Track","0.466","0.831","9.683","10.431","13.471","5.237","9.001","2.732","148.873"
