"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"63","GTD","Christina Nielsen","5","2:08.819","10:57.905","Green","Track","5.485","10.324","20.779","0.506","23.166","29.819","21.442","12.329","4.969","162.482"
"57","GTD","Andrew Davis","5","2:08.917","10:58.347","Green","Track","5.477","10.407","20.840","0.506","23.268","29.683","21.351","12.397","4.988","162.482"
"14","GTD","Robert Alon","5","2:09.090","10:59.021","Green","Track","5.463","10.476","20.867","0.506","23.526","29.478","21.390","12.420","4.964","162.482"
"86","GTD","Oswaldo Negri Jr.","5","2:09.129","10:59.607","Green","Track","5.494","10.475","20.855","0.502","23.339","29.699","21.414","12.388","4.963","163.777"
"48","GTD","Madison Snow","5","2:09.068","11:00.487","Green","Track","5.481","10.433","20.882","0.505","23.367","29.994","21.235","12.201","4.970","162.804"
"50","GTD","Cooper MacNeil","5","2:10.479","11:08.478","Green","Track","5.544","10.665","21.072","0.508","23.514","29.891","21.740","12.525","5.020","161.842"
"28","GTD","Michael de Quesada","5","2:10.650","11:08.931","Green","Track","5.474","10.848","20.939","0.505","23.558","30.211","21.632","12.500","4.983","162.804"
"33","GTD","Ben Keating","5","2:10.222","11:09.694","Green","Track","5.639","10.624","21.037","0.512","23.309","30.100","21.551","12.442","5.008","160.578"
"75","GTD","Kenny Habul","5","2:10.840","11:13.805","Green","Track","5.625","10.487","21.326","0.517","24.196","29.545","21.624","12.450","5.070","159.025"
"54","GTD","Jonathan Bennett","5","2:14.244","11:16.833","Green","Track","5.522","10.808","21.597","0.520","24.798","30.848","22.525","12.655","4.971","158.108"
"10","P","Ricky Taylor","6","1:57.128","11:41.174","Green","Track","5.071","9.330","18.879","0.478","21.269","26.323","20.035","11.246","4.497","172.000"
"93","GTD","Katherine Legge","5","2:53.164","11:44.212","Green","Track","5.495","10.414","20.925","0.507","23.424","73.342","21.735","12.314","5.008","162.162"
"52","P","Jose Gutierrez","6","1:57.290","11:45.023","Green","Track","5.031","9.210","19.083","0.466","22.060","26.297","19.359","11.324","4.460","176.429"
"22","P","Johannes van Overbeek","6","1:57.131","11:45.356","Green","Track","4.980","9.372","19.068","0.462","21.773","26.592","19.290","11.191","4.403","177.957"
