"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"66","GTLM","Dirk Mueller","10","2:05.715","22:31.754","Green","Track","5.409","10.283","20.564","0.495","22.791","28.542","20.794","11.952","4.885","166.093"
"25","GTLM","Alexander Sims","10","2:05.888","22:32.222","Green","Track","5.378","10.268","20.744","0.496","22.893","28.516","20.786","11.964","4.843","165.758"
"912","GTLM","Gianmaria Bruni","10","2:05.748","22:32.742","Green","Track","5.433","10.133","20.535","0.495","22.984","28.620","20.766","11.908","4.874","166.093"
"911","GTLM","Patrick Pilet","10","2:05.590","22:33.059","Green","Track","5.414","10.130","20.448","0.494","22.988","28.547","20.763","11.967","4.839","166.429"
"67","GTLM","Ryan Briscoe","10","2:06.553","22:34.427","Green","Track","5.359","10.273","20.604","0.500","22.860","29.047","21.127","11.950","4.833","164.432"
"24","GTLM","Martin Tomczyk","10","2:06.192","22:34.857","Green","Track","5.373","10.585","20.477","0.492","22.720","28.465","21.238","12.013","4.829","167.106"
"4","GTLM","Oliver Gavin","10","2:07.364","22:35.777","Green","Track","5.418","10.478","20.594","0.498","23.381","29.082","21.019","12.020","4.874","165.092"
"3","GTLM","Jan Magnussen","10","2:07.480","22:36.633","Green","Track","5.497","10.678","20.596","0.498","22.962","29.088","21.217","12.075","4.869","165.092"
"96","GTD","Jesse Krohn","10","2:09.244","22:38.816","Green","Track","5.474","10.660","20.968","0.503","23.373","29.549","21.438","12.334","4.945","163.451"
"26","PC","Mark Kvamme","10","2:09.253","22:38.865","Green","Track","5.462","11.056","20.914","0.520","23.286","29.859","21.282","12.090","4.784","158.108"
"16","GTD","Jeroen Mul","10","2:10.287","22:40.617","Green","Track","5.469","10.808","21.115","0.500","23.651","29.907","21.484","12.391","4.962","164.432"
"73","GTD","Patrick Lindsey","10","2:10.553","22:41.266","Green","Track","5.468","10.658","21.054","0.501","23.768","30.106","21.629","12.412","4.957","164.104"
"15","GTD","Scott Pruett","10","2:10.608","22:41.721","Green","Track","5.484","10.765","21.275","0.507","23.581","29.959","21.658","12.414","4.965","162.162"
"86","GTD","Oswaldo Negri Jr.","10","2:10.803","22:42.332","Green","Track","5.373","10.847","21.508","0.515","24.011","29.708","21.473","12.395","4.973","159.643"
"57","GTD","Andrew Davis","10","2:11.325","22:42.773","Green","Track","5.600","10.905","21.475","0.512","24.172","29.898","21.382","12.387","4.994","160.578"
"63","GTD","Christina Nielsen","10","2:12.346","22:43.783","Green","Track","5.626","11.165","21.270","0.539","24.689","30.105","21.680","12.299","4.973","152.534"
"14","GTD","Robert Alon","10","2:13.212","22:44.633","Green","Track","5.403","10.772","21.559","0.507","25.727","29.942","21.782","12.518","5.002","162.162"
"50","GTD","Cooper MacNeil","10","2:13.541","22:45.755","Green","Track","5.467","10.913","21.248","0.501","25.237","30.576","22.027","12.569","5.003","164.104"
"28","GTD","Michael de Quesada","10","2:13.654","22:46.084","Green","Track","5.357","10.998","21.152","0.491","25.337","30.772","22.129","12.473","4.945","167.446"
"33","GTD","Ben Keating","10","2:13.584","22:46.383","Green","Track","5.503","10.746","21.478","0.505","24.954","30.937","21.961","12.506","4.994","162.804"
"75","GTD","Kenny Habul","10","2:12.298","22:46.949","Green","Track","5.585","10.602","21.253","0.517","23.608","30.945","21.922","12.797","5.069","159.025"
"54","GTD","Jonathan Bennett","10","2:13.640","23:21.174","Green","Track","5.525","10.804","21.582","0.503","24.123","30.564","22.637","12.895","5.007","163.451"
"48","GTD","Madison Snow","10","2:12.203","23:21.379","Green","Track","5.568","10.455","20.849","0.509","23.717","30.684","22.517","12.882","5.022","161.524"
"93","GTD","Katherine Legge","10","2:31.643","23:39.435","Green","Pit","5.538","10.665","21.293","0.510","23.512","30.143","23.944","17.750","18.288","161.208"
"10","P","Ricky Taylor","11","1:56.803","24:14.958","Green","Track","5.069","9.522","18.989","0.474","21.335","26.400","19.335","11.182","4.497","173.451"
"52","P","Jose Gutierrez","11","1:57.460","24:16.911","Green","Track","5.032","9.380","19.142","0.465","21.692","26.488","19.472","11.315","4.474","176.808"
"22","P","Johannes van Overbeek","11","1:57.260","24:17.288","Green","Track","5.002","9.394","19.074","0.461","21.594","26.477","19.450","11.375","4.433","178.343"
"2","P","Scott Sharp","11","1:57.146","24:17.758","Green","Track","5.011","9.367","18.995","0.466","21.554","26.493","19.491","11.338","4.431","176.429"
"31","P","Eric Curran","11","1:57.345","24:18.369","Green","Track","5.046","9.422","19.217","0.466","21.460","26.532","19.406","11.297","4.499","176.429"
"90","P","Marc Goossens","11","1:57.500","24:19.097","Green","Track","5.034","9.315","19.173","0.465","21.563","26.479","19.528","11.457","4.486","176.808"
"85","P","Misha Goikhberg","11","1:57.429","24:19.445","Green","Track","4.972","9.436","19.142","0.460","21.735","26.301","19.428","11.509","4.446","178.730"
"5","P","Christian Fittipaldi","11","1:57.483","24:20.113","Green","Track","5.049","9.256","19.074","0.467","21.590","26.921","19.427","11.207","4.492","176.051"
"38","PC","James French","11","2:01.469","24:28.933","Green","Track","5.279","9.764","19.713","0.487","22.343","27.377","20.208","11.624","4.674","168.821"
"66","GTLM","Dirk Mueller","11","2:04.155","24:35.909","Green","Track","5.419","9.887","20.282","0.497","22.322","28.298","20.724","11.853","4.873","165.424"
"25","GTLM","Alexander Sims","11","2:04.206","24:36.428","Green","Track","5.404","9.915","20.362","0.494","22.540","28.219","20.550","11.893","4.829","166.429"
"912","GTLM","Gianmaria Bruni","11","2:04.642","24:37.384","Green","Track","5.417","9.955","20.317","0.495","22.662","28.399","20.684","11.852","4.861","166.093"
"911","GTLM","Patrick Pilet","11","2:04.723","24:37.782","Green","Track","5.379","10.066","20.439","0.493","22.603","28.370","20.658","11.868","4.847","166.767"
"67","GTLM","Ryan Briscoe","11","2:04.911","24:39.338","Green","Track","5.360","10.049","20.334","0.492","22.612","28.415","20.762","12.044","4.843","167.106"
"24","GTLM","Martin Tomczyk","11","2:04.815","24:39.672","Green","Track","5.386","10.029","20.319","0.495","22.703","28.402","20.729","11.932","4.820","166.093"
"4","GTLM","Oliver Gavin","11","2:05.625","24:41.402","Green","Track","5.397","10.146","20.455","0.498","22.621","28.727","20.932","11.977","4.872","165.092"
"26","PC","Mark Kvamme","11","2:06.934","24:45.799","Green","Track","5.425","10.349","20.312","0.499","22.794","29.312","21.259","12.172","4.812","164.761"
"96","GTD","Jesse Krohn","11","2:08.925","24:47.741","Green","Track","5.510","10.601","20.998","0.511","23.263","29.505","21.283","12.306","4.948","160.892"
"16","GTD","Jeroen Mul","11","2:09.411","24:50.028","Green","Track","5.458","10.515","20.928","0.503","23.185","29.718","21.670","12.459","4.975","163.451"
"73","GTD","Patrick Lindsey","11","2:09.303","24:50.569","Green","Track","5.457","10.386","21.007","0.504","23.259","29.749","21.533","12.448","4.960","163.127"
"15","GTD","Scott Pruett","11","2:09.574","24:51.295","Green","Track","5.468","10.420","20.930","0.504","23.430","29.744","21.639","12.458","4.981","163.127"
"86","GTD","Oswaldo Negri Jr.","11","2:09.469","24:51.801","Green","Track","5.497","10.495","21.041","0.506","23.535","29.622","21.488","12.326","4.959","162.482"
"57","GTD","Andrew Davis","11","2:09.701","24:52.474","Green","Track","5.482","10.514","20.882","0.503","23.684","29.861","21.446","12.347","4.982","163.451"
"63","GTD","Christina Nielsen","11","2:09.756","24:53.539","Green","Track","5.492","10.439","21.057","0.507","23.342","29.850","21.762","12.345","4.962","162.162"
"14","GTD","Robert Alon","11","2:10.095","24:54.728","Green","Track","5.491","10.672","21.044","0.506","23.675","29.732","21.610","12.392","4.973","162.482"
"50","GTD","Cooper MacNeil","11","2:10.819","24:56.574","Green","Track","5.504","10.675","21.057","0.507","23.674","30.119","21.777","12.510","4.996","162.162"
"28","GTD","Michael de Quesada","11","2:10.923","24:57.007","Green","Track","5.440","10.725","20.989","0.501","24.022","30.102","21.672","12.524","4.948","164.104"
"33","GTD","Ben Keating","11","2:10.966","24:57.349","Green","Track","5.529","10.570","21.326","0.509","23.832","29.979","21.865","12.381","4.975","161.524"
"3","GTLM","Jan Magnussen","11","2:20.927","24:57.560","Green","Pit","5.403","10.128","20.475","0.495","22.791","28.864","21.050","13.480","18.241","166.093"
"75","GTD","Kenny Habul","11","2:10.842","24:57.791","Green","Track","5.600","10.472","21.147","0.512","23.829","29.910","21.862","12.481","5.029","160.578"
"48","GTD","Madison Snow","11","2:09.583","25:30.962","Green","Track","5.571","10.747","21.332","0.513","22.976","29.601","21.445","12.380","5.018","160.265"
"54","GTD","Jonathan Bennett","11","2:13.282","25:34.456","Green","Track","5.529","10.837","21.776","0.506","24.067","30.707","22.175","12.708","4.977","162.482"
"10","P","Ricky Taylor","12","1:57.009","26:11.967","Green","Track","5.053","9.526","18.886","0.475","21.392","26.558","19.493","11.150","4.476","173.086"
"52","P","Jose Gutierrez","12","1:56.985","26:13.896","Green","Track","5.018","9.338","19.150","0.466","21.467","26.484","19.301","11.300","4.461","176.429"
"22","P","Johannes van Overbeek","12","1:57.037","26:14.325","Green","Track","4.962","9.422","18.983","0.457","21.732","26.403","19.368","11.299","4.411","179.904"
"2","P","Scott Sharp","12","1:57.103","26:14.861","Green","Track","4.976","9.438","19.085","0.460","21.622","26.369","19.460","11.276","4.417","178.730"
"31","P","Eric Curran","12","1:57.215","26:15.584","Green","Track","5.027","9.375","19.104","0.464","21.493","26.734","19.339","11.201","4.478","177.189"
"90","P","Marc Goossens","12","1:57.154","26:16.251","Green","Track","5.013","9.470","19.391","0.467","21.437","26.226","19.434","11.245","4.471","176.051"
"85","P","Misha Goikhberg","12","1:57.434","26:16.879","Green","Track","4.955","9.386","19.676","0.462","21.671","26.095","19.370","11.386","4.433","177.957"
"5","P","Christian Fittipaldi","12","1:57.444","26:17.557","Green","Track","5.030","9.251","19.181","0.461","21.835","26.618","19.453","11.137","4.478","178.343"
"38","PC","James French","12","2:01.287","26:30.220","Green","Track","5.281","9.767","19.760","0.489","22.296","27.405","20.099","11.524","4.666","168.131"
"66","GTLM","Dirk Mueller","12","2:03.842","26:39.751","Green","Track","5.400","9.898","20.310","0.496","22.344","27.956","20.647","11.928","4.863","165.758"
"25","GTLM","Alexander Sims","12","2:04.316","26:40.744","Green","Track","5.377","9.986","20.407","0.502","22.596","28.189","20.568","11.863","4.828","163.777"
"912","GTLM","Gianmaria Bruni","12","2:04.160","26:41.544","Green","Track","5.404","9.929","20.373","0.497","22.453","28.139","20.636","11.868","4.861","165.424"
"911","GTLM","Patrick Pilet","12","2:04.446","26:42.228","Green","Track","5.371","9.985","20.493","0.497","22.652","28.122","20.579","11.892","4.855","165.424"
"67","GTLM","Ryan Briscoe","12","2:04.209","26:43.547","Green","Track","5.350","9.946","20.270","0.494","22.433","28.374","20.683","11.848","4.811","166.429"
"24","GTLM","Martin Tomczyk","12","2:04.486","26:44.158","Green","Track","5.350","10.039","20.277","0.495","22.589","28.262","20.697","11.954","4.823","166.093"
"4","GTLM","Oliver Gavin","12","2:05.634","26:47.036","Green","Track","5.411","10.144","20.539","0.503","22.605","28.744","20.845","11.976","4.867","163.451"
"26","PC","Mark Kvamme","12","2:07.572","26:53.371","Green","Track","5.405","10.649","20.477","0.502","22.906","29.164","21.463","12.160","4.846","163.777"
"96","GTD","Jesse Krohn","12","2:08.704","26:56.445","Green","Track","5.496","10.409","20.999","0.516","23.206","29.344","21.437","12.350","4.947","159.333"
"16","GTD","Jeroen Mul","12","2:09.057","26:59.085","Green","Track","5.473","10.605","20.929","0.505","23.217","29.639","21.370","12.359","4.960","162.804"
"73","GTD","Patrick Lindsey","12","2:09.525","27:00.094","Green","Track","5.463","10.467","20.986","0.505","23.305","29.988","21.545","12.320","4.946","162.804"
"15","GTD","Scott Pruett","12","2:10.261","27:01.556","Green","Track","5.496","10.446","21.688","0.506","23.552","29.487","21.684","12.437","4.965","162.482"
"86","GTD","Oswaldo Negri Jr.","12","2:10.430","27:02.231","Green","Track","5.487","10.495","21.349","0.513","23.717","29.840","21.576","12.490","4.963","160.265"
"57","GTD","Andrew Davis","12","2:10.104","27:02.578","Green","Track","5.487","10.443","21.034","0.503","23.737","30.005","21.503","12.431","4.961","163.451"
"63","GTD","Christina Nielsen","12","2:10.396","27:03.935","Green","Track","5.480","10.455","20.919","0.505","23.930","30.026","21.782","12.350","4.949","162.804"
"14","GTD","Robert Alon","12","2:10.014","27:04.742","Green","Track","5.484","10.534","20.941","0.505","23.686","29.746","21.670","12.496","4.952","162.804"
"50","GTD","Cooper MacNeil","12","2:11.759","27:08.333","Green","Track","5.505","10.706","21.153","0.506","24.151","30.102","22.005","12.648","4.983","162.482"
"33","GTD","Ben Keating","12","2:11.166","27:08.515","Green","Track","5.507","10.506","21.294","0.507","23.726","30.207","21.892","12.546","4.981","162.162"
"75","GTD","Kenny Habul","12","2:11.278","27:09.069","Green","Track","5.569","10.470","21.034","0.510","23.908","30.167","21.993","12.574","5.053","161.208"
"28","GTD","Michael de Quesada","12","2:12.511","27:09.518","Green","Track","5.444","10.708","20.903","0.501","25.379","30.292","21.808","12.532","4.944","164.104"
"48","GTD","Madison Snow","12","2:08.862","27:39.824","Green","Track","5.582","10.395","20.784","0.514","23.044","29.526","21.558","12.447","5.012","159.953"
"54","GTD","Jonathan Bennett","12","2:13.024","27:47.480","Green","Track","5.506","10.833","21.305","0.510","24.066","30.624","22.461","12.747","4.972","161.208"
"3","GTLM","Antonio Garcia","12","2:54.531","27:52.091","Green","Track","44.929","15.459","21.694","0.512","23.822","29.620","21.527","12.055","4.913","160.578"
"10","P","Ricky Taylor","13","1:56.657","28:08.624","Green","Track","5.023","9.156","18.994","0.524","21.461","26.477","19.404","11.135","4.483","156.901"
"52","P","Jose Gutierrez","13","1:56.902","28:10.798","Green","Track","4.999","9.263","19.189","0.467","21.666","26.363","19.208","11.282","4.465","176.051"
"22","P","Johannes van Overbeek","13","1:57.213","28:11.538","Green","Track","4.949","9.433","18.995","0.459","21.810","26.391","19.428","11.326","4.422","179.120"
"2","P","Scott Sharp","13","1:57.354","28:12.215","Green","Track","4.963","9.330","19.060","0.460","21.672","26.503","19.616","11.332","4.418","178.730"
"31","P","Eric Curran","13","1:57.141","28:12.725","Green","Track","5.013","9.304","19.066","0.465","21.568","26.516","19.462","11.273","4.474","176.808"
"90","P","Marc Goossens","13","1:56.878","28:13.129","Green","Track","5.000","9.351","19.116","0.466","21.393","26.311","19.508","11.280","4.453","176.429"
"85","P","Misha Goikhberg","13","1:57.300","28:14.179","Green","Track","4.950","9.554","19.288","0.462","21.573","26.297","19.247","11.482","4.447","177.957"
"5","P","Christian Fittipaldi","13","1:57.164","28:14.721","Green","Track","5.018","9.242","19.306","0.468","21.559","26.486","19.478","11.123","4.484","175.675"
"38","PC","James French","13","2:01.556","28:31.776","Green","Track","5.278","9.788","19.664","0.490","22.309","27.412","20.295","11.642","4.678","167.788"
"66","GTLM","Dirk Mueller","13","2:03.836","28:43.587","Green","Track","5.389","9.895","20.245","0.497","22.319","27.999","20.701","11.929","4.862","165.424"
"25","GTLM","Alexander Sims","13","2:04.120","28:44.864","Green","Track","5.380","9.929","20.325","0.511","22.596","28.103","20.588","11.859","4.829","160.892"
"912","GTLM","Gianmaria Bruni","13","2:04.121","28:45.665","Green","Track","5.394","9.909","20.289","0.497","22.480","28.218","20.593","11.867","4.874","165.424"
"911","GTLM","Patrick Pilet","13","2:04.142","28:46.370","Green","Track","5.385","9.967","20.388","0.497","22.395","28.162","20.575","11.903","4.870","165.424"
"67","GTLM","Ryan Briscoe","13","2:04.182","28:47.729","Green","Track","5.320","9.917","20.306","0.493","22.353","28.318","20.721","11.936","4.818","166.767"
"24","GTLM","Martin Tomczyk","13","2:04.262","28:48.420","Green","Track","5.359","9.949","20.277","0.497","22.508","28.384","20.568","11.897","4.823","165.424"
"4","GTLM","Oliver Gavin","13","2:05.357","28:52.393","Green","Track","5.400","10.081","20.423","0.502","22.574","28.650","20.875","11.964","4.888","163.777"
"26","PC","Mark Kvamme","13","2:06.412","28:59.783","Green","Track","5.437","10.198","20.209","0.502","22.657","29.333","21.364","11.876","4.836","163.777"
"96","GTD","Jesse Krohn","13","2:08.556","29:05.001","Green","Track","5.491","10.326","21.083","0.518","23.182","29.375","21.335","12.294","4.952","158.718"
"16","GTD","Jeroen Mul","13","2:09.245","29:08.330","Green","Track","5.461","10.510","20.836","0.505","23.176","29.924","21.444","12.421","4.968","162.804"
"73","GTD","Patrick Lindsey","13","2:09.069","29:09.163","Green","Track","5.453","10.371","20.990","0.507","23.101","29.658","21.556","12.473","4.960","162.162"
"15","GTD","Scott Pruett","13","2:09.608","29:11.164","Green","Track","5.491","10.453","20.952","0.508","23.513","29.527","21.792","12.388","4.984","161.842"
"86","GTD","Oswaldo Negri Jr.","13","2:09.656","29:11.887","Green","Track","5.492","10.559","21.014","0.506","23.358","29.759","21.564","12.429","4.975","162.482"
"57","GTD","Andrew Davis","13","2:09.845","29:12.423","Green","Track","5.448","10.556","20.922","0.506","23.635","29.943","21.400","12.434","5.001","162.482"
"63","GTD","Christina Nielsen","13","2:09.954","29:13.889","Green","Track","5.465","10.525","20.869","0.508","23.391","30.070","21.789","12.384","4.953","161.842"
"14","GTD","Robert Alon","13","2:09.922","29:14.664","Green","Track","5.455","10.481","21.197","0.509","23.631","29.539","21.594","12.552","4.964","161.524"
"33","GTD","Ben Keating","13","2:10.326","29:18.841","Green","Track","5.502","10.797","21.246","0.514","23.423","29.757","21.644","12.431","5.012","159.953"
"75","GTD","Kenny Habul","13","2:10.629","29:19.698","Green","Track","5.582","10.626","21.185","0.514","23.626","29.804","21.648","12.599","5.045","159.953"
"28","GTD","Michael de Quesada","13","2:10.716","29:20.234","Green","Track","5.427","10.841","20.996","0.501","23.779","30.049","21.726","12.467","4.930","164.104"
"50","GTD","Cooper MacNeil","13","2:13.387","29:21.720","Green","Track","5.487","10.874","21.386","0.505","25.126","30.327","22.046","12.650","4.986","162.804"
"48","GTD","Madison Snow","13","2:08.360","29:48.184","Green","Track","5.570","10.406","20.841","0.514","22.938","29.509","21.335","12.234","5.013","159.953"
"3","GTLM","Antonio Garcia","13","2:06.861","29:58.952","Green","Track","5.464","10.110","20.670","0.506","22.773","29.102","21.353","11.977","4.906","162.482"
"54","GTD","Jonathan Bennett","13","2:12.971","30:00.451","Green","Track","5.492","10.898","21.306","0.511","23.819","30.596","22.671","12.729","4.949","160.892"
"10","P","Ricky Taylor","14","1:56.944","30:05.568","Green","Track","5.025","9.443","18.958","0.489","21.292","26.430","19.624","11.217","4.466","168.131"
"52","P","Jose Gutierrez","14","1:57.016","30:07.814","Green","Track","4.989","9.231","19.253","0.466","21.660","26.385","19.340","11.257","4.435","176.429"
"22","P","Johannes van Overbeek","14","1:56.843","30:08.381","Green","Track","4.960","9.276","19.079","0.464","21.695","26.417","19.233","11.318","4.401","177.189"
"2","P","Scott Sharp","14","1:56.999","30:09.214","Green","Track","4.949","9.383","19.082","0.461","21.511","26.458","19.404","11.333","4.418","178.343"
"31","P","Eric Curran","14","1:56.902","30:09.627","Green","Track","4.991","9.392","18.993","0.463","21.519","26.386","19.366","11.323","4.469","177.572"
"90","P","Marc Goossens","14","1:56.969","30:10.098","Green","Track","4.972","9.411","19.122","0.465","21.468","26.298","19.499","11.293","4.441","176.808"
"85","P","Misha Goikhberg","14","1:56.710","30:10.889","Green","Track","4.950","9.454","19.210","0.462","21.526","26.121","19.233","11.322","4.432","177.957"
"5","P","Christian Fittipaldi","14","1:56.915","30:11.636","Green","Track","5.009","9.292","19.137","0.467","21.566","26.418","19.321","11.220","4.485","176.051"
"38","PC","James French","14","2:00.741","30:32.517","Green","Track","5.277","9.716","19.702","0.490","22.100","27.274","20.087","11.442","4.653","167.788"
"66","GTLM","Dirk Mueller","14","2:04.268","30:47.855","Green","Track","5.388","9.981","20.427","0.498","22.402","28.168","20.683","11.863","4.858","165.092"
"25","GTLM","Alexander Sims","14","2:04.156","30:49.020","Green","Track","5.385","9.995","20.333","0.506","22.493","28.112","20.643","11.868","4.821","162.482"
"912","GTLM","Gianmaria Bruni","14","2:04.328","30:49.993","Green","Track","5.403","9.940","20.305","0.498","22.544","28.265","20.666","11.845","4.862","165.092"
"911","GTLM","Patrick Pilet","14","2:04.515","30:50.885","Green","Track","5.397","10.010","20.451","0.497","22.403","28.295","20.662","11.932","4.868","165.424"
"67","GTLM","Ryan Briscoe","14","2:04.357","30:52.086","Green","Track","5.329","9.986","20.424","0.493","22.261","28.295","20.772","11.986","4.811","166.767"
"24","GTLM","Martin Tomczyk","14","2:04.207","30:52.627","Green","Track","5.363","10.008","20.306","0.497","22.427","28.283","20.592","11.932","4.799","165.424"
"4","GTLM","Oliver Gavin","14","2:06.102","30:58.495","Green","Track","5.425","10.095","20.496","0.501","22.757","28.881","21.016","12.043","4.888","164.104"
"26","PC","Mark Kvamme","14","2:06.774","31:06.557","Green","Track","5.440","10.398","20.217","0.501","22.972","29.430","21.150","11.881","4.785","164.104"
"96","GTD","Jesse Krohn","14","2:08.691","31:13.692","Green","Track","5.513","10.373","20.918","0.516","23.236","29.451","21.435","12.313","4.936","159.333"
"16","GTD","Jeroen Mul","14","2:09.480","31:17.810","Green","Track","5.483","10.614","20.990","0.505","23.214","29.826","21.376","12.489","4.983","162.804"
"73","GTD","Patrick Lindsey","14","2:09.825","31:18.988","Green","Track","5.469","10.473","21.458","0.508","23.269","29.693","21.656","12.353","4.946","161.842"
"15","GTD","Scott Pruett","14","2:09.510","31:20.674","Green","Track","5.513","10.440","21.024","0.509","23.398","29.497","21.669","12.489","4.971","161.524"
"86","GTD","Oswaldo Negri Jr.","14","2:09.452","31:21.339","Green","Track","5.515","10.576","21.006","0.510","23.471","29.496","21.538","12.383","4.957","161.208"
"57","GTD","Andrew Davis","14","2:09.736","31:22.159","Green","Track","5.492","10.611","20.862","0.504","23.654","29.927","21.333","12.359","4.994","163.127"
"63","GTD","Christina Nielsen","14","2:10.103","31:23.992","Green","Track","5.482","10.457","21.073","0.509","23.525","30.060","21.634","12.396","4.967","161.524"
"14","GTD","Robert Alon","14","2:10.096","31:24.760","Green","Track","5.478","10.556","20.984","0.506","23.659","29.660","21.689","12.581","4.983","162.482"
"33","GTD","Ben Keating","14","2:09.291","31:28.132","Green","Track","5.579","10.397","20.962","0.514","23.410","29.605","21.445","12.381","4.998","159.953"
"75","GTD","Kenny Habul","14","2:09.960","31:29.658","Green","Track","5.583","10.428","21.059","0.516","23.480","29.945","21.531","12.386","5.032","159.333"
"28","GTD","Michael de Quesada","14","2:10.411","31:30.645","Green","Track","5.430","10.702","20.886","0.502","23.680","30.114","21.749","12.407","4.941","163.777"
"50","GTD","Cooper MacNeil","14","2:12.012","31:33.732","Green","Track","5.507","10.861","21.228","0.509","24.027","30.309","22.046","12.535","4.990","161.524"
"48","GTD","Madison Snow","14","2:09.065","31:57.249","Green","Track","5.587","10.334","20.881","0.514","23.222","29.602","21.599","12.314","5.012","159.953"
"10","P","Ricky Taylor","15","1:58.049","32:03.617","Green","Track","5.009","9.205","18.981","0.465","21.585","26.679","20.050","11.584","4.491","176.808"
"3","GTLM","Antonio Garcia","14","2:05.289","32:04.241","Green","Track","5.462","9.978","20.541","0.506","22.496","28.497","20.960","11.960","4.889","162.482"
"52","P","Jose Gutierrez","15","1:59.942","32:07.756","Green","Track","4.981","9.239","19.161","0.464","21.777","28.694","19.770","11.401","4.455","177.189"
"22","P","Johannes van Overbeek","15","1:59.936","32:08.317","Green","Track","4.939","9.384","18.916","0.461","21.714","29.128","19.603","11.393","4.398","178.343"
"2","P","Scott Sharp","15","1:59.770","32:08.984","Green","Track","4.962","9.384","18.979","0.461","21.346","29.021","19.828","11.388","4.401","178.343"
"31","P","Eric Curran","15","1:59.787","32:09.414","Green","Track","4.991","9.370","19.137","0.463","21.488","28.610","19.871","11.383","4.474","177.572"
"85","P","Misha Goikhberg","15","1:58.901","32:09.790","Green","Track","4.944","9.470","19.294","0.462","21.438","27.408","20.054","11.420","4.411","177.957"
"90","P","Marc Goossens","15","2:00.506","32:10.604","Green","Track","4.981","9.360","19.180","0.465","21.419","29.110","20.127","11.393","4.471","176.808"
"5","P","Christian Fittipaldi","15","1:59.211","32:10.847","Green","Track","5.014","9.237","19.058","0.464","21.637","27.847","20.176","11.314","4.464","177.189"
"54","GTD","Jonathan Bennett","14","2:16.833","32:17.284","Green","Track","5.478","10.784","21.257","0.508","24.240","33.101","23.665","12.822","4.978","161.842"
"38","PC","James French","15","2:00.901","32:33.418","Green","Track","5.278","9.690","19.763","0.490","22.112","27.318","20.116","11.488","4.646","167.788"
"66","GTLM","Dirk Mueller","15","2:04.225","32:52.080","Green","Track","5.392","9.929","20.342","0.496","22.376","28.236","20.722","11.889","4.843","165.758"
"25","GTLM","Alexander Sims","15","2:04.687","32:53.707","Green","Track","5.384","10.043","20.418","0.507","22.547","28.169","20.840","11.944","4.835","162.162"
"912","GTLM","Gianmaria Bruni","15","2:04.471","32:54.464","Green","Track","5.403","9.920","20.311","0.497","22.510","28.373","20.669","11.930","4.858","165.424"
"911","GTLM","Patrick Pilet","15","2:04.307","32:55.192","Green","Track","5.405","9.954","20.368","0.497","22.514","28.154","20.665","11.895","4.855","165.424"
"67","GTLM","Ryan Briscoe","15","2:04.723","32:56.809","Green","Track","5.335","10.027","20.403","0.495","22.395","28.373","20.911","11.954","4.830","166.093"
"24","GTLM","Martin Tomczyk","15","2:04.725","32:57.352","Green","Track","5.354","10.018","20.347","0.495","22.567","28.338","20.746","12.037","4.823","166.093"
"4","GTLM","Oliver Gavin","15","2:05.920","33:04.415","Green","Track","5.436","10.092","20.458","0.502","22.694","28.868","21.043","11.944","4.883","163.777"
"26","PC","Mark Kvamme","15","2:06.283","33:12.840","Green","Track","5.403","10.069","20.040","0.498","22.839","29.111","21.505","12.010","4.808","165.092"
"96","GTD","Jesse Krohn","15","2:08.736","33:22.428","Green","Track","5.508","10.422","20.930","0.518","23.150","29.405","21.503","12.346","4.954","158.718"
"16","GTD","Jeroen Mul","15","2:09.204","33:27.014","Green","Track","5.498","10.498","20.966","0.506","23.219","29.802","21.341","12.392","4.982","162.482"
"73","GTD","Patrick Lindsey","15","2:08.973","33:27.961","Green","Track","5.475","10.503","20.902","0.505","23.221","29.540","21.545","12.325","4.957","162.804"
"15","GTD","Scott Pruett","15","2:09.856","33:30.530","Green","Track","5.505","10.490","20.882","0.509","23.566","29.741","21.683","12.399","5.081","161.524"
"86","GTD","Oswaldo Negri Jr.","15","2:09.636","33:30.975","Green","Track","5.502","10.555","20.914","0.507","23.389","29.702","21.676","12.433","4.958","162.162"
"57","GTD","Andrew Davis","15","2:09.460","33:31.619","Green","Track","5.502","10.542","20.910","0.505","23.456","29.702","21.448","12.415","4.980","162.804"
"63","GTD","Christina Nielsen","15","2:09.792","33:33.784","Green","Track","5.509","10.575","20.877","0.508","23.383","29.969","21.621","12.383","4.967","161.842"
"14","GTD","Robert Alon","15","2:09.867","33:34.627","Green","Track","5.499","10.592","21.009","0.509","23.753","29.542","21.470","12.514","4.979","161.524"
"33","GTD","Ben Keating","15","2:08.954","33:37.086","Green","Track","5.571","10.355","20.992","0.514","23.211","29.626","21.413","12.288","4.984","159.953"
"75","GTD","Kenny Habul","15","2:10.352","33:40.010","Green","Track","5.595","10.531","21.117","0.519","23.592","29.800","21.687","12.469","5.042","158.412"
"28","GTD","Michael de Quesada","15","2:10.433","33:41.078","Green","Track","5.456","10.664","20.925","0.504","23.579","30.114","21.808","12.449","4.934","163.127"
"50","GTD","Cooper MacNeil","15","2:11.508","33:45.240","Green","Track","5.525","10.912","21.169","0.507","23.783","30.203","21.786","12.618","5.005","162.162"
