"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"912","GTLM","Laurens Vanthoor","235","2:00.134","8:31:01.313","Green","Track","5.636","5.723","24.466","15.207","26.427","27.250","0.529","10.737","1.455","2.704","160.251","118.713"
"3","GTLM","Jan Magnussen","238","2:00.539","8:31:01.481","Green","Track","5.628","5.628","24.569","15.131","26.369","27.520","0.533","11.008","1.452","2.701","159.048","118.958"
"96","GTD","Jesse Krohn","215","28:56.708","8:31:05.271","Green","Pit","26.451","10.850","26.500","17.354","39.051","55.755","1.174","17.866","4.688","1746.584","72.208","36.845"
"15","GTD","Jack Hawksworth","227","2:03.636","8:31:07.665","Green","Track","5.745","5.969","25.266","15.558","27.355","28.041","0.541","10.930","1.478","2.753","156.696","116.866"
"31","P","Michael Conway","246","1:52.148","8:31:16.569","Green","Track","5.250","5.054","22.898","14.266","24.793","25.846","0.503","9.712","1.331","2.495","168.534","129.773"
"33","GTD","Mario Farnbacher","231","2:02.492","8:31:18.498","Green","Track","5.765","5.756","25.057","15.264","26.999","28.004","0.548","10.877","1.478","2.744","154.695","116.866"
"63","GTD","Matteo Cressoni","231","2:03.352","8:31:20.536","Green","Track","5.711","6.040","25.228","15.269","27.051","28.479","0.543","10.833","1.466","2.732","156.119","117.822"
"48","GTD","Bryan Sellers","231","2:03.275","8:31:22.832","Green","Track","5.726","5.983","25.154","15.309","27.378","28.009","0.537","10.964","1.477","2.738","157.864","116.945"
"29","GTD","Christopher Mies","231","2:03.304","8:31:25.971","Green","Track","5.765","5.849","25.339","15.373","27.090","28.187","0.546","10.899","1.487","2.769","155.261","116.158"
"10","P","Alexander Lynn","249","1:54.058","8:31:31.296","Green","Track","5.318","5.337","23.597","14.634","25.471","25.283","0.502","10.078","1.336","2.502","168.870","129.287"
"55","P","Jonathan Bomarito","222","2:47.391","8:31:32.272","Green","Pit","5.456","5.753","24.866","16.365","27.012","28.262","0.640","12.222","3.734","43.081","132.457","46.258"
"5","P","Filipe Albuquerque","249","1:55.551","8:31:33.762","Green","Track","5.213","5.272","24.504","14.417","25.825","25.881","0.503","10.102","1.338","2.496","168.534","129.094"
"86","GTD","Jeff Segal","230","2:04.573","8:31:36.224","Green","Track","0.000","0.000","25.407","15.489","27.284","28.555","0.553","10.990","1.498","2.791","153.296","115.305"
"11","GTD","Rolf Ineichen","231","2:05.383","8:31:37.747","Green","Track","5.691","6.116","25.799","15.723","27.845","28.522","0.534","10.910","1.494","2.749","158.750","115.614"
"16","GTD","Jeroen Mul","231","2:06.249","8:31:37.924","Green","Track","5.838","6.171","26.150","16.258","27.702","28.528","0.544","10.828","1.481","2.749","155.832","116.629"
"28","GTD","Daniel Morad","229","2:06.678","8:31:42.306","Green","Track","5.744","5.963","26.317","16.308","28.016","28.398","0.538","11.165","1.479","2.750","157.570","116.787"
"73","GTD","Joerg Bergmeister","230","2:05.260","8:31:42.937","Green","Track","5.802","6.071","25.403","15.798","27.835","28.379","0.545","11.168","1.493","2.766","155.546","115.691"
"93","GTD","Katherine Legge","224","2:04.750","8:31:46.897","Green","Track","5.787","6.077","25.512","15.590","27.293","28.517","0.554","11.146","1.492","2.782","153.019","115.769"
"54","GTD","Nic Jonsson","228","2:14.970","8:31:51.058","Green","Pit","5.755","6.031","25.994","15.923","27.386","28.170","0.541","11.400","3.820","9.950","156.696","45.217"
"20","PC","Mark Kvamme","208","2:04.436","8:31:52.099","Green","Track","5.802","6.204","25.234","15.176","27.634","28.426","0.534","11.281","1.449","2.696","158.750","119.204"
"46","GTD","Michele Beretta","229","2:04.813","8:31:56.460","Green","Track","5.782","5.970","25.372","15.740","27.553","28.582","0.545","10.983","1.502","2.784","155.546","114.998"
"8","PC","Sean Rayhall","240","1:58.499","8:32:01.988","Green","Track","5.611","5.647","24.332","14.992","26.092","26.852","0.534","10.391","1.408","2.640","158.750","122.676"
