"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"86","GTD","Oswaldo Negri Jr.","34","2:13.755","1:23:21.302","Green","Track","1.471","20.908","25.759","11.035","10.315","0.462","4.731","0.459","24.173","25.787","8.654","145.243","146.192"
"25","GTLM","Bill Auberlen","35","2:07.618","1:23:22.328","Green","Track","1.473","20.164","24.374","9.741","9.610","0.445","4.584","0.419","23.018","25.171","8.619","150.792","160.149"
"15","GTD","Jack Hawksworth","34","2:10.927","1:23:22.752","Green","Track","1.464","20.973","25.098","9.722","9.773","0.449","4.634","0.412","23.706","25.965","8.731","149.448","162.870"
"14","GTD","Sage Karam","34","2:11.634","1:23:24.052","Green","Track","1.466","20.956","25.508","9.797","9.880","0.460","4.689","0.455","23.969","25.712","8.742","145.875","147.478"
"80","GTD","Mike Skeen","34","2:11.680","1:23:24.549","Green","Track","1.472","20.824","25.439","10.153","9.908","0.454","4.668","0.421","23.964","25.707","8.665","147.802","159.388"
"54","GTD","Colin Braun","34","2:11.467","1:23:25.959","Green","Track","1.458","21.232","25.518","9.639","9.838","0.451","4.601","0.412","23.915","25.748","8.655","148.786","162.870"
"4","GTLM","Tommy Milner","16","2:27.077","1:23:28.592","Green","Pit","1.432","20.518","25.080","9.611","9.702","0.475","5.732","0.554","23.683","25.281","25.009","141.268","121.123"
"22","P","Johannes van Overbeek","35","1:58.885","1:23:31.324","Green","Track","1.326","18.780","22.847","8.951","8.885","0.417","4.277","0.383","22.046","23.114","7.859","160.917","175.202"
"991","GTD","Harry Gottsacker","34","2:12.611","1:23:41.331","Green","Track","1.494","21.009","26.077","9.807","10.027","0.466","4.785","0.429","23.866","25.957","8.693","143.996","156.416"
"52","P","Jose Gutierrez","6","1:59.914","1:23:42.665","Green","Track","1.344","19.044","22.877","9.011","9.082","0.419","4.314","0.388","22.504","22.905","8.026","160.149","172.944"
"10","P","Ricky Taylor","36","1:59.029","1:23:46.824","Green","Track","1.349","19.159","22.447","9.010","8.937","0.421","4.390","0.430","22.421","22.642","7.823","159.388","156.052"
"66","GTLM","Joey Hand","34","2:06.558","1:23:49.365","Green","Track","1.474","20.279","24.055","9.381","9.816","0.459","4.705","0.424","22.583","24.817","8.566","146.192","158.260"
"5","P","Joao Barbosa","36","1:59.290","1:23:55.740","Green","Track","1.341","19.042","22.683","8.953","8.935","0.418","4.300","0.386","22.199","23.162","7.871","160.532","173.840"
"31","P","Dane Cameron","36","1:59.352","1:23:56.270","Green","Track","1.332","18.840","22.868","9.089","8.937","0.419","4.285","0.386","22.378","22.923","7.895","160.149","173.840"
"90","P","Marc Goossens","36","2:00.019","1:24:01.392","Green","Track","1.367","18.802","22.861","9.105","9.238","0.427","4.432","0.398","22.185","23.183","8.021","157.148","168.599"
"2","P","Scott Sharp","36","1:59.915","1:24:02.110","Green","Track","1.324","18.789","22.947","9.117","8.950","0.416","4.269","0.383","22.541","23.227","7.952","161.304","175.202"
"85","P","Stephen Simpson","36","1:59.804","1:24:02.511","Green","Track","1.323","19.169","22.733","9.113","8.911","0.412","4.229","0.380","22.483","23.121","7.930","162.870","176.585"
"24","GTLM","Martin Tomczyk","35","2:05.295","1:24:35.206","Green","Track","1.449","19.979","23.828","9.240","9.664","0.453","4.641","0.416","22.820","24.381","8.424","148.129","161.304"
"38","PC","James French","36","2:05.376","1:24:42.276","Green","Track","1.390","20.006","24.184","9.420","9.247","0.436","4.498","0.405","23.219","24.457","8.114","153.904","165.685"
"55","P","Tristan Nunez","26","2:14.925","1:24:42.672","Green","Track","7.645","25.283","24.025","9.438","9.147","0.426","4.395","0.434","22.829","23.399","7.904","157.517","154.614"
