"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"85","P","Misha Goikhberg","12","1:29.411","17:27.440","Green","Track","3.535","11.761","0.506","13.531","11.071","8.964","0.518","13.081","10.058","10.248","2.178","3.960","156.306","156.634"
"50","GTD","Cooper MacNeil","11","1:33.567","17:27.985","Green","Track","3.522","12.643","0.568","13.993","10.678","9.704","0.575","13.982","10.475","10.560","2.408","4.459","139.245","141.107"
"55","P","Jonathan Bomarito","12","1:30.385","17:28.556","Green","Track","3.584","11.992","0.512","13.798","10.626","8.955","0.522","14.087","10.249","9.942","2.158","3.960","154.474","155.434"
"10","P","Ricky Taylor","12","1:29.838","17:29.669","Green","Track","3.105","12.015","0.522","13.132","10.533","8.810","0.507","14.032","10.300","10.589","2.245","4.048","151.515","160.032"
"73","GTD","Joerg Bergmeister","11","1:35.475","17:30.717","Green","Track","3.483","12.791","0.562","14.388","11.011","9.686","0.564","14.130","10.436","11.478","2.486","4.460","140.731","143.859"
"70","P","Tom Long","12","1:32.115","17:30.729","Green","Track","3.445","12.984","0.531","14.107","10.485","8.867","0.511","13.737","10.828","10.236","2.194","4.190","148.947","158.780"
"96","GTD","Bret Curtis","11","1:35.136","17:31.045","Green","Track","3.277","13.007","0.559","14.249","11.077","9.763","0.595","14.579","10.746","10.502","2.401","4.381","141.486","136.364"
"90","P","Renger Van Der Zande","12","1:31.012","17:31.232","Green","Track","3.194","11.701","0.522","14.606","10.358","8.873","0.516","13.426","11.092","10.189","2.182","4.353","151.515","157.241"
"2","P","Scott Sharp","12","1:30.238","17:31.435","Green","Track","3.206","11.407","0.502","14.191","10.637","8.793","0.504","13.587","10.780","10.330","2.174","4.127","157.552","160.985"
"86","GTD","Oswaldo Negri Jr.","11","1:35.781","17:32.639","Green","Track","3.540","12.666","0.564","14.786","11.418","9.802","0.570","14.473","10.802","10.402","2.378","4.380","140.232","142.344"
"15","GTD","Robert Alon","11","1:36.256","17:34.175","Green","Track","3.666","14.014","0.574","15.132","11.180","9.879","0.565","13.793","10.503","10.217","2.372","4.361","137.789","143.604"
"54","GTD","Jonathan Bennett","11","1:34.622","17:42.319","Green","Track","3.503","13.022","0.567","14.238","10.854","9.707","0.565","13.871","10.764","10.676","2.417","4.438","139.490","143.604"
"38","PC","James French","12","1:30.566","17:59.163","Green","Track","3.278","11.834","0.535","13.589","10.484","9.041","0.539","14.238","10.516","10.078","2.260","4.174","147.833","150.531"
"20","PC","Don Yount","11","1:35.909","18:00.331","Green","Track","3.888","13.093","0.567","14.712","10.882","9.302","0.544","14.363","10.936","11.024","2.328","4.270","139.490","149.148"
