"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"911","GTLM","Patrick Pilet","157","1:42.492","4:57:49.659","Green","Track","3.240","8.380","12.152","3.833","0.496","13.271","21.055","31.106","5.604","3.355","165.643"
"48","GTD","Bryan Sellers","152","1:47.528","4:57:59.176","Green","Track","3.344","9.091","12.697","3.957","0.508","14.361","22.068","32.152","5.885","3.465","161.730"
"26","PC","Gustavo Yacaman","141","1:39.832","4:58:01.305","Green","Track","3.143","8.292","11.902","3.779","0.496","12.866","20.446","30.360","5.309","3.239","165.643"
"15","GTD","Jack Hawksworth","153","1:44.786","4:58:08.325","Green","Track","3.271","8.697","12.378","3.870","0.499","13.653","21.486","31.841","5.698","3.393","164.647"
"25","GTLM","Alexander Sims","158","2:30.856","4:58:09.331","Green","Pit","3.259","8.535","12.160","3.867","0.501","13.261","21.021","31.136","6.469","50.647","163.990"
"3","GTLM","Antonio Garcia","158","1:42.889","4:58:10.226","Green","Track","3.218","8.499","12.304","3.841","0.496","13.384","21.012","31.135","5.635","3.365","165.643"
"31","P","Dane Cameron","155","1:35.014","4:58:10.236","Green","Track","3.024","8.252","11.274","3.520","0.454","12.114","19.487","28.852","4.997","3.040","180.967"
"5","P","Joao Barbosa","165","1:37.796","4:58:12.709","Green","Track","3.010","8.202","11.421","3.798","0.513","12.807","19.768","29.723","5.416","3.138","160.154"
"23","GTD","Townsend Bell","151","1:47.176","4:58:14.092","Green","Track","3.317","8.760","12.990","3.951","0.506","13.852","21.710","32.748","5.874","3.468","162.370"
"20","PC","Buddy Rice","157","1:42.280","4:58:16.989","Green","Track","3.294","8.944","11.808","3.769","0.495","13.369","20.915","30.761","5.664","3.261","165.978"
"24","GTLM","John Edwards","158","1:57.803","4:58:21.003","Green","Track","14.505","9.756","12.740","3.896","0.503","14.364","21.279","31.577","5.795","3.388","163.338"
"28","GTD","Daniel Morad","153","1:47.123","4:58:23.906","Green","Track","3.318","8.802","12.548","3.885","0.500","14.027","22.102","32.550","5.905","3.486","164.318"
"73","GTD","Patrick Lindsey","153","1:47.723","4:58:31.903","Green","Track","3.345","8.866","12.648","3.937","0.507","13.942","22.337","32.632","5.994","3.515","162.049"
"10","P","Ricky Taylor","161","1:35.830","4:58:38.546","Green","Track","3.028","7.924","11.313","3.542","0.458","12.228","19.778","29.100","5.324","3.135","179.387"
"85","P","Stephen Simpson","165","1:36.554","4:58:51.333","Green","Track","3.024","8.132","11.233","3.519","0.453","12.073","19.662","29.902","5.422","3.134","181.367"
"38","PC","Kyle Masson","160","1:39.670","4:58:51.497","Green","Track","3.131","8.231","11.822","3.744","0.485","12.589","20.314","30.282","5.746","3.326","169.400"
"54","GTD","Colin Braun","152","1:46.589","4:58:51.646","Green","Track","3.326","8.813","12.519","3.879","0.500","13.985","21.807","32.290","5.968","3.502","164.318"
"27","GTD","Paolo Ruberti","153","1:46.484","4:59:00.838","Green","Track","3.301","9.025","12.541","3.884","0.500","13.803","22.010","32.139","5.838","3.443","164.318"
"33","GTD","Jeroen Bleekemolen","153","1:46.287","4:59:01.329","Green","Track","3.303","8.824","12.471","3.896","0.502","13.894","21.753","32.415","5.812","3.417","163.664"
"93","GTD","Andy Lally","154","1:45.991","4:59:03.844","Green","Track","3.283","0.000","0.000","3.879","0.516","13.886","21.928","31.965","5.872","3.446","159.223"
"2","P","Luis Felipe Derani","163","1:38.001","4:59:04.573","Green","Track","3.017","0.000","0.000","3.510","0.453","12.520","19.927","29.873","6.092","3.224","181.367"
"86","GTD","Jeff Segal","154","1:47.443","4:59:04.902","Green","Track","3.310","8.872","12.462","3.892","0.503","13.960","22.403","32.267","6.265","3.509","163.338"
"4","GTLM","Tommy Milner","158","2:28.408","4:59:06.972","Green","Track","44.447","0.000","0.000","3.959","0.515","14.379","21.704","31.885","5.733","3.410","159.532"
"75","GTD","Tristan Vautier","151","1:46.493","4:59:12.872","Green","Track","3.349","0.000","0.000","3.945","0.506","13.934","21.779","32.177","5.806","3.465","162.370"
"52","P","Olivier Pla","165","1:35.686","4:59:12.975","Green","Track","2.969","0.000","0.000","3.538","0.456","12.041","19.330","29.706","5.402","3.125","180.173"
"96","GTD","Jens Klingmann","154","1:46.568","4:59:13.264","Green","Track","3.301","0.000","0.000","3.903","0.504","14.049","21.854","32.348","5.787","3.390","163.014"
"63","GTD","Alessandro Balzan","154","1:46.009","4:59:14.463","Green","Track","3.283","0.000","0.000","3.874","0.501","13.709","21.846","32.333","5.909","3.417","163.990"
"57","GTD","Lawson Aschenbach","154","1:45.687","4:59:15.167","Green","Track","3.318","0.000","0.000","3.880","0.506","13.519","21.518","32.430","5.862","3.444","162.370"
"90","P","Marc Goossens","164","1:38.213","4:59:16.922","Green","Track","3.044","0.000","0.000","3.581","0.468","12.808","20.428","29.828","5.328","3.154","175.554"
"67","GTLM","Richard Westbrook","159","1:43.003","4:59:19.227","Green","Track","3.246","0.000","0.000","3.841","0.494","13.250","21.226","31.271","5.564","3.353","166.314"
"55","P","Jonathan Bomarito","165","1:36.415","4:59:24.304","Green","Track","2.990","0.000","0.000","3.516","0.455","12.280","19.964","29.680","5.197","3.052","180.569"
"14","GTD","Sage Karam","154","1:46.282","4:59:26.257","Green","Track","0.000","0.000","0.000","3.899","0.502","13.725","21.854","32.458","0.000","0.000","163.664"
"66","GTLM","Joey Hand","159","1:42.744","4:59:26.581","Green","Track","3.238","0.000","0.000","3.791","0.489","13.189","20.951","31.590","5.623","3.338","168.015"
"50","GTD","Shane Van Gisbergen","154","1:46.611","4:59:27.758","Green","Track","3.306","0.000","0.000","3.915","0.507","13.650","21.803","32.756","5.948","3.449","162.049"
"911","GTLM","Patrick Pilet","158","1:41.897","4:59:31.556","Green","Track","3.243","0.000","0.000","3.829","0.495","13.081","20.980","30.835","5.539","3.335","165.978"
"912","GTLM","Gianmaria Bruni","159","1:55.197","4:59:40.507","Green","Track","14.470","9.360","12.498","3.851","0.495","13.264","21.019","31.272","5.603","3.365","165.978"
"26","PC","Gustavo Yacaman","142","1:42.015","4:59:43.320","Green","Track","3.146","8.310","11.895","3.774","0.496","14.350","20.686","30.824","5.320","3.214","165.643"
"31","P","Dane Cameron","156","1:34.764","4:59:45.000","Green","Track","2.965","7.957","11.471","3.567","0.458","11.945","19.452","28.866","5.036","3.047","179.387"
"48","GTD","Bryan Sellers","153","1:48.327","4:59:47.503","Green","Track","3.327","8.836","12.639","3.943","0.506","14.869","22.222","32.507","5.990","3.488","162.370"
"5","P","Joao Barbosa","166","1:37.182","4:59:49.891","Green","Track","3.018","7.986","11.231","3.504","0.475","13.074","20.480","29.115","5.205","3.094","172.967"
"15","GTD","Jack Hawksworth","154","1:45.431","4:59:53.756","Green","Track","3.274","8.805","12.440","3.891","0.496","13.646","21.567","32.221","5.687","3.404","165.643"
"3","GTLM","Antonio Garcia","159","1:43.753","4:59:53.979","Green","Track","3.246","8.553","12.228","3.819","0.494","13.461","21.327","31.652","5.630","3.343","166.314"
"20","PC","Buddy Rice","158","1:41.125","4:59:58.114","Green","Track","3.166","8.284","11.824","3.768","0.496","13.172","21.097","30.563","5.513","3.242","165.643"
"23","GTD","Townsend Bell","152","1:46.074","5:00:00.166","Green","Track","3.323","8.749","12.591","3.922","0.505","13.738","21.664","32.292","5.806","3.484","162.691"
"24","GTLM","John Edwards","159","1:43.959","5:00:04.962","Green","Track","3.292","8.734","12.314","3.879","0.501","13.836","21.074","31.297","5.676","3.356","163.990"
"25","GTLM","Alexander Sims","159","1:57.150","5:00:06.481","Green","Track","14.667","9.969","12.837","3.936","0.507","13.968","21.198","31.087","5.638","3.343","162.049"
"28","GTD","Daniel Morad","154","1:47.652","5:00:11.558","Green","Track","3.343","8.896","12.556","3.889","0.501","13.998","22.340","32.750","5.904","3.475","163.990"
"10","P","Ricky Taylor","162","1:36.839","5:00:15.385","Green","Track","3.018","8.024","11.333","3.541","0.458","12.398","20.046","29.409","5.450","3.162","179.387"
