"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"86","GTD","Oswaldo Negri Jr.","34","1:30.320","50:25.965","Green","Track","1.756","0.504","4.096","28.017","20.726","15.070","9.020","11.131","131.674"
"93","GTD","Katherine Legge","34","1:28.624","50:33.530","Green","Track","1.735","0.502","4.008","27.017","20.254","15.118","9.006","10.984","132.198"
"50","GTD","Cooper MacNeil","34","1:30.353","50:35.238","Green","Track","1.758","0.506","4.095","27.771","20.580","15.392","9.135","11.116","131.153"
"80","GTD","Mike Skeen","32","1:27.940","50:36.401","Green","Track","1.807","0.525","4.123","26.597","20.293","14.828","8.850","10.917","126.407"
"22","P","Johannes van Overbeek","36","1:21.120","50:39.600","Green","Track","1.569","0.454","3.767","24.642","18.374","13.977","8.074","10.263","146.175"
"10","P","Jordan Taylor","37","1:19.838","50:42.149","Green","Track","1.595","0.463","3.710","24.022","18.150","13.674","8.153","10.071","143.334"
"16","GTD","Jeroen Mul","34","1:27.324","50:43.713","Green","Track","1.770","0.509","3.974","26.396","20.062","14.666","8.923","11.024","130.380"
"62","GTLM","Toni Vilander","35","1:24.817","50:49.174","Green","Track","1.719","0.498","3.985","25.551","19.746","14.324","8.423","10.571","133.260"
"52","P","Olivier Pla","36","1:21.345","50:49.364","Green","Track","1.583","0.457","3.866","24.594","18.130","13.726","8.530","10.459","145.216"
"66","GTLM","Joey Hand","35","1:24.770","50:52.836","Green","Track","1.719","0.493","4.033","25.436","19.287","14.791","8.580","10.431","134.612"
"5","P","Joao Barbosa","37","1:20.695","50:53.630","Green","Track","1.597","0.459","3.725","24.345","18.302","13.651","8.226","10.390","144.583"
"48","GTD","Madison Snow","34","1:28.040","50:53.887","Green","Track","1.767","0.509","3.993","26.712","20.017","14.876","9.021","11.145","130.380"
"911","GTLM","Dirk Werner","35","1:26.572","50:54.191","Green","Track","1.736","0.501","4.127","26.487","19.713","14.416","8.675","10.917","132.462"
"25","GTLM","Bill Auberlen","35","1:25.406","50:59.070","Green","Track","1.704","0.490","3.924","25.650","19.841","14.459","8.728","10.610","135.436"
"67","GTLM","Richard Westbrook","35","1:25.478","50:59.476","Green","Track","1.713","0.491","3.956","25.637","19.873","14.369","8.698","10.741","135.160"
"75","GTD","Tristan Vautier","33","1:32.993","50:59.788","Green","Track","4.548","0.890","5.483","26.665","20.487","14.713","9.147","11.060","74.566"
"57","GTD","Andrew Davis","34","1:28.142","51:00.530","Green","Track","1.757","0.508","4.025","26.550","20.540","15.036","8.730","10.996","130.637"
"31","P","Dane Cameron","37","1:19.893","51:00.815","Green","Track","1.597","0.460","3.772","23.967","18.027","13.622","8.056","10.392","144.269"
"24","GTLM","Martin Tomczyk","35","1:24.069","51:01.266","Green","Track","1.705","0.493","3.966","25.403","19.089","14.110","8.458","10.845","134.612"
"90","P","Renger Van Der Zande","37","1:19.851","51:01.322","Green","Track","1.565","0.453","3.668","24.252","17.962","13.638","8.057","10.256","146.498"
"912","GTLM","Gianmaria Bruni","35","1:24.695","51:06.562","Green","Track","1.717","0.495","3.994","25.497","19.529","14.358","8.502","10.603","134.068"
"4","GTLM","Oliver Gavin","35","1:25.608","51:09.038","Green","Track","1.703","0.489","4.032","26.120","19.749","14.252","8.462","10.801","135.713"
"73","GTD","Joerg Bergmeister","34","1:27.320","51:09.262","Green","Track","1.775","0.508","4.113","26.312","20.020","14.699","8.908","10.985","130.637"
"14","GTD","Robert Alon","34","1:28.170","51:10.938","Green","Track","1.776","0.513","4.123","26.523","20.521","14.943","8.793","10.978","129.364"
"96","GTD","Jens Klingmann","34","1:27.731","51:11.298","Green","Track","1.719","0.496","4.147","26.453","20.068","14.972","8.901","10.975","133.798"
"3","GTLM","Antonio Garcia","35","1:25.761","51:11.420","Green","Track","1.719","0.496","4.029","25.612","19.482","14.620","8.968","10.835","133.798"
