"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"67","GTLM","Richard Westbrook","1","29:10.712","29:10.712","Green","Track","0.000","6.191","25.332","22.062","7.549","0.553","19.794","0.949","156.584"
"62","GTLM","Toni Vilander","1","29:15.473","29:15.473","Green","Track","0.000","7.318","27.252","23.179","7.593","0.553","19.793","0.976","156.584"
"25","GTLM","Bill Auberlen","1","29:18.495","29:18.495","Green","Track","0.000","8.932","27.548","22.334","7.456","0.547","19.239","0.880","158.301"
"24","GTLM","Martin Tomczyk","1","29:27.297","29:27.297","Green","Track","0.000","5.938","24.986","22.639","7.605","0.619","20.804","0.946","139.888"
"3","GTLM","Antonio Garcia","3","1:19.368","29:45.016","Green","Track","5.483","4.009","20.891","21.385","7.477","0.548","18.692","0.883","158.013"
"912","GTLM","Gianmaria Bruni","2","1:21.226","30:01.882","Green","Track","5.750","4.089","21.850","21.497","7.610","0.557","18.984","0.889","155.459"
"4","GTLM","Tommy Milner","3","1:20.165","30:08.087","Green","Track","5.573","4.031","21.189","21.483","7.516","0.549","18.938","0.886","157.725"
"911","GTLM","Patrick Pilet","3","1:19.217","30:12.706","Green","Track","5.489","3.980","20.720","21.210","7.545","0.552","18.838","0.883","156.868"
"67","GTLM","Richard Westbrook","2","1:20.677","30:31.389","Green","Track","5.829","4.088","21.782","21.220","7.465","0.546","18.864","0.883","158.591"
"62","GTLM","Toni Vilander","2","1:21.078","30:36.551","Green","Track","5.808","4.293","21.908","21.324","7.528","0.551","18.783","0.883","157.152"
"25","GTLM","Bill Auberlen","2","1:21.380","30:39.875","Green","Track","5.417","3.946","20.783","21.264","7.397","0.543","21.159","0.871","159.468"
"24","GTLM","Martin Tomczyk","2","1:21.178","30:48.475","Green","Track","5.731","4.247","21.480","21.708","7.455","0.548","19.134","0.875","158.013"
"66","GTLM","Joey Hand","1","30:59.513","30:59.513","Green","Track","0.000","5.762","24.940","22.445","7.573","0.556","19.894","0.963","155.739"
"3","GTLM","Antonio Garcia","4","1:17.852","31:02.868","Green","Track","5.393","3.861","20.288","20.992","7.443","0.544","18.456","0.875","159.174"
"912","GTLM","Gianmaria Bruni","3","1:19.421","31:21.303","Green","Track","5.505","4.057","20.865","21.237","7.583","0.555","18.733","0.886","156.020"
"4","GTLM","Tommy Milner","4","1:18.528","31:26.615","Green","Track","5.444","3.909","20.492","21.059","7.494","0.551","18.694","0.885","157.152"
"911","GTLM","Patrick Pilet","4","1:18.547","31:31.253","Green","Track","5.456","3.945","20.329","21.079","7.561","0.554","18.739","0.884","156.301"
"67","GTLM","Richard Westbrook","3","1:18.304","31:49.693","Green","Track","5.452","3.875","20.474","20.973","7.457","0.547","18.647","0.879","158.301"
"62","GTLM","Toni Vilander","3","1:18.381","31:54.932","Green","Track","5.434","4.026","20.541","20.997","7.494","0.551","18.460","0.878","157.152"
"25","GTLM","Bill Auberlen","3","1:18.221","31:58.096","Green","Track","5.368","3.879","20.672","20.955","7.400","0.544","18.532","0.871","159.174"
"24","GTLM","Martin Tomczyk","3","1:18.308","32:06.783","Green","Track","5.374","3.993","20.369","21.044","7.437","0.548","18.669","0.874","158.013"
"3","GTLM","Antonio Garcia","5","1:17.967","32:20.835","Green","Track","5.317","3.854","20.296","21.152","7.470","0.547","18.458","0.873","158.301"
"66","GTLM","Joey Hand","2","1:23.148","32:22.661","Green","Track","5.886","4.282","21.856","22.834","7.545","0.554","19.264","0.927","156.301"
"912","GTLM","Gianmaria Bruni","4","1:18.734","32:40.037","Green","Track","5.451","3.924","20.436","21.134","7.588","0.556","18.759","0.886","155.739"
"4","GTLM","Tommy Milner","5","1:18.318","32:44.933","Green","Track","5.403","3.869","20.386","21.082","7.483","0.548","18.663","0.884","158.013"
