"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"57","GTD","Lawson Aschenbach","44","1:44.590","1:24:27.315","Green","Track","21.445","15.736","12.490","15.280","11.273","0.514","22.205","5.426","0.221","159.179"
"63","GTD","Alessandro Balzan","47","1:46.420","1:24:34.265","Green","Track","22.023","16.136","12.660","15.631","11.175","0.511","22.629","5.433","0.222","160.114"
"25","GTLM","Bill Auberlen","49","1:42.401","1:24:40.525","Green","Track","21.118","15.338","12.131","15.111","10.900","0.503","21.759","5.322","0.219","162.660"
"14","GTD","Robert Alon","46","1:46.512","1:24:41.919","Green","Track","22.013","16.042","12.592","15.598","11.188","0.521","22.911","5.424","0.223","157.041"
"911","GTLM","Patrick Pilet","48","1:43.550","1:24:50.580","Green","Track","21.219","15.445","12.435","15.148","11.165","0.512","22.015","5.389","0.222","159.801"
"54","GTD","Colin Braun","46","1:46.172","1:24:59.169","Green","Track","21.829","16.074","12.660","15.759","11.151","0.510","22.536","5.431","0.222","160.428"
"62","GTLM","Toni Vilander","49","1:42.513","1:25:04.633","Green","Track","21.068","15.243","12.157","15.103","11.037","0.506","21.841","5.339","0.219","161.696"
"66","GTLM","Dirk Mueller","49","1:42.120","1:25:05.443","Green","Track","21.042","15.183","12.133","15.223","10.975","0.504","21.585","5.260","0.215","162.338"
"3","GTLM","Antonio Garcia","49","1:42.545","1:25:06.435","Green","Track","21.271","15.415","12.039","15.028","10.842","0.496","21.982","5.257","0.215","164.956"
"4","GTLM","Oliver Gavin","49","1:42.690","1:25:09.555","Green","Track","21.265","15.462","12.157","15.079","10.911","0.499","21.806","5.294","0.217","163.964"
"67","GTLM","Ryan Briscoe","49","1:42.767","1:25:12.956","Green","Track","21.155","15.353","12.223","15.183","10.980","0.503","21.858","5.297","0.215","162.660"
"50","GTD","Gunnar Jeannette","47","1:45.918","1:25:16.062","Green","Track","22.085","16.050","12.596","15.535","11.113","0.507","22.425","5.386","0.221","161.377"
"16","GTD","Jeroen Mul","48","1:44.969","1:25:21.633","Green","Track","21.562","15.757","12.637","15.438","11.165","0.510","22.267","5.411","0.222","160.428"
