"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"32","P","Paul Di Resta","195","1:52.137","6:48:19.829","Green","Track","5.223","4.954","23.456","14.330","24.990","25.316","0.513","9.502","1.340","2.513","165.249","128.901"
"55","P","Harry Tincknell","195","2:17.479","6:48:26.514","Green","Track","22.969","9.687","25.116","14.843","25.288","25.436","0.513","9.842","1.316","2.469","165.249","131.252"
"5","P","Christian Fittipaldi","195","1:54.267","6:48:27.848","Green","Track","5.171","5.024","23.224","14.969","25.390","25.542","0.500","10.528","0.000","2.542","169.545","0.000"
"51","GTD","Mathias Lauda","180","2:02.798","6:48:28.017","Green","Track","5.781","5.837","25.132","15.219","26.886","28.166","0.553","10.983","0.000","2.761","153.296","0.000"
"14","GTD","Dominik Baumann","177","2:02.908","6:48:36.395","Green","Track","5.750","5.828","25.116","15.492","27.142","28.214","0.548","10.608","1.469","2.741","154.695","117.582"
"36","GTD","Till Bechtolsheimer","171","3:05.362","6:48:37.733","Green","Pit","5.967","6.238","25.452","15.699","27.512","28.657","0.556","12.226","3.789","59.266","152.469","45.587"
"58","GTD","Robert Renauer","180","2:02.383","6:48:38.357","Green","Track","5.750","5.946","25.016","15.308","26.880","27.982","0.552","10.712","1.480","2.757","153.574","116.708"
"24","GTLM","John Edwards","178","2:48.461","6:48:38.438","Green","Pit","5.540","5.687","24.256","15.098","26.532","27.104","0.519","10.996","3.281","49.448","163.339","52.645"
"52","P","Sebastian Saavedra","173","2:18.152","6:48:47.414","Green","Track","22.989","9.507","24.653","14.757","25.455","26.642","0.514","9.801","1.336","2.498","164.927","129.287"
"33","GTD","Luca Stolz","182","2:03.757","6:48:50.565","Green","Track","5.701","5.803","25.164","15.203","27.177","28.968","0.551","10.936","1.491","2.763","153.852","115.847"
"48","GTD","Corey Lewis","182","2:03.227","6:48:50.813","Green","Track","5.753","5.832","24.968","15.404","27.157","28.323","0.545","11.023","1.478","2.744","155.546","116.866"
"54","P","Jonathan Bennett","194","1:57.755","6:48:54.481","Green","Track","5.301","5.612","23.734","14.919","25.565","27.809","0.511","10.377","1.381","2.546","165.896","125.074"
"86","GTD","Katherine Legge","182","2:05.088","6:48:55.867","Green","Track","5.724","5.951","25.921","15.301","27.513","28.842","0.546","11.063","1.478","2.749","155.261","116.866"
"93","GTD","Mario Farnbacher","182","2:04.576","6:48:56.480","Green","Track","5.697","5.913","25.200","15.447","27.423","29.223","0.548","10.896","1.479","2.750","154.695","116.787"
"63","GTD","Gunnar Jeannette","182","2:14.424","6:49:04.968","Green","Pit","5.774","5.997","25.672","15.509","27.502","28.672","0.554","11.510","3.535","9.699","153.019","48.862"
"44","GTD","Andrew Davis","181","2:04.390","6:49:11.508","Green","Track","5.804","5.952","25.450","15.368","27.379","28.655","0.555","10.941","1.498","2.788","152.744","115.305"
"71","GTD","Kenton Koch","180","2:04.135","6:49:11.836","Green","Track","5.733","5.866","25.408","15.385","27.331","28.675","0.559","10.938","1.484","2.756","151.651","116.393"
"75","GTD","Thomas Jaeger","182","2:03.927","6:49:12.050","Green","Track","5.733","5.948","25.365","15.441","27.174","28.630","0.549","10.859","1.477","2.751","154.413","116.945"
"38","P","James French","194","1:55.339","6:49:14.401","Green","Track","5.303","5.180","23.872","14.609","25.523","26.042","0.509","10.308","1.407","2.586","166.548","122.763"
"69","GTD","Ryan Eversley","182","2:04.422","6:49:14.507","Green","Track","5.713","5.894","25.236","15.265","27.293","29.173","0.553","11.039","1.484","2.772","153.296","116.393"
