"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"26","LMP3","Matthew Bell","27","1:59.396","1:05:39.062","Green","Track","5.797","5.512","24.313","15.271","26.203","27.228","0.553","10.326","1.449","2.744","153.296","119.204"
"18","MPC","Wyatt Schwab","27","2:33.547","1:05:48.670","Green","Track","27.677","10.032","26.452","16.027","27.900","29.315","0.604","11.016","1.552","2.972","140.352","111.293"
"42","LMP3","Robby Foley","27","2:01.092","1:05:49.179","Green","Track","5.885","5.731","24.783","15.208","26.460","27.634","0.552","10.604","1.464","2.771","153.574","117.983"
"23","LMP3","Mike Skeen","27","2:01.051","1:05:52.548","Green","Track","5.864","5.682","24.927","15.046","26.544","27.616","0.552","10.576","1.474","2.770","153.574","117.183"
"24","MPC","Tim George","28","2:47.770","1:05:55.294","Green","Pit","6.380","5.934","26.445","16.165","44.315","32.927","0.640","13.827","5.236","15.901","132.457","32.988"
"51","LMP3","Sean Rayhall","27","1:59.570","1:05:56.432","Green","Track","5.794","5.549","24.346","15.209","26.126","27.531","0.556","10.298","1.433","2.728","152.469","120.535"
"22","MPC","Stephen Dawes","27","5:49.218","1:06:05.068","Green","Pit","6.377","5.651","25.760","16.768","28.414","30.414","0.608","12.486","4.447","218.293","139.429","38.841"
"28","MPC","Bart Wolf","25","5:48.163","1:06:05.540","Green","Pit","23.597","10.973","29.778","17.786","31.378","51.256","1.166","19.847","5.806","156.576","72.704","29.750"
"25","LMP3","Kenton Koch","23","10:43.888","1:06:06.842","Green","Track","523.917","9.082","25.117","15.422","26.554","27.562","0.562","11.277","1.534","2.861","150.841","112.599"
"47","LMP3","Austin McCusker","28","2:25.263","1:06:11.149","Green","Track","22.244","10.326","26.540","15.827","26.799","27.684","0.550","11.077","1.466","2.750","154.132","117.822"
"4","LMP3","Zacharie Robichon","27","2:00.312","1:06:23.513","Green","Track","5.857","5.644","24.689","15.146","26.408","27.371","0.554","10.417","1.464","2.762","153.019","117.983"
"55","LMP3","Scott Andrews","27","2:00.311","1:06:24.398","Green","Track","5.850","5.541","24.601","15.232","26.345","27.340","0.554","10.628","1.462","2.758","153.019","118.145"
"30","LMP3","Michael Whelden","28","2:00.992","1:06:27.461","Green","Track","5.833","5.735","24.841","15.687","26.593","27.056","0.546","10.567","1.429","2.705","155.261","120.873"
"33","LMP3","Lance Willsey (M)","28","5:48.666","1:06:35.382","Green","Pit","5.903","5.978","25.444","15.591","27.700","28.081","0.556","12.242","3.729","223.442","152.469","46.320"
"3","LMP3","Benjamin Waddell","28","2:00.819","1:06:38.869","Green","Track","5.886","5.750","25.006","15.302","26.315","27.313","0.554","10.460","1.467","2.766","153.019","117.742"
"36","MPC","Paul LaHaye","27","2:09.352","1:06:48.071","Green","Track","6.486","6.034","26.072","16.109","29.001","29.400","0.608","11.084","1.585","2.973","139.429","108.976"
"44","LMP3","Josh Hurley","28","2:01.715","1:06:55.900","Green","Track","5.837","5.767","24.797","15.262","26.787","27.663","0.550","10.803","1.475","2.774","154.132","117.103"
"7","LMP3","Pato O'Ward","28","1:58.774","1:06:57.382","Green","Track","5.785","5.449","24.238","15.104","26.094","27.089","0.549","10.292","1.444","2.730","154.413","119.617"
"19","LMP3","Jan Heylen","27","2:00.309","1:07:16.975","Green","Track","5.803","5.475","24.561","15.260","26.247","27.593","0.558","10.586","1.465","2.761","151.922","117.903"
"75","LMP3","Cameron Cassels (M)","28","2:02.856","1:07:23.234","Green","Track","5.914","6.014","25.219","15.367","26.877","27.791","0.552","10.874","1.476","2.772","153.574","117.024"
"17","LMP3","Corey Lewis","28","2:02.778","1:07:27.168","Green","Track","5.951","5.720","26.003","15.224","26.699","27.573","0.559","10.752","1.489","2.808","151.651","116.002"
"77","MPC","Howard Jacobs","22","2:15.798","1:07:37.583","Green","Track","6.954","6.605","27.945","17.305","29.083","30.497","0.625","12.105","1.615","3.064","135.636","106.952"
"26","LMP3","Matthew Bell","28","1:59.180","1:07:38.242","Green","Track","5.787","5.496","24.291","15.173","26.065","27.284","0.552","10.342","1.450","2.740","153.574","119.122"
"42","LMP3","Robby Foley","28","2:01.399","1:07:50.578","Green","Track","5.825","5.894","24.851","15.153","26.607","27.583","0.558","10.700","1.463","2.765","151.922","118.064"
"23","LMP3","Mike Skeen","28","2:01.614","1:07:54.162","Green","Track","5.849","5.616","25.019","15.126","26.525","27.988","0.551","10.698","1.472","2.770","153.852","117.342"
"18","MPC","Wyatt Schwab","28","2:07.332","1:07:56.002","Green","Track","6.380","6.236","25.590","16.153","27.548","29.548","0.598","10.815","1.538","2.926","141.760","112.306"
"51","LMP3","Sean Rayhall","28","1:59.612","1:07:56.044","Green","Track","5.784","5.570","24.412","15.172","26.263","27.288","0.548","10.407","1.441","2.727","154.695","119.866"
"25","LMP3","Kenton Koch","24","2:00.990","1:08:07.832","Green","Track","5.967","5.482","24.748","15.326","26.766","27.395","0.563","10.490","1.471","2.782","150.573","117.422"
"47","LMP3","Austin McCusker","29","1:59.927","1:08:11.076","Green","Track","5.795","5.486","24.643","15.225","26.251","27.297","0.543","10.529","1.442","2.716","156.119","119.783"
"4","LMP3","Zacharie Robichon","28","2:00.118","1:08:23.631","Green","Track","5.838","5.609","24.556","15.171","26.417","27.492","0.555","10.287","1.450","2.743","152.744","119.122"
"55","LMP3","Scott Andrews","28","2:00.220","1:08:24.618","Green","Track","5.832","5.415","24.682","15.206","26.334","27.447","0.554","10.551","1.452","2.747","153.019","118.958"
"30","LMP3","Michael Whelden","29","2:00.374","1:08:27.835","Green","Track","5.760","5.699","24.753","15.354","26.342","27.291","0.546","10.482","1.436","2.711","155.261","120.284"
"28","MPC","Bart Wolf","26","2:32.187","1:08:37.727","Green","Track","24.368","10.392","27.172","16.420","28.521","29.245","0.610","10.940","1.554","2.965","138.972","111.150"
"3","LMP3","Benjamin Waddell","29","2:01.168","1:08:40.037","Green","Track","5.838","5.799","25.056","15.391","26.463","27.433","0.550","10.392","1.477","2.769","154.132","116.945"
"22","MPC","Stephen Dawes","28","2:36.530","1:08:41.598","Green","Track","26.689","11.008","28.063","16.615","28.527","29.468","0.607","10.980","1.590","2.983","139.659","108.634"
"36","MPC","Paul LaHaye","28","2:08.340","1:08:56.411","Green","Track","6.386","5.950","26.131","16.161","27.976","29.393","0.604","11.148","1.599","2.992","140.352","108.022"
"7","LMP3","Pato O'Ward","29","1:59.332","1:08:56.714","Green","Track","5.774","5.443","24.357","15.191","26.480","27.028","0.547","10.347","1.439","2.726","154.978","120.033"
"44","LMP3","Josh Hurley","29","2:02.581","1:08:58.481","Green","Track","5.846","5.804","24.798","15.339","27.316","27.782","0.545","10.828","1.515","2.808","155.546","114.011"
"33","LMP3","Lance Willsey (M)","29","2:29.037","1:09:04.419","Green","Track","23.348","10.664","26.985","16.186","27.381","28.476","0.560","11.123","1.501","2.813","151.380","115.075"
"19","LMP3","Jan Heylen","28","2:00.700","1:09:17.675","Green","Track","5.788","5.438","24.506","15.781","26.422","27.608","0.553","10.402","1.453","2.749","153.296","118.876"
"75","LMP3","Cameron Cassels (M)","29","2:02.943","1:09:26.177","Green","Track","5.887","6.079","25.223","15.401","26.960","27.804","0.551","10.816","1.465","2.757","153.852","117.903"
"17","LMP3","Corey Lewis","29","2:01.263","1:09:28.431","Green","Track","5.932","5.607","24.772","15.194","26.674","27.550","0.557","10.691","1.485","2.801","152.195","116.315"
"26","LMP3","Matthew Bell","29","1:59.717","1:09:37.959","Green","Track","5.769","5.541","24.298","15.384","26.644","27.077","0.550","10.239","1.458","2.757","154.132","118.469"
"77","MPC","Howard Jacobs","23","2:14.070","1:09:51.653","Green","Track","6.800","6.616","26.973","16.858","28.828","30.459","0.625","12.188","1.641","3.082","135.636","105.257"
"42","LMP3","Robby Foley","29","2:01.281","1:09:51.859","Green","Track","5.866","5.764","24.877","15.282","26.595","27.465","0.552","10.633","1.471","2.776","153.574","117.422"
"23","LMP3","Mike Skeen","29","2:01.057","1:09:55.219","Green","Track","5.853","5.759","24.930","15.254","26.549","27.433","0.548","10.504","1.466","2.761","154.695","117.822"
"51","LMP3","Sean Rayhall","29","1:59.754","1:09:55.798","Green","Track","5.801","5.574","24.294","15.219","26.314","27.421","0.551","10.427","1.433","2.720","153.852","120.535"
"18","MPC","Wyatt Schwab","29","2:06.187","1:10:02.189","Green","Track","6.257","5.732","25.579","15.939","27.850","28.786","0.601","10.981","1.537","2.925","141.053","112.379"
"25","LMP3","Kenton Koch","25","1:59.745","1:10:07.577","Green","Track","5.869","5.438","24.559","15.091","26.318","27.237","0.557","10.425","1.470","2.781","152.195","117.502"
"86","MPC","Dave House","29","6:09.852","1:10:08.287","Green","Pit","6.218","5.781","25.927","16.119","28.305","28.934","0.597","13.820","5.693","238.458","141.998","30.340"
"47","LMP3","Austin McCusker","30","2:01.598","1:10:12.674","Green","Track","5.762","5.463","24.733","15.820","27.143","27.160","0.542","10.803","1.449","2.723","156.407","119.204"
"4","LMP3","Zacharie Robichon","29","2:00.013","1:10:23.644","Green","Track","5.815","5.571","24.495","15.197","26.299","27.459","0.553","10.392","1.467","2.765","153.296","117.742"
"55","LMP3","Scott Andrews","29","1:59.866","1:10:24.484","Green","Track","5.822","5.536","24.606","15.211","26.237","27.278","0.552","10.429","1.452","2.743","153.574","118.958"
"30","LMP3","Michael Whelden","30","2:00.705","1:10:28.540","Green","Track","5.834","5.687","24.741","15.629","26.528","27.109","0.545","10.457","1.447","2.728","155.546","119.369"
"3","LMP3","Benjamin Waddell","30","2:01.544","1:10:41.581","Green","Track","5.829","5.799","25.127","15.643","26.501","27.352","0.552","10.473","1.485","2.783","153.574","116.315"
"28","MPC","Bart Wolf","27","2:08.409","1:10:46.136","Green","Track","6.443","6.088","26.137","16.311","28.354","29.105","0.606","10.786","1.585","2.994","139.889","108.976"
"22","MPC","Stephen Dawes","29","2:07.031","1:10:48.629","Green","Track","6.316","5.571","25.846","16.222","28.098","28.994","0.604","10.891","1.552","2.937","140.352","111.293"
"7","LMP3","Pato O'Ward","30","1:58.343","1:10:55.057","Green","Track","5.777","5.514","24.223","15.033","25.928","26.871","0.549","10.276","1.441","2.731","154.413","119.866"
"44","LMP3","Josh Hurley","30","2:02.753","1:11:01.234","Green","Track","5.880","5.937","25.040","15.340","27.083","27.767","0.548","10.930","1.470","2.758","154.695","117.502"
"36","MPC","Paul LaHaye","29","2:09.424","1:11:05.835","Green","Track","6.607","6.067","26.495","16.209","28.160","29.463","0.601","11.239","1.597","2.986","141.053","108.157"
"33","LMP3","Lance Willsey (M)","30","2:03.268","1:11:07.687","Green","Track","5.986","5.735","25.092","15.696","26.817","28.051","0.560","11.046","1.492","2.793","151.380","115.769"
"75","LMP3","Cameron Cassels (M)","30","2:02.354","1:11:28.531","Green","Track","5.857","5.956","25.081","15.264","26.968","27.828","0.551","10.646","1.457","2.746","153.852","118.550"
