"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"51","GTD","Pedro Lamy","5","1:47.988","12:02.278","Green","Track","11.383","24.249","20.610","7.734","6.322","5.893","9.891","7.074","6.219","5.178","0.467","2.968","175.200"
"96","GTD","Jens Klingmann","6","1:48.508","12:04.744","Green","Track","11.413","24.117","20.809","7.775","6.376","5.956","9.863","7.144","6.291","5.269","0.474","3.021","172.612"
"29","GTD","Kelvin van der Linde","6","1:47.972","12:07.775","Green","Track","11.401","24.181","20.593","7.768","6.361","5.865","9.779","7.137","6.252","5.187","0.465","2.983","175.953"
"14","GTD","Dominik Baumann","5","1:48.375","12:16.520","Green","Track","11.653","23.905","20.718","7.747","6.376","5.968","9.981","7.075","6.264","5.221","0.469","2.998","174.452"
"44","GTD","Andy Lally","6","1:53.041","12:19.404","Green","Track","14.447","25.430","21.101","7.820","6.357","5.845","10.138","7.114","6.232","5.138","0.461","2.958","177.480"
"64","GTD","Townsend Bell","6","1:48.042","12:24.649","Green","Track","11.299","24.137","20.419","7.821","6.442","5.987","9.730","7.130","6.307","5.262","0.476","3.032","171.887"
"73","GTD","Patrick Lindsey","6","1:48.162","12:43.928","Green","Track","11.419","23.989","20.573","7.727","6.379","5.941","9.956","7.125","6.302","5.249","0.474","3.028","172.612"
"19","GTD","Christian Engelhart","6","1:47.778","12:46.093","Green","Track","11.364","24.264","20.689","7.708","6.298","5.820","9.894","7.041","6.183","5.119","0.461","2.937","177.480"
"11","GTD","Mirko Bortolotti","6","1:47.396","12:47.413","Green","Track","11.466","24.010","20.437","7.708","6.247","5.774","9.978","7.117","6.167","5.100","0.457","2.935","179.033"
"58","GTD","Patrick Long","5","1:47.481","13:00.426","Green","Track","11.537","23.916","20.324","7.712","6.369","5.919","9.658","7.086","6.272","5.216","0.471","3.001","173.712"
"86","GTD","Alvaro Parente","6","1:52.307","13:09.187","Green","Track","11.680","26.500","21.743","7.797","6.433","6.011","9.951","7.112","6.291","5.279","0.479","3.031","170.810"
"15","GTD","Jack Hawksworth","6","1:47.691","13:13.563","Green","Track","11.322","24.131","20.481","7.742","6.394","5.943","9.550","7.114","6.314","5.223","0.471","3.006","173.712"
"33","GTD","Jeroen Bleekemolen","7","1:48.188","13:27.735","Green","Track","11.415","24.023","20.460","7.734","6.374","5.933","10.072","7.151","6.294","5.245","0.473","3.014","172.977"
"75","GTD","Thomas Jaeger","7","1:50.180","13:30.103","Green","Track","11.811","25.097","20.809","7.821","6.402","5.929","10.118","7.178","6.302","5.235","0.472","3.006","173.344"
"71","GTD","JC Perez","7","1:50.634","13:32.179","Green","Track","11.885","24.573","21.265","7.798","6.414","5.953","10.466","7.219","6.323","5.249","0.473","3.016","172.977"
"63","GTD","Alessandro Balzan","7","1:52.954","13:35.763","Green","Track","11.391","24.174","25.084","7.855","6.386","5.964","9.993","7.102","6.260","5.240","0.473","3.032","172.977"
"69","GTD","Ryan Eversley","7","1:47.818","13:39.921","Green","Track","11.414","24.174","20.356","7.704","6.344","5.887","9.917","7.091","6.241","5.201","0.470","3.019","174.081"
"93","GTD","Lawson Aschenbach","7","1:47.905","13:43.298","Green","Track","11.498","23.935","20.508","7.705","6.366","5.909","9.933","7.085","6.249","5.215","0.474","3.028","172.612"
"82","GTD","Miguel Molina","7","1:47.814","13:47.208","Green","Track","11.515","23.968","20.583","7.758","6.339","5.878","9.837","7.087","6.210","5.184","0.469","2.986","174.452"
"51","GTD","Pedro Lamy","6","1:49.723","13:52.001","Green","Track","12.301","24.973","20.639","7.744","6.348","5.907","9.905","7.062","6.215","5.181","0.468","2.980","174.825"
"96","GTD","Jens Klingmann","7","1:48.609","13:53.353","Green","Track","11.529","24.186","20.757","7.781","6.394","5.947","9.880","7.111","6.273","5.256","0.475","3.020","172.249"
"29","GTD","Kelvin van der Linde","7","1:47.897","13:55.672","Green","Track","11.487","24.104","20.511","7.766","6.359","5.853","9.884","7.127","6.235","5.157","0.465","2.949","175.953"
"14","GTD","Dominik Baumann","6","1:48.374","14:04.894","Green","Track","11.302","24.224","20.674","7.749","6.391","5.946","9.969","7.120","6.292","5.234","0.470","3.003","174.081"
"44","GTD","Andy Lally","7","1:50.312","14:09.716","Green","Track","12.558","25.010","20.576","7.807","6.350","5.845","10.230","7.119","6.239","5.150","0.462","2.966","177.096"
"64","GTD","Townsend Bell","7","1:51.118","14:15.767","Green","Track","11.427","24.151","21.268","7.988","6.565","6.546","10.775","7.249","6.351","5.281","0.477","3.040","171.527"
"73","GTD","Patrick Lindsey","7","1:50.382","14:34.310","Green","Track","11.628","24.443","21.492","7.853","6.385","5.983","10.270","7.208","6.371","5.238","0.473","3.038","172.977"
"19","GTD","Christian Engelhart","7","1:48.620","14:34.713","Green","Track","11.486","24.299","20.727","7.724","6.321","5.866","10.412","7.072","6.200","5.122","0.462","2.929","177.096"
"11","GTD","Mirko Bortolotti","7","1:49.650","14:37.063","Green","Track","11.377","24.522","22.161","7.736","6.294","5.799","10.036","7.065","6.166","5.101","0.458","2.935","178.642"
"86","GTD","Alvaro Parente","7","1:50.155","14:59.342","Green","Track","11.627","25.561","20.925","7.694","6.403","5.994","9.811","7.066","6.284","5.282","0.479","3.029","170.810"
"33","GTD","Jeroen Bleekemolen","8","1:47.886","15:15.621","Finish","Track","11.349","24.049","20.512","7.690","6.378","5.936","9.875","7.112","6.278","5.229","0.474","3.004","172.612"
"75","GTD","Thomas Jaeger","8","1:47.912","15:18.015","Finish","Track","11.585","23.932","20.298","7.737","6.408","5.935","9.952","7.108","6.277","5.214","0.472","2.994","173.344"
"71","GTD","JC Perez","8","1:49.287","15:21.466","Finish","Track","11.591","24.125","20.797","7.765","6.428","5.954","10.365","7.201","6.326","5.253","0.474","3.008","172.612"
"63","GTD","Alessandro Balzan","8","1:47.726","15:23.489","Finish","Track","11.324","24.038","20.555","7.759","6.370","5.941","9.651","7.092","6.253","5.242","0.473","3.028","172.977"
"69","GTD","Ryan Eversley","8","1:47.665","15:27.586","Finish","Track","11.486","23.952","20.435","7.698","6.349","5.887","9.837","7.097","6.252","5.198","0.466","3.008","175.575"
"82","GTD","Miguel Molina","8","1:49.012","15:36.220","Finish","Track","12.466","24.208","20.594","7.733","6.305","5.857","9.965","7.050","6.212","5.181","0.468","2.973","174.825"
"51","GTD","Pedro Lamy","7","1:48.237","15:40.238","Finish","Track","11.476","24.328","20.735","7.795","6.335","5.884","9.778","7.078","6.213","5.177","0.467","2.971","175.200"
"96","GTD","Jens Klingmann","8","1:48.354","15:41.707","Finish","Track","11.509","24.169","20.704","7.804","6.379","5.930","9.736","7.119","6.268","5.249","0.474","3.013","172.612"
"29","GTD","Kelvin van der Linde","8","1:47.765","15:43.437","Finish","Track","11.436","24.035","20.575","7.747","6.341","5.837","9.799","7.105","6.237","5.198","0.472","2.983","173.344"
"44","GTD","Andy Lally","8","1:47.680","15:57.396","Finish","Track","11.248","24.100","20.630","7.807","6.344","5.817","9.887","7.079","6.232","5.136","0.464","2.936","176.332"
"73","GTD","Patrick Lindsey","8","1:48.142","16:22.452","Finish","Track","11.688","24.017","20.586","7.757","6.375","5.926","9.745","7.055","6.279","5.239","0.473","3.002","172.977"
"11","GTD","Mirko Bortolotti","8","1:48.004","16:25.067","Finish","Track","11.518","24.181","20.583","7.686","6.269","5.776","10.258","7.071","6.163","5.098","0.459","2.942","178.253"
"66","GTLM","Joey Hand","1","27:43.814","27:43.814","Green","Track","28.877","28.085","21.529","7.900","6.551","6.096","10.544","7.246","6.384","5.191","0.469","2.981","174.452"
"3","GTLM","Jan Magnussen","1","27:49.720","27:49.720","Green","Track","29.296","29.220","21.111","7.802","6.515","6.099","10.085","7.143","6.328","5.229","0.472","2.994","173.344"
"4","GTLM","Oliver Gavin","1","27:50.548","27:50.548","Green","Track","29.043","29.294","21.491","7.789","6.458","6.051","9.855","7.112","6.289","5.186","0.468","2.978","174.825"
"24","GTLM","John Edwards","1","28:01.614","28:01.614","Green","Track","29.577","29.136","23.142","7.919","6.549","6.128","10.582","7.205","6.367","5.266","0.474","3.011","172.612"
"67","GTLM","Ryan Briscoe","1","28:11.977","28:11.977","Green","Track","29.923","32.357","22.707","7.950","6.496","6.802","10.906","7.175","6.282","5.165","0.467","2.970","175.200"
"25","GTLM","Alexander Sims","1","28:16.162","28:16.162","Green","Track","30.468","30.556","22.781","7.916","7.106","6.679","10.902","7.237","6.396","5.314","0.478","3.033","171.168"
