"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"29","GTD","Christopher Mies","3","1:48.187","6:01.983","Green","Track","0.000","0.000","20.735","7.901","6.506","5.958","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"14","GTD","Philipp Frommenwiler","2","1:50.548","6:16.653","Green","Pit","0.000","0.000","24.154","8.499","6.626","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"44","GTD","John Potter","3","1:50.606","6:19.273","Green","Track","0.000","0.000","21.284","7.990","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"73","GTD","Norbert Siedler","2","2:41.777","6:20.669","Green","Pit","306.964","35.650","29.672","11.444","9.509","8.772","14.378","9.730","8.800","11.340","0.000","0.000","0.000"
"37","P","Lance Stroll","3","1:39.081","6:24.657","Green","Track","12.531","23.171","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"52","P","Gustavo Yacaman","3","1:43.280","6:33.140","Green","Track","13.940","25.129","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"38","P","Kyle Masson","3","1:42.229","6:33.132","Green","Track","13.023","24.113","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"86","GTD","Katherine Legge","2","3:05.405","6:35.074","Green","Pit","513.094","31.064","24.774","8.986","7.406","6.701","12.154","7.463","6.488","0.000","0.000","0.000","0.000"
"71","GTD","Kenton Koch","2","3:15.731","6:38.469","Green","Pit","421.292","30.072","25.060","8.097","6.589","6.542","11.088","7.271","6.342","10.346","0.000","0.000","0.000"
"85","P","Robert Alon","2","2:51.308","6:41.523","Green","Pit","0.000","35.292","27.772","9.777","7.440","7.621","13.213","8.358","7.232","11.370","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","3","1:48.200","6:43.641","Green","Track","11.842","24.567","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"62","GTLM","Toni Vilander","3","1:46.384","6:47.058","Green","Track","11.657","24.500","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"75","GTD","Maro Engel","3","1:49.903","6:47.352","Green","Track","11.911","24.462","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"66","GTLM","Joey Hand","3","1:45.780","6:53.701","Green","Track","11.335","24.206","20.430","7.617","6.329","5.836","0.000","0.000","0.000","0.000","0.000","2.893","180.216"
"15","GTD","Jack Hawksworth","3","1:49.385","6:54.911","Green","Track","11.326","24.337","20.762","7.870","6.471","5.968","9.888","0.000","0.000","0.000","0.000","2.974","175.575"
"64","GTD","Frank Montecalvo","2","3:06.624","6:57.808","Green","Pit","540.685","35.582","26.831","8.791","7.411","6.761","12.318","7.643","6.447","11.820","0.000","0.000","0.000"
