"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"96","GTD","Cameron Lawrence","1","2:19.341","2:19.341","Green","Track","0.000","30.996","24.178","8.710","7.211","7.840","12.020","7.323","6.380","5.289","0.476","3.036","171.887"
"82","GTD","Miguel Molina","1","2:20.280","2:20.280","Green","Track","336.837","28.448","23.345","8.015","6.433","6.641","11.162","7.240","6.284","5.214","0.468","2.977","174.825"
"33","GTD","Ben Keating","1","2:22.405","2:22.405","Green","Track","0.000","33.107","25.386","8.095","6.554","6.326","11.518","7.412","6.464","5.268","0.473","3.002","172.977"
"29","GTD","Sheldon van der Linde","1","2:22.896","2:22.896","Green","Track","30.417","29.181","23.536","8.059","6.574","6.421","11.284","7.412","6.464","5.312","0.476","3.021","171.887"
"63","GTD","Alessandro Balzan","1","2:24.430","2:24.430","Green","Track","450.629","29.230","23.200","7.953","6.460","6.204","11.258","7.369","6.390","5.238","0.469","2.990","174.452"
"64","GTD","Sam Bird","1","2:25.340","2:25.340","Green","Track","0.000","0.000","0.000","7.897","6.425","6.215","11.080","7.291","6.305","5.186","0.467","2.968","175.200"
"86","GTD","Alvaro Parente","1","2:38.020","2:38.020","Green","Track","39.519","32.715","23.642","7.932","6.511","6.177","10.804","7.262","6.399","5.323","0.480","3.031","170.455"
"93","GTD","C̫me Ledogar","1","2:38.726","2:38.726","Green","Track","39.219","33.016","23.298","7.903","6.467","6.169","10.944","7.297","6.370","5.279","0.475","3.015","172.249"
"44","GTD","Andy Lally","1","2:40.235","2:40.235","Green","Track","36.697","32.274","22.842","7.996","6.517","6.117","11.213","7.406","6.397","5.231","0.467","2.986","175.200"
"19","GTD","Christopher Lenz","1","2:53.824","2:53.824","Green","Track","37.341","37.564","23.590","8.359","6.961","6.618","13.199","7.850","6.602","5.371","0.482","3.128","169.747"
"15","GTD","Jack Hawksworth","1","2:57.560","2:57.560","Green","Track","38.325","41.998","27.017","8.350","6.641","6.278","11.724","7.453","6.444","5.310","0.479","3.023","170.810"
"69","GTD","Ryan Eversley","1","2:58.791","2:58.791","Green","Track","34.796","39.795","26.855","8.335","7.185","6.774","11.274","7.381","6.432","5.361","0.482","3.063","169.747"
"75","GTD","Kenny Habul","1","2:59.711","2:59.711","Green","Track","0.000","39.187","26.442","8.307","7.669","7.114","11.117","7.460","6.437","5.300","0.476","3.035","171.887"
"14","GTD","Dominik Baumann","1","3:14.044","3:14.044","Green","Track","30.282","30.588","24.387","8.123","6.516","6.297","11.955","7.390","6.402","5.287","0.473","3.023","172.977"
"58","GTD","Robert Renauer","1","3:17.848","3:17.848","Green","Track","30.088","31.328","24.045","7.970","6.512","6.228","11.841","7.395","6.398","5.271","0.473","3.023","172.977"
"59","GTD","Sven Muller","1","3:21.520","3:21.520","Green","Track","227.404","31.933","23.104","8.300","6.771","7.245","11.276","7.332","6.469","5.342","0.479","3.039","170.810"
"51","GTD","Daniel Serra","1","3:26.162","3:26.162","Green","Track","0.000","31.319","23.362","8.065","6.443","7.357","12.011","7.378","6.370","5.229","0.471","2.984","173.712"
"48","GTD","Bryce Miller","1","3:44.667","3:44.667","Green","Track","275.512","32.365","23.838","8.178","6.515","6.206","11.377","7.486","6.600","5.348","0.476","3.017","171.887"
"73","GTD","Timothy Pappas","1","3:56.303","3:56.303","Green","Pit","369.653","33.312","28.382","8.600","8.461","19.079","26.111","22.813","23.901","23.672","0.000","0.000","0.000"
"11","GTD","Mirko Bortolotti","1","3:58.204","3:58.204","Green","Track","29.082","29.872","22.967","7.881","6.361","6.665","11.235","7.289","6.281","5.165","0.462","2.951","177.096"
"82","GTD","Miguel Molina","2","1:50.690","4:10.970","Green","Track","12.380","24.720","21.147","7.794","6.313","5.970","10.288","7.164","6.262","5.204","0.468","2.980","174.825"
"96","GTD","Cameron Lawrence","2","1:52.565","4:11.906","Green","Track","12.032","25.244","22.723","7.755","6.357","6.168","10.288","7.145","6.231","5.179","0.466","2.977","175.575"
"29","GTD","Sheldon van der Linde","2","1:50.748","4:13.644","Green","Track","12.028","24.902","21.019","7.869","6.442","5.993","10.139","7.299","6.364","5.236","0.469","2.988","174.452"
"63","GTD","Alessandro Balzan","2","1:52.400","4:16.830","Green","Track","11.848","25.065","21.550","7.798","6.423","6.705","10.820","7.236","6.287","5.212","0.467","2.989","175.200"
"33","GTD","Ben Keating","2","1:55.266","4:17.671","Green","Track","12.173","26.489","22.526","7.860","6.475","6.307","11.084","7.325","6.354","5.210","0.469","2.994","174.452"
"64","GTD","Sam Bird","2","1:58.535","4:23.875","Green","Track","12.635","28.496","22.077","7.931","6.640","7.897","10.796","7.193","6.254","5.178","0.466","2.972","175.575"
"86","GTD","Alvaro Parente","2","1:54.282","4:32.302","Green","Track","12.136","25.119","23.192","7.873","6.465","6.325","10.831","7.157","6.350","5.309","0.480","3.045","170.455"
"93","GTD","C̫me Ledogar","2","1:55.223","4:33.949","Green","Track","12.023","25.073","23.735","7.766","6.404","6.149","11.748","7.243","6.324","5.265","0.476","3.017","171.887"
"44","GTD","Andy Lally","2","1:54.697","4:34.932","Green","Track","11.680","25.011","23.929","7.963","6.512","6.025","11.051","7.374","6.431","5.246","0.471","3.004","173.712"
"19","GTD","Christopher Lenz","2","1:54.594","4:48.418","Green","Track","12.738","25.731","21.934","7.954","6.413","6.037","11.437","7.364","6.341","5.204","0.466","2.975","175.575"
"15","GTD","Jack Hawksworth","2","1:54.334","4:51.894","Green","Track","12.036","26.806","22.872","7.890","6.437","6.021","10.058","7.179","6.324","5.243","0.470","2.998","174.081"
"75","GTD","Kenny Habul","2","1:52.718","4:52.429","Green","Track","12.391","25.662","21.806","7.789","6.411","6.203","10.239","7.207","6.319","5.226","0.470","2.995","174.081"
"69","GTD","Ryan Eversley","2","1:54.714","4:53.505","Green","Track","12.325","26.221","23.385","7.826","6.435","6.015","10.312","7.210","6.308","5.204","0.470","3.003","174.081"
"14","GTD","Dominik Baumann","2","1:52.151","5:06.195","Green","Track","12.559","24.973","21.920","7.802","6.397","6.006","10.257","7.200","6.322","5.242","0.470","3.003","174.081"
"58","GTD","Robert Renauer","2","1:51.605","5:09.453","Green","Track","12.436","24.986","21.240","7.740","6.377","6.037","10.445","7.291","6.349","5.227","0.471","3.006","173.712"
"59","GTD","Sven Muller","2","1:50.610","5:12.130","Green","Track","11.858","24.863","20.916","7.739","6.364","5.977","10.170","7.577","6.436","5.249","0.470","2.991","174.081"
"51","GTD","Daniel Serra","2","1:52.710","5:18.872","Green","Track","12.455","24.758","21.837","7.847","6.367","7.033","10.515","7.126","6.224","5.143","0.462","2.943","177.096"
"48","GTD","Bryce Miller","2","1:52.653","5:37.320","Green","Track","12.173","26.195","21.364","7.835","6.400","6.011","10.421","7.271","6.338","5.211","0.467","2.967","175.200"
"11","GTD","Mirko Bortolotti","2","1:50.703","5:48.907","Green","Track","11.966","24.774","20.984","7.714","6.290","6.163","10.851","7.197","6.244","5.131","0.458","2.931","178.642"
"82","GTD","Miguel Molina","3","1:48.195","5:59.165","Green","Track","11.610","24.127","20.720","7.687","6.268","5.920","9.972","7.078","6.223","5.174","0.465","2.951","175.953"
"96","GTD","Cameron Lawrence","3","1:48.691","6:00.597","Green","Track","11.702","24.350","20.924","7.665","6.275","5.974","9.946","7.061","6.207","5.163","0.464","2.960","176.332"
