"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"90","P","Eddie Cheever III","1","2:27.051","2:27.051","Green","Track","0.000","29.527","22.888","7.676","6.511","6.196","10.858","6.819","5.860","4.842","0.440","2.803","185.950"
"5","P","Christian Fittipaldi","1","2:28.379","2:28.379","Green","Track","0.000","29.119","22.813","7.418","7.081","6.724","11.287","6.638","5.837","4.818","0.436","2.785","187.656"
"911","GTLM","Frederic Makowiecki","1","2:29.276","2:29.276","Green","Track","0.000","28.590","22.696","7.979","6.471","6.270","10.872","7.156","6.273","5.205","0.470","2.981","174.081"
"912","GTLM","Laurens Vanthoor","1","2:30.270","2:30.270","Green","Track","0.000","27.999","23.032","7.776","6.449","6.714","11.051","7.132","6.271","5.214","0.472","2.984","173.344"
"10","P","Renger Van Der Zande","1","2:30.858","2:30.858","Green","Track","0.000","27.680","21.388","7.064","5.838","6.956","10.236","6.465","5.726","4.764","0.431","2.748","189.833"
"6","P","Juan Pablo Montoya","1","2:34.237","2:34.237","Green","Track","0.000","28.298","22.858","7.265","5.928","5.846","10.538","6.576","5.804","4.885","0.439","2.792","186.374"
"22","P","Johannes van Overbeek","1","2:36.761","2:36.761","Green","Track","0.000","30.260","23.973","7.423","5.966","5.951","11.224","6.604","5.814","4.841","0.484","3.435","169.046"
"86","GTD","Trent Hindman","1","2:42.355","2:42.355","Green","Track","311.537","28.341","22.270","7.902","6.542","6.228","10.799","7.338","6.410","5.348","0.482","3.089","169.747"
"59","GTD","Sven Muller","1","2:45.138","2:45.138","Green","Track","306.573","27.620","23.011","7.890","6.541","6.226","11.062","7.229","6.322","5.223","0.469","2.998","174.452"
"44","GTD","Andy Lally","1","2:45.445","2:45.445","Green","Track","310.005","28.615","22.729","7.978","6.506","6.058","11.680","7.503","6.469","5.205","0.468","3.006","174.825"
"93","GTD","Mario Farnbacher","1","2:46.374","2:46.374","Green","Track","292.882","27.438","22.159","7.817","6.493","6.132","11.161","7.274","6.363","5.268","0.477","3.025","171.527"
"51","GTD","Paul Dalla Lana","1","2:47.503","2:47.503","Green","Track","326.580","30.926","24.549","8.215","6.538","6.629","11.943","7.388","6.364","5.247","0.471","3.000","173.712"
"58","GTD","Robert Renauer","1","2:52.322","2:52.322","Green","Track","288.962","28.846","22.593","7.972","6.532","6.265","12.018","7.379","6.447","5.335","0.480","3.059","170.455"
"78","P","Alex Brundle","1","2:52.564","2:52.564","Green","Track","373.404","26.443","21.448","7.244","5.975","5.770","9.702","6.532","5.764","4.806","0.433","2.767","188.957"
"96","GTD","Jens Klingmann","1","2:53.252","2:53.252","Green","Track","275.084","28.700","22.598","7.976","6.510","6.169","11.203","7.282","6.373","5.326","0.481","3.067","170.100"
"54","P","Romain Dumas","1","2:57.241","2:57.241","Green","Track","0.000","26.682","21.950","7.311","5.907","5.765","10.514","6.585","5.855","4.829","0.435","2.778","188.088"
"63","GTD","Alessandro Balzan","1","2:58.146","2:58.146","Green","Track","266.242","29.432","23.939","8.239","6.591","6.305","11.406","7.425","6.424","5.323","0.482","3.060","169.747"
"73","GTD","Patrick Lindsey","1","2:59.156","2:59.156","Green","Track","136.729","29.108","23.254","7.939","6.480","6.178","11.569","7.306","6.370","5.259","0.472","3.022","173.344"
"37","P","Daniel Juncadella","1","3:02.539","3:02.539","Green","Track","0.000","29.960","23.120","7.641","6.268","6.437","10.827","6.638","5.841","4.874","0.439","2.800","186.374"
"23","P","Lando Norris","1","3:11.810","3:11.810","Green","Track","376.205","32.488","24.134","8.035","6.614","6.192","10.667","6.950","6.260","5.099","0.487","3.046","168.004"
"99","P","Stephen Simpson","1","3:14.920","3:14.920","Green","Track","31.004","29.042","22.470","7.337","5.958","6.082","10.512","6.675","5.894","4.858","0.438","2.797","186.800"
"67","GTLM","Ryan Briscoe","1","3:15.834","3:15.834","Green","Track","29.779","29.320","22.005","7.871","6.453","6.151","10.662","7.157","6.283","5.188","0.468","2.982","174.825"
"7","P","Helio Castroneves","1","3:22.820","3:22.820","Green","Track","0.000","30.996","23.582","7.254","5.978","5.810","10.689","6.642","5.827","4.854","0.440","2.798","185.950"
"52","P","Nicholas Boulle","1","3:24.171","3:24.171","Green","Track","31.521","31.611","24.129","7.969","6.498","6.438","11.884","7.278","6.266","5.040","0.450","2.869","181.818"
"4","GTLM","Marcel Fassler","1","3:25.603","3:25.603","Green","Track","31.630","30.647","22.326","7.926","6.522","6.338","10.837","7.182","6.345","5.259","0.474","3.019","172.612"
"85","P","Austin Cindric","1","3:25.775","3:25.775","Green","Track","32.312","33.435","24.773","7.600","6.016","5.953","11.379","6.761","5.854","4.867","0.437","2.802","187.227"
"32","P","Bruno Senna","1","3:27.295","3:27.295","Green","Track","379.488","30.678","23.237","7.424","5.985","5.959","10.232","6.598","5.823","4.844","0.435","2.790","188.088"
"33","GTD","Jeroen Bleekemolen","1","3:28.108","3:28.108","Green","Track","31.695","30.776","22.935","7.965","6.535","6.309","11.405","7.322","6.414","5.307","0.478","3.046","171.168"
"19","GTD","Christian Engelhart","1","3:28.936","3:28.936","Green","Track","0.000","33.318","24.286","8.024","6.440","6.111","11.410","7.319","6.344","5.189","0.464","2.955","176.332"
"75","GTD","Mikael Grenier","1","3:31.024","3:31.024","Green","Track","32.362","30.269","23.933","8.181","6.650","6.224","11.238","7.339","6.418","5.308","0.476","3.036","171.887"
"71","GTD","Loris Spinelli","1","3:31.291","3:31.291","Green","Track","354.490","30.438","23.806","8.092","6.582","6.258","11.104","7.350","6.401","5.286","0.475","3.024","172.249"
"64","GTD","Townsend Bell","1","3:32.840","3:32.840","Green","Track","30.235","30.161","23.161","7.941","6.490","6.241","10.898","7.294","6.606","5.759","0.533","3.439","153.505"
"15","GTD","Dominik Farnbacher","1","3:33.440","3:33.440","Green","Track","0.000","30.046","22.744","7.938","6.432","6.125","10.731","7.276","6.353","5.243","0.471","2.994","173.712"
"82","GTD","Miguel Molina","1","3:34.268","3:34.268","Green","Track","337.848","30.194","23.098","7.982","6.491","6.162","11.607","7.283","6.338","5.237","0.473","3.020","172.977"
"25","GTLM","Alexander Sims","1","3:38.829","3:38.829","Green","Track","28.660","28.740","22.098","7.844","6.502","6.551","10.750","7.174","6.351","5.300","0.477","3.035","171.527"
"38","P","James French","1","3:39.719","3:39.719","Green","Track","30.886","33.659","24.182","7.702","6.070","5.940","10.850","6.708","5.854","4.845","0.439","2.806","186.374"
"14","GTD","Kyle Marcelli","1","3:40.905","3:40.905","Green","Track","410.739","30.660","24.064","8.134","6.541","6.214","11.172","7.316","6.376","5.229","0.474","3.019","172.612"
"11","GTD","Mirko Bortolotti","1","3:45.022","3:45.022","Green","Track","0.000","29.294","23.421","7.876","6.405","6.627","11.804","7.267","6.284","5.166","0.464","2.955","176.332"
"69","GTD","Chad Gilsinger","1","3:48.219","3:48.219","Green","Track","365.850","32.909","25.839","8.686","7.064","7.168","12.659","7.829","7.047","6.125","0.589","3.754","138.910"
"31","P","Felipe Nasr","1","3:54.093","3:54.093","Green","Pit","0.000","27.742","22.511","7.230","5.921","6.648","11.460","6.950","6.067","9.395","0.000","0.000","0.000"
"3","GTLM","Mike Rockenfeller","1","4:00.919","4:00.919","Green","Track","30.129","29.033","30.073","8.341","8.437","13.161","13.193","7.319","6.417","5.285","0.476","3.040","171.887"
"62","GTLM","Alessandro Pier Guidi","1","4:10.439","4:10.439","Green","Track","372.574","29.287","22.372","7.942","6.509","6.145","10.876","7.229","6.361","5.264","0.475","3.034","172.249"
"90","P","Eddie Cheever III","2","1:44.193","4:11.244","Green","Track","11.615","23.742","19.841","6.994","5.781","5.434","10.576","6.601","5.716","4.734","0.426","2.733","192.061"
"5","P","Christian Fittipaldi","2","1:43.582","4:11.961","Green","Track","11.686","23.920","20.110","6.988","5.787","5.459","9.591","6.468","5.675","4.729","0.426","2.743","192.061"
"10","P","Renger Van Der Zande","2","1:42.959","4:13.817","Green","Track","11.054","22.879","20.114","6.936","5.741","5.755","10.547","6.376","5.706","4.709","0.426","2.716","192.061"
"6","P","Juan Pablo Montoya","2","1:41.969","4:16.206","Green","Track","10.963","22.664","19.888","7.015","5.812","5.625","9.841","6.449","5.752","4.773","0.431","2.756","189.833"
"911","GTLM","Frederic Makowiecki","2","1:47.114","4:16.390","Green","Track","11.216","23.975","19.944","7.568","6.299","5.912","10.434","6.983","6.227","5.134","0.462","2.960","177.096"
"912","GTLM","Laurens Vanthoor","2","1:47.246","4:17.516","Green","Track","11.229","23.788","20.044","7.592","6.274","6.266","10.357","6.966","6.219","5.119","0.459","2.933","178.253"
"22","P","Johannes van Overbeek","2","1:44.593","4:21.354","Green","Track","12.084","23.779","20.376","6.942","5.825","5.623","9.743","6.436","5.752","4.810","0.435","2.788","188.088"
"86","GTD","Trent Hindman","2","1:50.008","4:32.363","Green","Track","11.947","24.543","20.729","7.818","6.456","6.062","9.961","7.238","6.372","5.322","0.481","3.079","170.100"
"59","GTD","Sven Muller","2","1:49.072","4:34.210","Green","Track","11.820","24.451","20.660","7.734","6.335","5.924","10.130","7.142","6.243","5.190","0.467","2.976","175.200"
"78","P","Alex Brundle","2","1:42.385","4:34.949","Green","Track","10.774","22.452","20.702","6.938","5.808","5.545","9.877","6.586","5.744","4.773","0.430","2.756","190.275"
"44","GTD","Andy Lally","2","1:51.004","4:36.449","Green","Track","12.139","25.261","20.985","7.837","6.394","5.896","10.349","7.230","6.306","5.176","0.465","2.966","175.953"
"93","GTD","Mario Farnbacher","2","1:50.489","4:36.863","Green","Track","11.721","25.090","20.946","7.830","6.458","5.978","10.213","7.196","6.335","5.230","0.470","3.022","174.081"
"54","P","Romain Dumas","2","1:41.588","4:38.829","Green","Track","11.076","22.516","20.296","7.061","5.775","5.474","9.336","6.378","5.700","4.789","0.431","2.756","189.833"
"51","GTD","Paul Dalla Lana","2","1:53.443","4:40.946","Green","Track","12.307","25.576","21.822","7.903","6.434","6.126","10.954","7.274","6.324","5.239","0.472","3.012","173.344"
"58","GTD","Robert Renauer","2","1:51.566","4:43.888","Green","Track","13.011","24.774","20.821","7.740","6.417","6.049","10.432","7.227","6.320","5.264","0.475","3.036","172.249"
"96","GTD","Jens Klingmann","2","1:52.564","4:45.816","Green","Track","12.290","24.923","21.443","7.806","6.398","6.227","11.077","7.220","6.351","5.299","0.479","3.051","170.810"
"37","P","Daniel Juncadella","2","1:43.464","4:46.003","Green","Track","11.844","23.406","20.104","7.084","5.927","5.516","9.339","6.484","5.749","4.806","0.434","2.771","188.521"
"63","GTD","Alessandro Balzan","2","1:51.636","4:49.782","Green","Track","11.952","24.981","21.321","7.800","6.438","6.126","10.565","7.269","6.355","5.304","0.479","3.046","170.810"
"73","GTD","Patrick Lindsey","2","1:51.155","4:50.311","Green","Track","12.112","24.846","21.058","7.739","6.366","6.060","10.773","7.172","6.318","5.235","0.472","3.004","173.344"
"99","P","Stephen Simpson","2","1:42.324","4:57.244","Green","Track","11.164","23.273","20.072","7.012","5.836","5.523","9.224","6.453","5.752","4.809","0.434","2.772","188.521"
"23","P","Lando Norris","2","1:50.063","5:01.873","Green","Track","12.059","24.582","21.977","7.290","6.204","8.093","9.489","6.438","5.821","4.872","0.438","2.800","186.800"
"67","GTLM","Ryan Briscoe","2","1:46.304","5:02.138","Green","Track","11.620","23.813","19.835","7.572","6.297","5.896","9.528","6.971","6.198","5.141","0.465","2.968","175.953"
"7","P","Helio Castroneves","2","1:41.317","5:04.137","Green","Track","11.442","22.947","19.508","6.930","5.807","5.489","9.113","6.367","5.723","4.797","0.433","2.761","188.957"
"85","P","Austin Cindric","2","1:44.499","5:10.274","Green","Track","11.559","24.024","20.423","7.046","5.849","5.570","9.692","6.480","5.781","4.845","0.436","2.794","187.656"
"32","P","Bruno Senna","2","1:44.130","5:11.425","Green","Track","11.874","24.008","20.235","7.099","5.808","5.486","9.356","6.459","5.761","4.825","0.435","2.784","188.088"
"52","P","Nicholas Boulle","2","1:49.558","5:13.729","Green","Track","12.670","26.128","21.433","7.188","5.885","5.737","10.223","6.539","5.754","4.791","0.432","2.778","189.394"
"4","GTLM","Marcel Fassler","2","1:48.190","5:13.793","Green","Track","11.908","24.439","20.084","7.650","6.372","6.019","9.780","7.033","6.270","5.185","0.469","2.981","174.452"
"33","GTD","Jeroen Bleekemolen","2","1:50.461","5:18.569","Green","Track","12.013","24.676","20.854","7.805","6.443","6.028","10.285","7.217","6.356","5.281","0.475","3.028","172.249"
"19","GTD","Christian Engelhart","2","1:52.191","5:21.127","Green","Track","12.346","25.210","20.972","7.747","6.337","6.035","11.590","7.143","6.243","5.150","0.462","2.956","177.096"
"71","GTD","Loris Spinelli","2","1:51.113","5:22.404","Green","Track","11.970","24.948","21.096","7.858","6.483","6.071","10.371","7.233","6.340","5.255","0.473","3.015","172.977"
"15","GTD","Dominik Farnbacher","2","1:49.918","5:23.358","Green","Track","11.735","24.662","20.860","7.799","6.420","5.978","10.372","7.140","6.306","5.195","0.468","2.983","174.825"
"75","GTD","Mikael Grenier","2","1:52.587","5:23.611","Green","Track","11.920","24.896","22.355","7.853","6.471","6.049","10.547","7.313","6.422","5.277","0.473","3.011","172.977"
"38","P","James French","2","1:45.350","5:25.069","Green","Track","11.840","24.107","20.711","7.105","5.808","5.886","9.719","6.461","5.736","4.783","0.432","2.762","189.394"
"82","GTD","Miguel Molina","2","1:51.955","5:26.223","Green","Track","12.792","25.389","21.172","7.852","6.400","5.976","10.273","7.144","6.289","5.206","0.469","2.993","174.452"
"25","GTLM","Alexander Sims","2","1:47.534","5:26.363","Green","Track","11.560","23.882","20.318","7.677","6.392","5.980","9.879","7.039","6.227","5.157","0.463","2.960","176.713"
"14","GTD","Kyle Marcelli","2","1:49.813","5:30.718","Green","Track","11.787","24.639","20.845","7.725","6.397","6.044","10.305","7.103","6.308","5.182","0.469","3.009","174.452"
"64","GTD","Townsend Bell","2","1:58.009","5:30.849","Green","Track","12.995","27.999","22.164","8.342","7.104","6.333","10.563","7.262","6.368","5.298","0.480","3.101","170.455"
"11","GTD","Mirko Bortolotti","2","1:50.867","5:35.889","Green","Track","12.312","25.209","21.112","7.733","6.317","5.858","10.446","7.121","6.226","5.137","0.461","2.935","177.480"
"3","GTLM","Mike Rockenfeller","2","1:48.913","5:49.832","Green","Track","11.544","23.609","19.907","7.586","6.312","6.386","11.650","6.962","6.301","5.198","0.468","2.990","174.825"
"69","GTD","Chad Gilsinger","2","2:02.005","5:50.224","Green","Track","14.817","28.434","23.044","8.119","6.651","6.558","11.464","7.446","6.535","5.391","0.484","3.062","169.046"
"90","P","Eddie Cheever III","3","1:39.954","5:51.198","Green","Track","11.232","22.680","19.106","6.908","5.737","5.385","9.137","6.321","5.627","4.694","0.423","2.704","193.424"
"10","P","Renger Van Der Zande","3","1:38.898","5:52.715","Green","Track","10.419","22.258","19.532","6.833","5.683","5.334","9.109","6.275","5.631","4.694","0.425","2.705","192.513"
"6","P","Juan Pablo Montoya","3","1:39.058","5:55.264","Green","Track","10.484","22.275","19.300","7.002","5.787","5.443","8.757","6.350","5.702","4.777","0.432","2.749","189.394"
"62","GTLM","Alessandro Pier Guidi","2","1:50.483","6:00.922","Green","Track","11.680","25.761","20.950","7.610","6.333","5.976","10.159","7.078","6.270","5.194","0.471","3.001","173.712"
"911","GTLM","Frederic Makowiecki","3","1:44.988","6:01.378","Green","Track","10.936","23.278","19.711","7.602","6.278","5.855","9.684","6.970","6.195","5.093","0.461","2.925","177.480"
"22","P","Johannes van Overbeek","3","1:40.293","6:01.647","Green","Track","10.887","22.314","19.471","6.900","5.775","5.480","9.445","6.386","5.707","4.737","0.429","2.762","190.718"
"912","GTLM","Laurens Vanthoor","3","1:45.297","6:02.813","Green","Track","10.945","23.259","19.806","7.566","6.245","6.149","9.746","6.932","6.165","5.101","0.459","2.924","178.253"
"31","P","Stuart Middleton","2","2:17.670","6:11.763","Green","Pit","27.946","27.041","20.786","6.988","5.850","5.557","10.074","6.544","5.728","8.603","0.000","0.000","0.000"
"78","P","Alex Brundle","3","1:38.720","6:13.669","Green","Track","10.710","22.213","19.099","6.926","5.776","5.443","8.552","6.325","5.694","4.781","0.432","2.769","189.394"
"54","P","Romain Dumas","3","1:39.950","6:18.779","Green","Track","10.619","22.777","19.286","7.067","5.779","5.445","9.002","6.307","5.691","4.783","0.432","2.762","189.394"
"86","GTD","Trent Hindman","3","1:50.324","6:22.687","Green","Track","12.193","24.680","20.649","7.807","6.421","6.082","10.073","7.215","6.347","5.301","0.481","3.075","170.100"
"59","GTD","Sven Muller","3","1:48.912","6:23.122","Green","Track","12.154","24.317","20.673","7.728","6.334","5.833","9.929","7.092","6.238","5.177","0.468","2.969","174.825"
"93","GTD","Mario Farnbacher","3","1:49.087","6:25.950","Green","Track","11.425","24.688","20.652","7.702","6.367","6.015","10.016","7.124","6.309","5.270","0.479","3.040","170.810"
