"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"78","P","Ferdinand Habsburg-Lothringen","1","2:13.318","2:13.318","Green","Track","684.632","32.285","25.068","7.591","6.013","5.942","10.743","6.655","5.885","4.867","0.441","2.813","185.529"
"5","P","Christian Fittipaldi","1","2:24.226","2:24.226","Green","Track","217.259","29.216","23.364","7.249","5.922","5.763","10.029","6.601","5.781","4.826","0.436","2.796","187.656"
"31","P","Stuart Middleton","1","2:28.075","2:28.075","Green","Track","367.041","31.680","25.221","7.499","6.016","5.817","10.592","6.681","5.852","4.856","0.438","2.799","186.800"
"71","GTD","Robby Foley","1","2:28.459","2:28.459","Green","Pit","826.738","0.000","0.000","8.128","6.585","6.216","11.124","7.409","6.476","9.130","0.000","0.000","0.000"
"63","GTD","Alessandro Balzan","1","2:34.228","2:34.228","Green","Pit","579.410","29.426","23.676","7.975","6.437","6.195","11.438","7.375","6.383","8.587","0.000","0.000","0.000"
"52","P","Roberto Gonzalez","1","2:35.020","2:35.020","Green","Track","416.836","33.011","26.378","9.161","7.301","7.025","12.682","7.021","6.209","5.027","0.448","2.860","182.630"
"10","P","Jordan Taylor","1","2:36.386","2:36.386","Green","Track","314.743","29.375","34.752","7.747","5.966","6.066","10.600","6.590","5.806","4.841","0.437","2.797","187.227"
"37","P","Lance Stroll","1","2:39.449","2:39.449","Green","Pit","586.117","32.428","24.349","7.498","6.035","6.562","11.880","6.818","5.966","10.639","0.000","0.000","0.000"
"48","GTD","Bryce Miller","1","2:44.539","2:44.539","Green","Track","259.545","30.535","24.587","8.110","6.512","6.244","11.336","7.362","6.380","5.224","0.471","3.000","173.712"
"96","GTD","Jens Klingmann","1","2:44.791","2:44.791","Green","Track","426.575","30.803","23.989","7.991","6.469","6.249","11.102","7.254","6.337","5.289","0.477","3.045","171.527"
"62","GTLM","Toni Vilander","1","2:48.679","2:48.679","Green","Track","949.699","30.748","23.021","7.914","6.405","6.072","10.974","7.255","6.301","5.202","0.469","2.985","174.452"
"73","GTD","Timothy Pappas","1","2:51.503","2:51.503","Green","Track","632.306","31.421","25.306","8.180","6.510","6.326","11.813","7.354","6.403","5.279","0.476","3.031","171.887"
"86","GTD","Katherine Legge","1","2:53.141","2:53.141","Green","Track","28.517","30.494","23.387","8.205","6.554","6.233","11.125","7.302","6.398","5.328","0.481","3.072","170.100"
"82","GTD","Martin Fuentes","1","2:54.843","2:54.843","Green","Track","497.451","31.890","24.419","8.503","6.734","6.466","11.893","7.398","6.315","5.219","0.470","2.994","174.081"
"23","P","Lando Norris","1","2:55.483","2:55.483","Green","Pit","592.236","29.712","23.994","7.756","6.259","5.790","10.211","6.696","5.888","8.914","0.000","0.000","0.000"
"32","P","Paul Di Resta","1","2:56.158","2:56.158","Green","Pit","626.672","29.663","24.012","7.426","6.014","5.813","10.456","6.718","5.880","8.862","0.000","0.000","0.000"
"51","GTD","Mathias Lauda","1","2:57.426","2:57.426","Green","Track","416.194","33.540","24.660","8.070","6.413","6.189","12.481","7.297","6.257","5.166","0.464","2.955","176.332"
