"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"5","P","Christian Fittipaldi","1","2:00.034","2:00.034","Green","Track","0.000","28.422","22.412","7.305","5.916","5.731","10.548","6.663","5.818","4.846","0.438","2.801","186.800"
"31","P","Mike Conway","1","2:02.765","2:02.765","Green","Track","0.000","28.080","21.453","7.113","5.804","5.506","9.779","6.490","5.813","4.805","0.435","2.777","188.088"
"912","GTLM","Laurens Vanthoor","1","2:07.999","2:07.999","Green","Track","0.000","27.884","21.339","7.825","6.379","6.073","10.701","7.077","6.258","5.223","0.475","3.013","172.249"
"911","GTLM","Nick Tandy","1","2:08.895","2:08.895","Green","Track","0.000","27.211","21.760","7.789","6.377","6.047","10.440","7.243","6.381","5.228","0.477","3.015","171.527"
"90","P","Matthew McMurry","1","2:19.004","2:19.004","Green","Track","388.442","31.877","24.661","7.463","5.868","5.908","11.427","6.594","5.776","4.803","0.434","2.785","188.521"
"22","P","Johannes van Overbeek","1","2:20.829","2:20.829","Green","Track","384.250","31.926","24.437","7.611","5.977","5.775","11.065","6.627","5.837","4.878","0.441","2.833","185.529"
"23","P","Fernando Alonso","1","2:21.117","2:21.117","Green","Track","362.089","29.752","23.512","7.629","5.965","6.234","11.133","6.620","5.817","4.850","0.437","2.798","187.227"
"32","P","Bruno Senna","1","2:21.691","2:21.691","Green","Track","338.394","28.545","23.442","7.454","5.911","6.497","11.212","6.623","5.801","4.816","0.433","2.767","188.957"
"86","GTD","Katherine Legge","1","2:24.908","2:24.908","Green","Track","345.239","30.151","23.299","7.940","6.449","6.037","11.317","7.291","6.417","5.371","0.486","3.102","168.350"
"38","P","James French","1","2:25.853","2:25.853","Green","Track","276.335","29.884","22.744","7.242","5.902","5.723","9.974","6.559","5.847","4.842","0.438","2.807","186.800"
"58","GTD","Robert Renauer","1","2:30.284","2:30.284","Green","Track","334.659","30.237","22.999","8.003","6.476","6.291","11.967","7.281","6.404","5.313","0.481","3.068","170.100"
"96","GTD","Jens Klingmann","1","2:30.654","2:30.654","Green","Track","318.618","29.644","23.097","7.982","6.463","6.155","11.516","7.310","6.432","5.328","0.482","3.074","169.747"
"73","GTD","Joerg Bergmeister","1","2:30.756","2:30.756","Green","Track","218.022","27.717","22.264","7.795","6.404","6.068","11.263","7.297","6.339","5.233","0.473","3.009","172.977"
"10","P","Ryan Hunter-Reay","1","2:32.551","2:32.551","Green","Track","274.496","29.617","23.435","7.298","5.866","7.103","12.370","6.771","5.789","4.769","0.430","2.749","190.275"
"51","GTD","Mathias Lauda","1","2:34.505","2:34.505","Green","Track","365.087","33.898","24.842","8.624","7.920","7.964","12.994","7.390","6.401","5.275","0.474","3.027","172.612"
"93","GTD","C̫me Ledogar","1","2:38.924","2:38.924","Green","Track","177.192","28.856","21.884","8.043","6.696","6.299","11.846","7.419","6.401","5.319","0.481","3.061","170.100"
