"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"31","P","Felipe Nasr","1","1:58.693","1:58.693","Green","Track","0.000","0.000","0.000","7.194","5.830","5.928","11.057","6.721","5.815","4.835","0.436","2.787","187.656"
"90","P","Tristan Vautier","1","2:02.255","2:02.255","Green","Track","0.000","0.000","0.000","7.165","5.835","5.617","10.007","6.473","5.744","4.792","0.434","2.767","188.521"
"5","P","Filipe Albuquerque","1","2:07.104","2:07.104","Green","Track","0.000","0.000","0.000","7.664","6.349","5.948","10.596","6.570","5.765","4.804","0.433","2.754","188.957"
"6","P","Dane Cameron","1","2:08.637","2:08.637","Green","Track","0.000","0.000","0.000","7.172","5.905","5.776","9.883","6.524","5.858","4.848","0.438","2.805","186.800"
"85","P","Simon Trummer","1","2:12.222","2:12.222","Green","Track","0.000","0.000","0.000","7.519","5.986","5.947","10.901","6.900","5.955","4.913","0.442","2.822","185.109"
"22","P","Nicolas Lapierre","1","2:12.935","2:12.935","Green","Track","0.000","0.000","0.000","7.143","5.879","5.612","9.574","6.481","5.781","4.826","0.438","2.802","186.800"
"2","P","Ryan Dalziel","1","2:15.270","2:15.270","Green","Track","0.000","0.000","0.000","7.069","5.837","6.193","10.288","6.611","5.786","4.813","0.434","2.777","188.521"
"10","P","Jordan Taylor","1","2:16.948","2:16.948","Green","Track","0.000","0.000","0.000","7.676","6.271","6.647","11.009","7.266","6.350","5.234","0.469","2.986","174.452"
"93","GTD","Lawson Aschenbach","1","2:26.688","2:26.688","Green","Track","0.000","0.000","0.000","7.969","6.482","6.775","12.115","7.287","6.404","0.000","0.000","3.083","169.747"
"33","GTD","Jeroen Bleekemolen","1","2:27.650","2:27.650","Green","Track","323.061","0.000","0.000","7.973","6.521","6.150","10.942","7.379","6.374","0.000","0.000","3.043","171.527"
"86","GTD","Alvaro Parente","1","2:28.156","2:28.156","Green","Track","0.000","0.000","0.000","7.991","6.442","6.258","11.186","7.298","6.376","0.000","0.000","3.054","170.810"
"63","GTD","Alessandro Balzan","1","2:28.348","2:28.348","Green","Track","312.020","0.000","0.000","8.198","6.490","6.174","11.117","7.269","6.368","0.000","0.000","3.050","170.100"
"44","GTD","Andy Lally","1","2:30.268","2:30.268","Green","Track","310.168","0.000","0.000","7.919","6.464","6.753","12.300","7.424","6.348","5.179","0.467","2.967","175.200"
"51","GTD","Daniel Serra","1","2:30.496","2:30.496","Green","Track","323.176","0.000","0.000","7.987","6.455","6.242","11.688","7.299","6.326","5.231","0.473","3.016","172.977"
"58","GTD","Patrick Long","1","2:31.342","2:31.342","Green","Track","304.258","0.000","0.000","7.876","6.485","6.490","11.636","7.295","6.443","5.308","0.478","3.261","171.168"
"38","P","James French","1","2:35.779","2:35.779","Green","Track","250.465","0.000","0.000","7.500","5.998","5.903","10.547","6.628","5.881","4.899","0.440","2.822","185.950"
"73","GTD","Timothy Pappas","1","2:36.269","2:36.269","Green","Track","253.255","0.000","0.000","7.994","6.495","6.320","12.205","7.439","6.425","5.295","0.479","3.050","170.810"
