"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"5","P","Joao Barbosa","1","2:10.636","2:10.636","Green","Track","0.000","29.753","23.828","8.165","6.908","7.340","11.602","6.868","6.056","5.072","0.460","2.950","177.866"
"31","P","Felipe de Oliveira","1","2:12.247","2:12.247","Green","Track","0.000","30.023","23.886","7.453","6.218","6.665","11.554","6.647","5.803","4.841","0.436","2.773","187.656"
"2","P","Ryan Dalziel","1","2:23.463","2:23.463","Green","Track","0.000","33.688","25.566","7.665","6.006","6.305","11.554","6.781","5.919","4.955","0.448","2.872","182.630"
"22","P","Johannes van Overbeek","1","2:26.104","2:26.104","Green","Track","0.000","34.304","25.718","7.489","5.977","6.688","11.737","6.607","5.883","4.951","0.448","2.869","182.630"
"911","GTLM","Patrick Pilet","1","2:31.385","2:31.385","Green","Pit","0.000","31.155","23.848","8.017","6.454","6.393","11.924","7.312","6.387","9.410","0.000","0.000","0.000"
"912","GTLM","Laurens Vanthoor","1","2:32.135","2:32.135","Green","Pit","0.000","31.141","23.740","7.846","6.374","6.625","11.666","7.294","6.342","9.941","0.000","0.000","0.000"
"73","GTD","Joerg Bergmeister","1","2:32.201","2:32.201","Green","Track","213.552","31.143","23.834","8.062","6.484","6.268","11.541","7.265","6.384","5.322","0.481","3.087","170.100"
"44","GTD","John Potter","1","2:35.060","2:35.060","Green","Track","189.704","30.650","23.465","8.041","6.452","6.093","11.497","7.593","7.005","5.923","0.536","3.335","152.646"
"63","GTD","Jeff Segal","1","2:41.430","2:41.430","Green","Track","155.848","32.502","24.907","8.170","6.494","6.772","12.572","7.411","6.425","5.333","0.484","3.086","169.046"
"32","P","Will Owen","1","2:45.169","2:45.169","Green","Track","301.171","32.468","25.393","7.819","6.092","8.480","12.874","6.988","6.031","4.988","0.458","2.947","178.642"
"90","P","Matthew McMurry","1","2:50.127","2:50.127","Green","Track","0.000","33.994","25.163","7.435","5.936","6.395","11.561","6.572","5.742","4.784","0.432","2.769","189.394"
"11","GTD","Rolf Ineichen","1","3:12.631","3:12.631","Green","Track","0.000","0.000","26.371","8.766","7.180","6.859","13.429","7.562","6.847","5.495","0.484","3.110","169.046"
"59","GTD","Sven Muller","1","3:20.797","3:20.797","Green","Track","332.160","33.763","24.848","8.370","7.149","7.136","11.943","7.715","7.284","5.726","0.516","3.260","158.562"
"99","P","Stephen Simpson","1","3:29.323","3:29.323","Green","Track","32.575","36.214","27.569","10.257","8.701","8.614","13.279","9.012","8.560","7.362","0.678","4.337","120.676"
"15","GTD","Jack Hawksworth","1","3:31.262","3:31.262","Green","Pit","0.000","31.957","24.754","8.411","7.335","6.970","12.316","7.428","6.640","9.882","0.000","0.000","0.000"
"29","GTD","Kelvin van der Linde","1","3:34.951","3:34.951","Green","Track","325.904","30.720","22.759","7.947","6.500","6.008","11.314","7.281","6.378","5.290","0.475","3.031","172.249"
"14","GTD","Dominik Baumann","1","3:44.163","3:44.163","Green","Pit","314.657","37.024","26.376","8.998","8.183","7.778","13.344","8.429","7.882","11.690","0.000","0.000","0.000"
"5","P","Joao Barbosa","2","1:46.846","3:57.482","Green","Track","12.187","25.115","21.001","7.016","5.761","5.711","9.899","6.421","5.721","4.806","0.434","2.774","188.521"
"31","P","Felipe de Oliveira","2","1:46.319","3:58.566","Green","Track","12.089","24.255","21.617","7.039","5.722","5.597","10.024","6.405","5.669","4.739","0.429","2.734","190.718"
"19","GTD","Max van Splunteren","1","4:05.655","4:05.655","Green","Pit","324.090","32.140","26.109","9.786","8.214","9.039","14.137","8.232","7.320","11.553","0.000","0.000","0.000"
"2","P","Ryan Dalziel","2","1:50.051","4:13.514","Green","Track","12.464","25.536","21.892","7.220","5.883","5.759","10.624","6.600","5.878","4.892","0.444","2.859","184.275"
"58","GTD","Patrick Long","1","4:13.540","4:13.540","Green","Track","369.810","33.269","24.569","8.313","6.628","6.719","12.112","7.431","6.467","5.365","0.485","3.084","168.697"
"22","P","Johannes van Overbeek","2","1:48.879","4:14.983","Green","Track","12.682","24.808","21.889","7.311","5.927","5.686","10.145","6.518","5.792","4.858","0.440","2.823","185.950"
"73","GTD","Joerg Bergmeister","2","1:51.413","4:23.614","Green","Track","12.467","24.856","21.081","7.763","6.374","5.984","10.627","7.127","6.307","5.281","0.478","3.068","171.168"
"96","GTD","Jens Klingmann","1","4:23.777","4:23.777","Green","Pit","299.044","34.620","26.584","8.487","6.571","7.007","12.826","7.407","6.837","10.877","0.000","0.000","0.000"
"44","GTD","John Potter","2","1:55.951","4:31.011","Green","Track","12.879","25.815","22.071","7.963","6.428","6.475","11.874","7.295","6.330","5.206","0.487","3.128","168.004"
"90","P","Matthew McMurry","2","1:48.012","4:38.139","Green","Track","12.470","25.521","20.972","6.977","5.720","5.685","10.407","6.576","5.752","4.752","0.429","2.751","190.718"
"32","P","Will Owen","2","2:11.682","4:56.851","Green","Pit","13.095","26.212","22.195","7.277","5.891","6.038","11.383","7.511","6.375","11.572","0.000","0.000","0.000"
"93","GTD","Lawson Aschenbach","1","4:58.748","4:58.748","Green","Pit","247.610","33.418","25.696","8.300","6.560","7.135","12.743","7.427","6.763","11.950","0.000","0.000","0.000"
"11","GTD","Rolf Ineichen","2","1:56.086","5:08.717","Green","Track","13.112","26.929","22.636","7.929","6.328","5.866","11.295","7.183","6.237","5.147","0.463","2.961","176.713"
"62","GTLM","Alessandro Pier Guidi","1","5:17.015","5:17.015","Green","Pit","301.483","31.439","23.784","8.031","6.442","6.669","11.762","7.275","6.351","11.110","0.000","0.000","0.000"
"29","GTD","Kelvin van der Linde","2","1:51.827","5:26.778","Green","Track","12.368","25.484","21.266","7.786","6.377","5.879","10.461","7.160","6.313","5.247","0.473","3.013","172.977"
