"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"31","P","Eric Curran","1","2:09.646","2:09.646","Green","Track","805.673","31.527","24.561","7.762","6.226","6.336","11.145","6.851","5.919","4.949","0.449","2.856","182.223"
"5","P","Christian Fittipaldi","1","2:15.160","2:15.160","Green","Track","768.296","30.846","24.329","7.844","6.302","6.531","11.630","7.221","6.434","5.399","0.505","3.309","162.016"
"78","P","Ho-Pin Tung","1","2:20.788","2:20.788","Green","Track","729.451","32.232","24.551","7.742","6.372","6.294","11.979","6.737","6.015","5.124","0.522","3.214","156.740"
"37","P","Daniel Juncadella","1","2:24.801","2:24.801","Green","Track","723.027","34.461","24.847","7.760","6.066","6.555","11.377","6.734","5.880","4.933","0.499","3.338","163.964"
"22","P","Johannes van Overbeek","1","2:25.362","2:25.362","Green","Track","712.131","32.446","25.459","7.503","5.923","6.121","11.628","6.634","5.784","4.809","0.434","2.788","188.521"
"912","GTLM","Laurens Vanthoor","1","2:28.942","2:28.942","Green","Track","666.737","28.595","24.125","7.854","6.406","6.281","11.526","7.251","6.328","5.252","0.471","3.013","173.712"
"86","GTD","AJ Allmendinger","1","2:30.171","2:30.171","Green","Track","685.028","31.076","24.673","7.932","6.523","6.871","12.222","7.394","6.410","5.319","0.480","3.067","170.455"
"99","P","Stephen Simpson","1","2:35.794","2:35.794","Green","Pit","735.968","33.876","25.286","7.825","6.255","6.315","11.684","6.866","6.171","8.564","0.000","0.000","0.000"
"11","GTD","Mirko Bortolotti","1","2:38.087","2:38.087","Green","Track","558.373","30.892","23.971","8.164","6.455","6.369","12.014","7.328","6.313","5.198","0.467","2.979","175.200"
"2","P","Scott Sharp","1","2:38.254","2:38.254","Green","Pit","714.043","32.740","24.560","7.408","5.914","6.064","11.532","6.713","6.047","10.167","0.000","0.000","0.000"
"911","GTLM","Patrick Pilet","1","2:43.143","2:43.143","Green","Track","634.391","34.890","25.597","8.251","6.506","6.567","12.244","7.475","6.389","5.252","0.474","3.009","172.612"
"38","P","James French","1","2:45.278","2:45.278","Green","Track","485.024","34.612","26.253","7.853","6.285","6.965","11.352","6.829","5.974","4.904","0.442","2.829","185.109"
"73","GTD","Timothy Pappas","1","3:03.432","3:03.432","Green","Pit","368.037","34.123","25.608","8.258","6.550","6.640","12.405","7.456","6.418","8.772","0.000","0.000","0.000"
"96","GTD","Jens Klingmann","1","3:13.041","3:13.041","Green","Pit","361.672","34.327","25.842","9.756","7.556","7.241","12.656","8.968","7.632","9.762","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","1","3:14.749","3:14.749","Green","Pit","338.447","33.735","25.988","9.349","7.644","7.542","12.600","8.335","7.546","10.588","0.000","0.000","0.000"
"90","P","Tristan Vautier","1","3:14.900","3:14.900","Green","Track","31.716","31.729","24.523","7.486","6.007","5.812","10.326","6.615","5.818","4.851","0.443","2.815","184.691"
"23","P","Phil Hanson","1","3:18.295","3:18.295","Green","Pit","759.236","33.400","25.806","7.681","6.012","5.769","10.711","6.743","5.913","10.212","0.000","0.000","0.000"
"52","P","Gustavo Yacaman","1","3:20.891","3:20.891","Green","Pit","767.272","34.697","25.885","7.823","6.113","6.409","11.654","6.907","5.901","11.126","0.000","0.000","0.000"
"32","P","Paul Di Resta","1","3:21.889","3:21.889","Green","Pit","758.408","33.388","25.967","7.758","6.158","6.168","11.413","6.714","5.835","11.778","0.000","0.000","0.000"
"48","GTD","Bryan Sellers","1","3:22.732","3:22.732","Green","Pit","628.327","34.439","26.062","8.162","6.575","6.386","12.204","7.425","6.472","10.259","0.000","0.000","0.000"
"14","GTD","Dominik Baumann","1","3:23.016","3:23.016","Green","Track","32.836","35.274","26.256","8.593","6.848","7.408","13.071","7.748","6.519","5.409","0.495","3.192","165.289"
"71","GTD","Kenton Koch","1","3:24.501","3:24.501","Green","Track","814.752","34.287","25.459","8.071","6.554","7.828","12.987","7.568","6.723","5.470","0.485","3.107","168.697"
"62","GTLM","Alessandro Pier Guidi","1","3:24.639","3:24.639","Green","Pit","284.109","33.791","23.410","8.464","6.574","6.356","11.372","7.218","6.276","10.965","0.000","0.000","0.000"
"20","P","Marc Drumwright","1","3:29.013","3:29.013","Green","Pit","736.050","36.682","28.981","9.012","6.704","6.796","13.217","7.180","6.926","11.773","0.000","0.000","0.000"
"55","P","Jonathan Bomarito","1","3:30.161","3:30.161","Green","Pit","795.905","34.481","24.577","7.660","6.142","6.590","11.738","6.995","6.378","12.597","0.000","0.000","0.000"
"7","P","Graham Rahal","1","3:31.951","3:31.951","Green","Pit","803.996","35.303","25.321","7.492","5.927","6.140","11.245","6.861","6.526","12.780","0.000","0.000","0.000"
"82","GTD","Matt Griffin","1","3:38.121","3:38.121","Green","Pit","673.582","37.763","27.128","8.404","7.153","7.008","12.065","7.586","7.070","12.027","0.000","0.000","0.000"
"54","P","Loic Duval","1","3:41.004","3:41.004","Green","Pit","800.167","45.551","29.388","9.240","7.761","8.055","13.174","8.248","7.626","11.731","0.000","0.000","0.000"
"59","GTD","Sven Muller","1","3:41.853","3:41.853","Green","Track","452.262","33.914","24.490","8.534","7.172","7.879","12.509","7.476","6.381","5.324","0.494","3.219","165.624"
"19","GTD","Ezequiel Perez Companc","1","3:42.162","3:42.162","Green","Track","30.743","31.258","24.183","8.175","6.515","6.819","12.591","7.463","6.432","5.221","0.471","3.088","173.712"
"64","GTD","Sam Bird","1","3:42.449","3:42.449","Green","Pit","737.702","34.876","26.391","8.350","6.893","7.588","13.091","7.887","7.562","12.244","0.000","0.000","0.000"
"77","P","Tristan Nunez","1","3:43.481","3:43.481","Green","Pit","811.901","34.525","25.294","7.803","6.620","6.725","11.717","6.773","6.509","13.125","0.000","0.000","0.000"
"63","GTD","Alessandro Balzan","1","3:48.217","3:48.217","Green","Pit","715.066","35.852","25.079","8.619","7.092","8.442","12.788","7.569","6.509","14.273","0.000","0.000","0.000"
"75","GTD","Thomas Jaeger","1","3:55.052","3:55.052","Green","Pit","554.989","39.082","28.417","10.549","9.057","9.371","16.143","9.306","8.846","14.571","0.000","0.000","0.000"
"15","GTD","Scott Pruett","1","3:55.047","3:55.047","Green","Track","32.799","39.423","30.049","13.362","10.413","10.990","15.138","11.003","9.043","6.720","0.660","3.944","123.967"
"31","P","Eric Curran","2","1:47.225","3:56.871","Green","Track","12.282","24.587","21.294","7.089","5.864","5.895","9.784","6.535","5.831","4.837","0.437","2.790","187.227"
"85","P","Simon Trummer","1","3:59.564","3:59.564","Green","Pit","30.546","35.385","28.571","9.751","7.790","7.803","13.467","8.049","6.700","12.318","0.000","0.000","0.000"
"5","P","Christian Fittipaldi","2","1:48.543","4:03.703","Green","Track","12.858","25.364","21.203","7.109","5.872","5.728","9.921","6.544","5.821","4.869","0.439","2.815","186.374"
"22","P","Johannes van Overbeek","2","1:46.831","4:12.193","Green","Track","12.313","24.652","21.431","7.017","5.800","5.480","10.060","6.443","5.686","4.748","0.431","2.770","189.833"
"25","GTLM","Connor De Phillippi","1","4:12.979","4:12.979","Green","Track","824.216","37.118","28.681","8.964","7.820","9.283","13.603","7.820","6.587","5.427","0.491","3.133","166.636"
"912","GTLM","Laurens Vanthoor","2","1:49.467","4:18.409","Green","Track","12.152","24.520","20.687","7.654","6.301","5.985","10.283","7.051","6.221","5.174","0.466","2.973","175.575"
"86","GTD","AJ Allmendinger","2","1:54.568","4:24.739","Green","Track","12.789","26.164","21.936","7.755","6.438","6.180","10.941","7.220","6.345","5.271","0.478","3.051","171.168"
"78","P","Ho-Pin Tung","2","2:05.827","4:26.615","Green","Pit","13.740","24.897","21.105","7.145","5.880","5.808","11.170","6.665","5.805","9.790","0.000","0.000","0.000"
"11","GTD","Mirko Bortolotti","2","1:52.228","4:30.315","Green","Track","12.360","25.495","21.489","7.895","6.353","5.955","10.622","7.233","6.241","5.159","0.463","2.963","176.713"
"38","P","James French","2","1:47.065","4:32.343","Green","Track","12.483","24.674","21.076","7.140","6.045","5.771","9.512","6.511","5.766","4.842","0.438","2.807","186.800"
"911","GTLM","Patrick Pilet","2","1:52.676","4:35.819","Green","Track","12.307","25.397","21.677","7.724","6.324","6.387","10.889","7.133","6.251","5.156","0.464","2.967","176.332"
"37","P","Daniel Juncadella","2","2:12.851","4:37.652","Green","Pit","13.311","27.019","22.443","7.827","6.204","6.561","10.568","7.333","6.216","11.172","0.000","0.000","0.000"
"29","GTD","Kelvin van der Linde","1","4:45.021","4:45.021","Green","Pit","32.943","34.554","24.409","8.130","6.550","6.257","11.517","7.400","6.432","12.254","0.000","0.000","0.000"
"51","GTD","Pedro Mourao Nunes Lami Vicoso","1","4:51.000","4:51.000","Green","Pit","75.852","36.947","25.710","8.832","6.547","6.331","12.708","7.841","6.464","10.224","0.000","0.000","0.000"
"44","GTD","Andrew Davis","1","4:57.520","4:57.520","Green","Pit","162.508","33.631","25.489","8.954","7.380","6.995","12.872","8.204","7.313","11.155","0.000","0.000","0.000"
"4","GTLM","Tommy Milner","1","5:00.652","5:00.652","Green","Pit","32.564","33.557","25.639","8.939","6.705","7.628","13.283","7.603","6.685","9.959","0.000","0.000","0.000"
"2","P","Scott Sharp","2","2:38.482","5:16.736","Green","Track","56.393","29.077","23.107","7.237","5.874","5.940","10.394","6.571","5.787","4.841","0.438","2.823","186.800"
"14","GTD","Dominik Baumann","2","1:53.885","5:16.901","Green","Track","13.030","25.827","21.784","7.804","6.393","6.037","10.700","7.214","6.343","5.265","0.473","3.015","172.977"
