"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"63","GTD","Jeff Segal","1","2:15.045","2:15.045","Green","Track","630.089","30.112","23.881","8.120","6.536","6.256","11.618","7.300","6.410","5.367","0.488","3.112","167.660"
"22","P","Johannes van Overbeek","1","2:15.715","2:15.715","Green","Track","601.378","29.837","23.639","7.419","5.868","5.880","11.712","6.670","5.784","4.809","0.435","2.799","188.088"
"2","P","Olivier Pla","1","2:15.815","2:15.815","Green","Track","443.376","29.291","23.470","7.269","5.843","6.619","11.088","6.541","5.718","4.784","0.432","2.787","189.394"
"23","P","Fernando Alonso","1","2:16.645","2:16.645","Green","Track","737.991","29.061","23.426","7.408","5.929","5.942","10.882","6.619","5.852","4.879","0.439","2.810","186.374"
"86","GTD","Katherine Legge","1","2:17.649","2:17.649","Green","Track","619.983","30.224","24.216","8.181","6.545","6.410","11.926","7.340","6.416","5.348","0.483","3.093","169.396"
"78","P","Ho-Pin Tung","1","2:21.689","2:21.689","Green","Track","707.923","30.674","23.972","7.569","6.011","5.982","10.851","6.619","5.824","4.851","0.441","2.805","185.529"
"37","P","Robin Frijns","1","2:23.575","2:23.575","Green","Track","700.164","31.310","24.519","7.529","5.982","5.926","10.648","6.629","5.823","4.849","0.440","2.811","185.950"
"32","P","Hugo de Sadeleer","1","2:26.644","2:26.644","Green","Track","733.823","32.236","26.472","7.587","5.980","6.426","11.424","6.844","5.871","4.874","0.440","2.803","185.950"
"20","P","Joel Miller","1","2:28.071","2:28.071","Green","Track","366.344","31.399","24.364","7.682","6.072","6.396","11.502","6.837","5.997","4.954","0.449","2.881","182.223"
"15","GTD","Dominik Farnbacher","1","2:39.771","2:39.771","Green","Track","781.246","30.003","23.832","8.552","6.923","6.508","11.152","7.460","6.497","5.511","0.519","3.377","157.646"
"58","GTD","Mathieu Jaminet","1","2:42.094","2:42.094","Green","Track","514.793","33.042","26.373","9.510","8.524","7.993","12.335","7.515","6.796","5.484","0.526","3.291","155.548"
"54","P","Jonathan Bennett","1","2:45.259","2:45.259","Green","Track","1704.909","34.207","27.467","8.287","6.644","7.514","12.388","7.766","6.691","5.323","0.470","3.079","174.081"
"55","P","Harry Tincknell","1","2:45.669","2:45.669","Green","Track","617.713","34.837","26.392","7.880","6.127","5.890","11.250","6.738","5.857","4.926","0.446","2.853","183.449"
"99","P","Chris Miller","1","2:47.054","2:47.054","Green","Track","32.301","33.993","26.097","7.825","6.559","6.550","10.901","6.691","5.896","4.872","0.442","2.824","185.109"
"4","GTLM","Marcel Fassler","1","2:48.031","2:48.031","Green","Track","32.495","31.143","23.733","8.136","6.577","6.207","10.735","7.221","6.374","5.288","0.477","3.038","171.527"
"85","P","Devlin DeFrancesco","1","2:48.453","2:48.453","Green","Track","33.456","32.717","25.063","7.499","6.215","6.887","10.958","6.675","5.818","4.834","0.437","2.784","187.227"
"64","GTD","Townsend Bell","1","2:53.302","2:53.302","Green","Track","33.168","30.315","23.819","8.309","6.600","6.299","11.223","7.331","6.412","5.330","0.484","3.085","169.046"
"77","P","Oliver Jarvis","1","2:54.053","2:54.053","Green","Track","682.845","36.879","27.788","8.832","6.719","6.762","12.322","6.978","6.047","4.985","0.448","2.843","182.630"
"5","P","Filipe Albuquerque","1","2:54.974","2:54.974","Green","Track","28.871","29.899","23.781","7.354","5.950","6.260","12.249","6.545","5.736","4.751","0.430","2.746","190.275"
"33","GTD","Luca Stolz","1","2:56.409","2:56.409","Green","Track","34.847","32.668","23.797","8.103","6.509","6.954","12.518","7.338","6.386","5.272","0.475","3.031","172.249"
"73","GTD","Timothy Pappas","1","2:57.443","2:57.443","Green","Track","33.286","32.289","26.317","8.406","6.681","7.406","13.541","7.379","6.379","5.271","0.477","3.041","171.527"
"67","GTLM","Ryan Briscoe","1","2:57.471","2:57.471","Green","Track","29.500","31.027","23.420","7.885","6.395","6.728","12.706","7.219","6.266","5.171","0.468","2.990","174.825"
"93","GTD","Mario Farnbacher","1","2:58.495","2:58.495","Green","Track","31.889","32.724","24.212","7.989","6.436","6.500","12.247","7.356","6.351","5.251","0.476","3.036","171.887"
"66","GTLM","Sebastien Bourdais","1","2:59.644","2:59.644","Green","Track","29.735","31.386","24.739","8.248","6.518","6.352","11.687","7.247","6.273","5.186","0.468","2.978","174.825"
"29","GTD","Kelvin van der Linde","1","2:59.921","2:59.921","Green","Track","749.640","28.603","23.049","8.323","6.511","6.425","11.647","7.242","6.298","5.173","0.464","2.952","176.332"
"75","GTD","Mikael Grenier","1","3:02.491","3:02.491","Green","Track","34.903","35.415","27.099","8.673","6.770","6.654","12.330","7.472","6.426","5.324","0.484","3.230","169.046"
"6","P","Dane Cameron","1","3:02.555","3:02.555","Green","Track","0.000","30.098","22.847","7.326","5.907","6.096","10.845","6.640","5.775","4.807","0.436","2.778","187.656"
"25","GTLM","Connor De Phillippi","1","3:04.856","3:04.856","Green","Track","29.513","30.382","23.782","8.104","6.651","6.385","11.179","7.359","6.500","5.433","0.492","3.138","166.297"
"19","GTD","Louis Machiels","1","3:16.414","3:16.414","Green","Track","803.748","31.151","24.007","8.504","7.108","6.651","11.681","7.611","7.371","6.369","0.587","4.000","139.384"
