"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"78","P","Ferdinand Habsburg-Lothringen","28","1:39.860","49:39.143","Green","Track","10.929","21.951","19.572","7.038","5.813","5.421","9.121","6.410","5.693","4.744","0.427","2.741","191.612"
"55","P","Jonathan Bomarito","19","1:40.536","49:39.746","Green","Track","11.217","22.114","19.500","7.047","5.822","5.478","9.190","6.421","5.738","4.801","0.433","2.775","188.957"
"44","GTD","Andrew Davis","24","1:48.303","49:40.905","Green","Track","11.502","24.248","20.712","7.904","6.394","5.857","9.838","7.098","6.245","5.119","0.459","2.927","178.253"
"37","P","Daniel Juncadella","27","1:40.093","49:41.391","Green","Track","10.885","22.257","19.245","7.083","5.859","5.462","9.325","6.374","5.698","4.753","0.428","2.724","191.164"
"5","P","Joao Barbosa","19","1:55.870","49:42.729","Green","Track","26.329","23.062","19.645","6.973","5.768","5.367","8.987","6.302","5.620","4.694","0.422","2.701","193.882"
"73","GTD","Timothy Pappas","21","1:52.477","49:52.442","Green","Track","12.109","25.271","21.614","7.892","6.490","6.064","10.757","7.208","6.317","5.255","0.474","3.026","172.612"
"22","P","Nicolas Lapierre","20","1:38.583","49:53.424","Green","Track","10.525","21.818","19.489","7.070","5.820","5.388","8.647","6.259","5.677","4.729","0.426","2.735","192.061"
"86","GTD","Trent Hindman","22","1:48.690","49:54.181","Green","Track","11.420","24.399","20.799","7.852","6.434","5.987","9.813","7.060","6.247","5.203","0.473","3.003","172.977"
"62","GTLM","Alessandro Pier Guidi","18","4:31.205","49:54.381","Green","Track","175.501","24.412","19.912","7.775","6.428","5.910","9.427","7.055","6.201","5.151","0.464","2.969","176.332"
"64","GTD","Bill Sweedler","22","1:50.269","49:59.638","Green","Track","11.587","24.757","21.048","7.932","6.469","5.999","10.267","7.155","6.311","5.250","0.474","3.020","172.612"
"54","P","Loic Duval","23","5:16.438","49:59.883","Green","Track","226.810","0.000","0.000","7.120","5.859","5.448","8.602","6.364","5.664","4.745","0.428","2.723","191.164"
"48","GTD","Bryce Miller","23","1:48.500","50:04.342","Green","Track","11.553","0.000","0.000","7.749","6.376","5.894","9.997","7.074","6.212","5.147","0.464","2.952","176.332"
"11","GTD","Rik Breukers","24","1:48.983","50:07.007","Green","Track","11.417","0.000","0.000","7.755","6.319","5.783","10.212","7.167","6.197","5.095","0.457","2.918","179.033"
"4","GTLM","Marcel Fassler","20","2:01.644","50:08.620","Green","Track","26.086","0.000","0.000","7.721","6.405","5.935","9.458","6.961","6.227","5.183","0.470","2.986","174.081"
"51","GTD","Mathias Lauda","23","1:48.800","50:09.701","Green","Track","11.545","0.000","0.000","7.789","6.316","5.857","10.046","7.025","6.159","5.123","0.462","2.941","177.096"
"911","GTLM","Frederic Makowiecki","19","4:01.170","50:18.328","Green","Track","146.108","0.000","0.000","7.669","6.353","5.864","9.594","6.921","6.159","5.135","0.457","2.954","179.033"
"7","P","Helio Castroneves","27","1:40.511","50:21.063","Green","Track","11.552","0.000","0.000","7.054","5.867","5.431","8.584","6.406","5.709","4.770","0.432","2.750","189.394"
"6","P","Juan Pablo Montoya","26","1:38.092","50:21.577","Green","Track","10.202","0.000","0.000","7.005","5.798","5.423","8.889","6.366","5.684","4.744","0.428","2.727","191.164"
"96","GTD","Mark Kvamme","22","1:52.178","50:27.791","Green","Track","11.816","0.000","0.000","8.079","6.511","6.047","10.612","7.255","6.336","5.278","0.475","3.032","172.249"
"19","GTD","Ezequiel Perez Companc","21","1:47.802","50:32.514","Green","Track","11.458","0.000","0.000","7.794","6.358","5.816","10.084","7.032","6.177","5.094","0.457","2.922","179.033"
"59","GTD","Matteo Cairoli","26","2:01.422","50:35.491","Green","Pit","11.343","0.000","0.000","7.777","6.380","5.876","9.939","7.027","6.193","7.893","0.000","0.000","0.000"
