"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"18","MPC","Wyatt Schwab","4","2:07.913","8:58.252","Green","Track","6.222","6.063","25.626","15.938","27.962","29.861","0.610","11.229","1.516","2.886","138.972","113.936"
"22","MPC","Stephen Dawes","4","2:08.358","9:00.959","Green","Track","6.260","5.949","26.294","16.172","27.883","29.426","0.617","11.279","1.543","2.935","137.395","111.942"
"25","LMP3","Joel Janco","4","2:08.090","9:05.960","Green","Track","5.924","5.799","25.538","15.851","27.411","29.950","0.572","12.554","1.593","2.898","148.204","108.429"
"47","LMP3","TJ Fischer","4","2:00.637","9:06.948","Green","Track","5.684","5.768","24.632","15.197","26.430","27.486","0.545","10.773","1.433","2.689","155.546","120.535"
"28","MPC","Bart Wolf","4","2:06.937","9:18.778","Green","Track","6.235","5.874","25.759","15.836","27.852","0.000","0.000","10.972","1.551","2.927","0.000","111.365"
"26","LMP3","James McGuire","4","2:07.449","9:20.451","Green","Track","5.912","6.412","26.605","15.667","28.206","28.638","0.569","11.158","1.498","2.784","148.985","115.305"
"51","LMP3","Rob Hodes","4","2:07.315","9:23.500","Green","Track","6.035","5.977","25.959","15.850","28.995","28.513","0.564","11.208","1.470","2.744","150.306","117.502"
"34","MPC","Jon Brownson","4","2:04.646","9:25.872","Green","Track","6.236","5.631","25.325","15.764","27.463","28.383","0.604","10.827","1.519","2.894","140.352","113.711"
"17","LMP3","Corey Lewis","4","2:01.371","9:37.083","Green","Track","5.921","5.616","24.846","15.153","26.669","27.696","0.567","10.678","1.469","2.756","149.511","117.582"
"36","MPC","Paul LaHaye","4","2:09.283","9:37.193","Green","Track","6.419","5.921","25.959","16.229","28.398","29.420","0.614","11.719","1.617","2.987","138.066","106.820"
"11","MPC","Robert Masson","4","2:22.234","9:39.316","Green","Pit","6.262","5.704","26.065","16.279","28.350","29.194","0.610","12.332","3.775","13.663","138.972","45.756"
"55","LMP3","Gerry Kraut","4","2:04.079","9:42.505","Green","Track","5.950","5.927","25.551","15.499","27.099","28.389","0.569","10.876","1.468","2.751","148.985","117.662"
"24","MPC","Tim George","4","2:09.956","9:47.019","Green","Track","6.312","5.637","26.863","16.926","28.430","29.582","0.617","11.087","1.549","2.953","137.395","111.509"
"4","LMP3","Zacharie Richard Robichon","5","2:00.975","10:18.460","Green","Track","5.785","5.634","24.517","15.190","26.503","28.218","0.568","10.407","1.440","2.713","149.248","119.949"
"86","MPC","Dave House","3","2:22.828","10:27.617","Green","Track","6.682","7.561","36.340","18.246","28.078","29.635","0.614","11.170","1.570","2.932","138.066","110.017"
"3","LMP3","Benjamin Waddell","4","2:00.445","10:29.274","Green","Track","5.807","5.542","24.458","15.164","26.577","27.718","0.563","10.441","1.451","2.724","150.573","119.040"
"23","LMP3","Henry Gilbert","4","2:34.686","10:38.828","Green","Pit","6.743","7.678","28.849","17.018","29.188","30.465","0.586","16.555","5.075","12.529","144.663","34.035"
"19","LMP3","Brad Baker","4","2:13.519","10:44.261","Green","Track","6.026","6.175","26.827","16.727","29.556","30.473","0.575","12.613","1.624","2.923","147.431","106.359"
"75","LMP3","Cameron Cassels","5","2:06.101","10:56.373","Green","Track","5.977","6.094","25.532","15.436","28.169","28.531","0.561","11.547","1.491","2.763","151.110","115.847"
"77","MPC","Howard Jacobs","4","2:20.004","10:56.494","Green","Track","6.992","6.704","28.698","17.036","30.096","32.234","0.678","12.834","1.636","3.096","125.034","105.579"
"33","LMP3","Lance Willsey","5","2:05.129","10:56.786","Green","Track","6.012","5.784","25.758","15.652","27.040","28.605","0.561","11.461","1.485","2.771","151.110","116.315"
"42","LMP3","Robby Foley","5","2:01.621","10:58.010","Green","Track","5.816","5.925","24.853","15.326","26.508","27.815","0.565","10.610","1.455","2.748","150.040","118.713"
"18","MPC","Wyatt Schwab","5","2:07.224","11:05.476","Green","Track","6.159","5.874","25.583","15.833","27.561","29.422","0.636","11.460","1.603","3.093","133.290","107.753"
"22","MPC","Stephen Dawes","5","2:08.141","11:09.100","Green","Track","6.242","5.559","26.293","16.116","27.763","29.720","0.621","11.320","1.558","2.949","136.510","110.865"
"74","LMP3","Anthony Simone","4","4:03.379","11:10.387","Green","Pit","5.689","5.862","24.938","15.041","26.399","28.554","0.544","11.271","3.229","121.852","155.832","53.492"
"47","LMP3","TJ Fischer","5","2:03.820","11:10.768","Green","Track","5.680","5.876","25.093","16.140","27.475","28.035","0.545","10.837","1.441","2.698","155.546","119.866"
"25","LMP3","Joel Janco","5","2:06.129","11:12.089","Green","Track","5.975","5.867","25.694","15.899","27.420","28.551","0.624","11.818","1.497","2.784","135.854","115.382"
"44","LMP3","Gary Gibson","4","4:37.671","11:25.094","Green","Pit","5.917","11.224","28.480","16.315","28.782","29.348","0.562","14.021","3.716","139.306","150.841","46.482"
"28","MPC","Bart Wolf","5","2:06.752","11:25.530","Green","Track","6.276","5.923","25.746","15.903","27.985","28.937","0.611","10.922","1.537","2.912","138.744","112.379"
"26","LMP3","James McGuire","5","2:05.838","11:26.289","Green","Track","5.869","6.375","25.880","15.948","27.591","28.450","0.569","10.858","1.499","2.799","148.985","115.228"
"51","LMP3","Rob Hodes","5","2:06.575","11:30.075","Green","Track","5.874","5.937","26.023","16.157","28.176","28.442","0.566","11.162","1.480","2.758","149.775","116.708"
"34","MPC","Jon Brownson","5","2:04.875","11:30.747","Green","Track","6.144","5.562","25.203","15.580","27.735","28.795","0.606","10.865","1.513","2.872","139.889","114.162"
"17","LMP3","Corey Lewis","5","2:01.034","11:38.117","Green","Track","5.845","5.622","24.584","15.316","26.453","27.722","0.569","10.708","1.464","2.751","148.985","117.983"
"55","LMP3","Gerry Kraut","5","2:03.821","11:46.326","Green","Track","5.873","5.919","25.369","15.535","27.044","28.411","0.569","10.890","1.463","2.748","148.985","118.064"
"36","MPC","Paul LaHaye","5","2:11.054","11:48.247","Green","Track","6.483","6.185","26.223","16.201","28.549","30.413","0.613","11.784","1.613","2.990","138.292","107.084"
"24","MPC","Tim George","5","2:09.942","11:56.961","Green","Track","6.275","5.807","26.761","16.253","28.472","29.909","0.621","11.262","1.584","2.998","136.510","109.045"
"4","LMP3","Zacharie Richard Robichon","6","2:00.690","12:19.150","Green","Track","5.741","5.495","24.414","14.975","26.390","27.791","0.563","11.125","1.457","2.739","150.573","118.550"
