"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"10","TCR","Lee Carpentier","1","2:33.347","2:33.347","Green","Track","0.000","14.691","29.691","18.258","31.080","32.371","0.638","12.280","1.722","3.245","132.873","100.306"
"80","GS","Martin Barkey","1","2:34.124","2:34.124","Green","Track","0.000","14.011","30.694","17.820","30.930","31.458","0.606","12.323","1.637","3.053","139.889","105.515"
"38","GS","James Cox","1","2:34.253","2:34.253","Green","Track","0.000","14.211","30.568","17.640","30.550","32.618","0.590","12.541","1.694","3.115","143.683","101.964"
"4","GS","Guy Cosmo","1","2:35.788","2:35.788","Green","Track","0.000","13.354","30.392","18.228","30.888","31.337","0.588","12.103","1.642","3.030","144.171","105.193"
"8","GS","Chad McCumbee","1","2:35.966","2:35.966","Green","Track","0.000","13.174","30.336","17.767","30.897","32.986","0.640","12.472","1.587","2.951","132.457","108.839"
"46","GS","Hugh Plumb","1","2:36.431","2:36.431","Green","Track","0.000","12.906","30.380","17.918","31.015","31.576","0.594","11.896","1.623","3.062","142.715","106.425"
"33","GS","Russell Ward","1","2:37.927","2:37.927","Green","Track","0.000","12.448","30.171","17.877","31.326","31.482","0.591","12.675","1.684","3.085","143.439","102.570"
"19","GS","Greg Liefooghe","1","2:39.155","2:39.155","Green","Track","0.000","11.382","30.590","17.867","30.818","30.750","0.581","12.099","1.619","2.995","145.908","106.688"
"77","TCR","Britt Casey Jr","1","2:39.751","2:39.751","Green","Track","0.000","11.763","30.809","18.339","30.702","31.893","0.660","12.345","1.675","3.148","128.444","103.121"
"75","TCR","Pierre Kleinubing","1","2:41.789","2:41.789","Green","Track","0.000","11.110","30.560","17.802","30.975","31.526","0.615","12.005","1.678","3.167","137.842","102.936"
"39","GS","Tyler McQuarrie","1","2:43.792","2:43.792","Green","Track","0.000","10.892","28.797","17.582","30.709","31.358","0.583","12.133","1.614","3.003","145.408","107.018"
"57","GS","Indy Dontje","1","2:45.320","2:45.320","Green","Track","0.000","11.548","29.397","17.369","31.665","31.997","0.577","12.503","1.664","3.062","146.920","103.802"
"92","GS","Mark Ramsey","1","2:51.497","2:51.497","Green","Track","0.000","11.351","29.757","17.482","30.984","32.488","0.584","12.255","1.672","3.078","145.159","103.306"
"69","GS","Jesse Lazare","1","2:59.021","2:59.021","Green","Track","0.000","12.964","31.144","17.682","31.325","33.088","0.901","13.236","1.667","3.050","94.087","103.616"
"99","GS","Steven Phillips","1","3:00.520","3:00.520","Green","Track","0.000","12.023","31.615","17.991","32.813","31.704","0.580","12.311","1.627","3.008","146.160","106.163"
"56","GS","Eric Foss","1","3:03.615","3:03.615","Green","Track","0.000","11.214","31.209","17.705","30.633","32.557","0.585","12.723","1.657","3.045","144.911","104.241"
"72","GS","Mike Vess","1","3:03.836","3:03.836","Green","Track","0.000","12.792","31.444","18.230","32.343","32.559","0.578","13.019","1.762","3.158","146.666","98.029"
"26","GS","Toby Grahovec","1","3:06.851","3:06.851","Green","Track","0.000","11.496","29.705","18.284","31.520","31.800","0.570","12.323","1.625","2.990","148.724","106.294"
"21","ST","Max Faulkner","1","3:10.317","3:10.317","Green","Track","0.000","12.598","34.356","19.338","33.993","34.688","0.645","13.805","1.794","3.359","131.431","96.281"
"81","ST","Nick Galante","1","3:13.444","3:13.444","Green","Track","0.000","12.554","32.658","18.905","33.498","35.253","0.650","13.781","1.833","3.395","130.420","94.232"
"09","GS","Ramin Abdolvahabi","1","3:14.913","3:14.913","Green","Track","0.000","13.521","34.450","19.719","35.326","33.777","0.609","13.741","1.731","3.139","139.200","99.785"
